,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,FAM,Hemato,Unkn-01,37-F01,30.6278217053675,102.065594740822
,A02,FAM,Hemato,Unkn-01,37-F01,30.2640208518519,132.449371250492
,A03,FAM,Hemato,Unkn-02,37-C08,29.7757329962076,187.908155425236
,A04,FAM,Hemato,Unkn-02,37-C08,29.4350106785118,239.848457297033
,A05,FAM,Hemato,Unkn-03,31-B08,29.1358408547386,297.168076146119
,A06,FAM,Hemato,Unkn-03,31-B08,29.3060414321763,263.060993530137
,A07,FAM,Hemato,Unkn-04,31-D06,32.7447545089332,22.4051384932916
,A08,FAM,Hemato,Unkn-04,31-D06,32.4781744920993,27.1190752463745
,A09,FAM,Hemato,Unkn-05,31-E07,27.0889138844655,1287.52775204384
,A10,FAM,Hemato,Unkn-05,31-E07,27.1906380552017,1197.05036246231
,A11,FAM,Hemato,Std-07,,16.4120293448567,3000000
,A12,FAM,Hemato,Std-07,,16.1666487153407,3000000
,B01,FAM,Hemato,Unkn-06,37-B02,28.4091785313581,500.093248875272
,B02,FAM,Hemato,Unkn-06,37-B02,28.3858294985456,508.527411356777
,B03,FAM,Hemato,Unkn-07,38-B01,26.6752288642093,1731.58975733922
,B04,FAM,Hemato,Unkn-07,38-B01,27.0440599004116,1329.56537759956
,B05,FAM,Hemato,Unkn-08,31-C02,31.9045665873379,40.8989176983573
,B06,FAM,Hemato,Unkn-08,31-C02,33.0394158222634,18.1419894075867
,B07,FAM,Hemato,Unkn-09,31-D08,30.5859916037149,105.169983336099
,B08,FAM,Hemato,Unkn-09,31-D08,30.6497791877523,100.472885613911
,B09,FAM,Hemato,Unkn-10,31-E10,28.0752952331682,635.206336301117
,B10,FAM,Hemato,Unkn-10,31-E10,27.6468591177236,863.360103627576
,B11,FAM,Hemato,Std-08,,19.4958678199195,300000
,B12,FAM,Hemato,Std-08,,19.5183559944409,300000
,C01,FAM,Hemato,Unkn-11,37-D02,31.1243870910826,71.5169002603334
,C02,FAM,Hemato,Unkn-11,37-D02,30.4123756387727,119.096762120882
,C03,FAM,Hemato,Unkn-12,38-D01,30.0165866013137,158.132564091807
