Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,full Cq mean,,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,full SQ mean,SQ Std. Dev,Set Point,Well Note
H11,FAM,Hemato,NTC,,,NaN,0,0,same,0,NaN,NaN,0.00,0.00,0,72,
H12,FAM,Hemato,NTC,,,NaN,0,0,same,0,NaN,NaN,0.00,0.00,0,72,
A12,FAM,Hemato,Std-07,,,16.19830941,16.318826,16.28933903,diff,0.170436194,3000000.0,6.477121255,3000000.00,3000000.00,0,72,
A11,FAM,Hemato,Std-07,,,16.43934258,16.318826,16.28933903,diff,0.170436194,3000000.0,6.477121255,3000000.00,3000000.00,0,72,
B12,FAM,Hemato,Std-08,,,19.56246777,19.55621959,19.50711191,diff,0.008836255,300000.0,5.477121255,300000.00,300000.00,0,72,
B11,FAM,Hemato,Std-08,,,19.54997141,19.55621959,19.50711191,diff,0.008836255,300000.0,5.477121255,300000.00,300000.00,0,72,
C07,FAM,Hemato,Unkn-14,31-D10,,20.52098202,20.3623292,20.33949019,diff,0.224368966,145436.9,5.162674757,164182.33,162981.89,26509.9775,72,
C08,FAM,Hemato,Unkn-14,31-D10,,20.20367638,20.3623292,20.33949019,diff,0.224368966,182927.7,5.26227952,164182.33,162981.89,26509.9775,72,
F07,FAM,Hemato,Unkn-29,31-E03,,20.70748307,20.71394394,20.67774464,diff,0.009137061,127095.6,5.104130594,126504.86,127099.07,835.4656059,72,
F08,FAM,Hemato,Unkn-29,31-E03,,20.72040482,20.71394394,20.67774464,diff,0.009137061,125914.1,5.100074352,126504.86,127099.07,835.4656059,72,
C12,FAM,Hemato,Std-09,,,22.40283546,22.4213975,22.37821401,diff,0.026250695,30000.0,4.477121255,30000.00,30000.00,0,72,
C11,FAM,Hemato,Std-09,,,22.43995954,22.4213975,22.37821401,diff,0.026250695,30000.0,4.477121255,30000.00,30000.00,0,72,
C10,FAM,Hemato,Unkn-15,31-E12,,26.10504789,25.44954362,25.41505853,diff,0.927023032,2569.2,3.409792056,4598.17,4748.63,2869.442134,72,
C09,FAM,Hemato,Unkn-15,31-E12,,24.79403935,25.44954362,25.41505853,diff,0.927023032,6627.2,3.821328068,4598.17,4748.63,2869.442134,72,
D12,FAM,Hemato,Std-10,,,25.91776225,25.97105246,25.9281139,diff,0.075363745,3000.0,3.477121255,3000.00,3000.00,0,72,
D11,FAM,Hemato,Std-10,,,26.02434268,25.97105246,25.9281139,diff,0.075363745,3000.0,3.477121255,3000.00,3000.00,0,72,
B04,FAM,Hemato,Unkn-07,38-B01,,27.06850409,26.89963705,26.85964438,diff,0.238814052,1280.4,3.107355492,1457.44,1530.58,250.3340349,72,
B03,FAM,Hemato,Unkn-07,38-B01,,26.73077002,26.89963705,26.85964438,diff,0.238814052,1634.5,3.213372904,1457.44,1530.58,250.3340349,72,
A09,FAM,Hemato,Unkn-05,31-E07,,27.110655,27.16323639,27.13977597,diff,0.074361318,1242.0,3.094123987,1196.55,1242.29,64.28178162,72,
A10,FAM,Hemato,Unkn-05,31-E07,,27.21581778,27.16323639,27.13977597,diff,0.074361318,1151.1,3.061112552,1196.55,1242.29,64.28178162,72,
G09,FAM,Hemato,Unkn-35,31-F11,,27.35786592,27.35935639,27.32005625,diff,0.002107842,1038.8,3.01652251,1037.66,1091.07,1.580923406,72,
G10,FAM,Hemato,Unkn-35,31-F11,,27.36084686,27.35935639,27.32005625,diff,0.002107842,1036.5,3.01558677,1037.66,1091.07,1.580923406,72,
G06,FAM,Hemato,Unkn-33,31-D04,,28.04008996,27.89152158,27.85699777,diff,0.210107423,634.4,2.802366956,710.40,747.18,107.4725426,72,
G05,FAM,Hemato,Unkn-33,31-D04,,27.7429532,27.89152158,27.85699777,diff,0.210107423,786.4,2.895640551,710.40,747.18,107.4725426,72,
B09,FAM,Hemato,Unkn-10,31-E10,,28.10125831,27.89147297,27.86107718,diff,0.296681272,607.0,2.783165726,714.48,749.28,152.0512991,72,
B10,FAM,Hemato,Unkn-10,31-E10,,27.68168763,27.89147297,27.86107718,diff,0.296681272,822.0,2.914872299,714.48,749.28,152.0512991,72,
F04,FAM,Hemato,Unkn-27,38-D08,,28.2748732,28.27568565,28.24095344,diff,0.001148968,535.4,2.72866663,535.07,564.13,0.444362488,72,
F03,FAM,Hemato,Unkn-27,38-D08,,28.27649809,28.27568565,28.24095344,diff,0.001148968,534.8,2.728156565,535.07,564.13,0.444362488,72,
B01,FAM,Hemato,Unkn-06,37-B02,,28.45272473,28.43724772,28.39750401,diff,0.021887799,470.8,2.672837621,476.13,504.31,7.532257054,72,
B02,FAM,Hemato,Unkn-06,37-B02,,28.42177071,28.43724772,28.39750401,diff,0.021887799,481.5,2.682554334,476.13,504.31,7.532257054,72,
H01,FAM,Hemato,Unkn-36,37-F06,,28.26695496,28.47360934,28.42735887,diff,0.29225343,538.5,2.731152229,468.93,499.02,98.32708178,72,
