,Well,Fluor,Target,Content,Sample,End RFU,Call,Sample Type,CallType,Is Control
,A01,FAM,Hemato,Unkn-01,38-A03,1469.75488571167,,Unknown,Unassigned,False
,A02,FAM,Hemato,Unkn-01,38-A03,1323.64179885043,,Unknown,Unassigned,False
,A03,FAM,Hemato,Unkn-02,31-H07,1979.91653023675,,Unknown,Unassigned,False
,A04,FAM,Hemato,Unkn-02,31-H07,1955.61636118923,,Unknown,Unassigned,False
,A05,FAM,Hemato,Unkn-03,32-A08,1915.87389378901,,Unknown,Unassigned,False
,A06,FAM,Hemato,Unkn-03,32-A08,1713.39930546481,,Unknown,Unassigned,False
,A07,FAM,Hemato,Unkn-04,32-B12,106.415796155608,,Unknown,Unassigned,False
,A08,FAM,Hemato,Unkn-04,32-B12,117.516495058455,,Unknown,Unassigned,False
,A09,FAM,Hemato,Unkn-05,32-C09,322.490939849819,,Unknown,Unassigned,False
,A10,FAM,Hemato,Unkn-05,32-C09,323.006424549573,,Unknown,Unassigned,False
,A11,FAM,Hemato,Std-07,,2177.95460389894,,Standard,Unassigned,False
,A12,FAM,Hemato,Std-07,,2009.87320386193,,Standard,Unassigned,False
,B01,FAM,Hemato,Unkn-06,31-G02,7.21385865256634,,Unknown,Unassigned,False
,B02,FAM,Hemato,Unkn-06,31-G02,167.774605512803,,Unknown,Unassigned,False
,B03,FAM,Hemato,Unkn-07,31-H08,1375.800927265,,Unknown,Unassigned,False
,B04,FAM,Hemato,Unkn-07,31-H08,1291.05307519743,,Unknown,Unassigned,False
,B05,FAM,Hemato,Unkn-08,32-B01,2293.95150818796,,Unknown,Unassigned,False
,B06,FAM,Hemato,Unkn-08,32-B01,2142.63214925176,,Unknown,Unassigned,False
,B07,FAM,Hemato,Unkn-09,32-C01,1960.88408254309,,Unknown,Unassigned,False
,B08,FAM,Hemato,Unkn-09,32-C01,2362.04285511543,,Unknown,Unassigned,False
,B09,FAM,Hemato,Unkn-10,32-E07,1624.84350685268,,Unknown,Unassigned,False
