,Data Set,Target,Sample,Control,Relative Quantity,Relative Quantity(lg),Relative Quantity SD,Corrected Relative Quantity SD,SD RQ(lg),Relative Quantity SEM,Corrected Relative Quantity SEM,SEM RQ(lg),Relative Quantity 95% CI Low,Relative Quantity 95% CI High,Unscaled Expression,Unscaled Expression(lg),Unscaled Expression SD,Corrected Unscaled Expression SD,SD Unscaled Expression(lg),Unscaled Expression SEM,Corrected Unscaled Expression SEM,SEM Unscaled Expression(lg),Expression,Expression(lg),Expression SD,Corrected Expression SD,SD Expression(lg),Expression SEM,Corrected Expression SEM,SEM Expression(lg),Expression 95% CI Low,Expression 95% CI High,Wells,Mean Cq,Cq SD,Cq SEM,P-Value
,1-FAM,Hemato,31-G02,,3.04495260133122E-06,-18.3251487984525,0,4.85640264364729E-07,NaN,0,4.85640264364729E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,37.0698729069825,0,0,NaN
,1-FAM,Hemato,31-G06,,2.5177753820485E-06,-18.5994189874822,0,4.07570743009442E-07,NaN,0,4.07570743009442E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,37.3450282305074,0,0,NaN
,1-FAM,Hemato,31-G07,,1.67061721475985E-05,-15.8692592650532,3.39829850651744E-06,4.10761034775656E-06,NaN,2.4029599184546E-06,2.90451913137069E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,34.6060576396552,0.2944139779026,0.208182120251035,NaN
,1-FAM,Hemato,31-G08,,1.79406352546245E-05,-15.7664094993151,6.53348645214606E-06,6.98190732067576E-06,NaN,4.61987257510292E-06,4.93695401206583E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,34.5028759535001,0.527085453694555,0.372705698572208,NaN
,1-FAM,Hemato,31-G12,,6.43433529849391E-05,-13.9238493564645,0.000295107260000668,0.000295210254402888,NaN,0.000147553630000334,0.000147605127201444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,32.6543694351143,6.63819579695142,3.31909789847571,NaN
,1-FAM,Hemato,31-H02,,1,0,0.0313352389294953,0.0313352389294953,NaN,0.0221573599371468,0.0221573599371468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,18.6855845374734,0.0453530880701366,0.0320694761221443,NaN
,1-FAM,Hemato,31-H05,,0.000121850883651484,-13.0025956661575,5.59614542833436E-05,5.76353357579546E-05,NaN,3.95707238088132E-05,4.07543367504132E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,31.7301426421778,0.664712983743284,0.470023058347619,NaN
,1-FAM,Hemato,31-H07,,0.157246643440796,-2.66889887296882,0.00669222489949382,0.00762412222444467,NaN,0.00473211760765754,0.00539106852549989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,21.3630965756763,0.0615974872631879,0.0435560009478522,NaN
,1-FAM,Hemato,31-H08,,0.000435042067461041,-11.166557466903,8.15645291745513E-05,9.18715903059143E-05,NaN,5.76748316836132E-05,6.49630245037043E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,29.8881791152361,0.271358813857021,0.191879657413038,NaN
,1-FAM,Hemato,31-H10,,0.00440755161419376,-7.82580682048126,0.000108745538393726,0.000319290874269655,NaN,7.68947076219856E-05,0.000225772742367054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,26.5366470796748,0.0357098391356861,0.0252506694079244,NaN
,1-FAM,Hemato,32-A01,,0.277162997992867,-1.85119342823257,0.0127940058443151,0.0135509263927974,NaN,0.0090467282910555,0.00958195194370683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,20.5427522028864,0.0668105654216499,0.0472422038645561,NaN
,1-FAM,Hemato,32-A04,,0.000769352909193287,-10.3440668521666,4.28599067298213E-05,8.14517325109436E-05,NaN,3.03065306896796E-05,5.7595072397881E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,29.0630341295755,0.0806305224888329,0.0570143892224682,NaN
,1-FAM,Hemato,32-A07,,0.000855705089406192,-10.1905987083426,7.06808902581473E-05,0.000103710015870375,NaN,4.99789368018382E-05,7.33340554989066E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,28.909070707907,0.11955059688575,0.0845350377528131,NaN
,1-FAM,Hemato,32-A08,,0.0118214950614569,-6.40244368544782,0.00304733202901498,0.00311771590315218,NaN,0.00215478914224345,0.00220455805693205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,25.1086904165784,0.373096542128075,0.263819094976014,NaN
,1-FAM,Hemato,32-B01,,0.712513079607558,-0.489011596916639,0.118789861692393,0.118828562245249,NaN,0.0839971167389028,0.0840244821622633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,19.1761742899838,0.241301703772524,0.170626071049419,NaN
,1-FAM,Hemato,32-B03,,3.1369262937671E-06,-18.2822169377729,5.98660214226915E-07,7.79443296543378E-07,NaN,4.23316697106443E-07,5.5114964053622E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,37.0268024950772,0.276216701692702,0.195314702843891,NaN
,1-FAM,Hemato,32-B04,,0.000608367954861106,-10.6827682169219,5.57824501173268E-05,7.94425494407449E-05,NaN,3.94441487491621E-05,5.61743654242983E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,29.4028285634047,0.132710445952193,0.0938404562670865,NaN
,1-FAM,Hemato,32-B06,,1.14698144626471E-06,-19.7337265150222,0,1.96993609723601E-07,NaN,0,1.96993609723601E-07,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,38.4829964355875,0,0,NaN
,1-FAM,Hemato,32-B07,,0.0251302628685735,-5.31443042754128,0.000151820340914189,0.0011722323052958,NaN,0.000107353192582476,0.0008288934122006,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,24.017165883643,0.00874393224413122,0.00618289378406089,NaN
,1-FAM,Hemato,32-B08,,6.62442252110149E-05,-13.8818457802141,5.67424172707295E-05,5.73040879844923E-05,NaN,4.01229480330495E-05,4.0520109203545E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,32.6122303034308,1.23974869824116,0.876634711493516,NaN
