,Well,Fluor,Target,Content,Sample,Biological Set Name,Cq,Cq Mean,Cq Std. Dev,Starting Quantity (SQ),Log Starting Quantity,SQ Mean,SQ Std. Dev,Set Point,Well Note
,B01,FAM,Hemato,Unkn-06,31-G02,,NaN,0,0,NaN,NaN,0,0,72,
,B02,FAM,Hemato,Unkn-06,31-G02,,37.0698729069825,37.0698729069825,0,2.31608195457655,0.364753922840648,2.31608195457655,0,72,
,C01,FAM,Hemato,Unkn-11,31-G06,,37.3450282305074,37.3450282305074,0,1.91509520558389,0.282190369026292,1.91509520558389,0,72,
,C02,FAM,Hemato,Unkn-11,31-G06,,NaN,0,0,NaN,NaN,0,0,72,
,D09,FAM,Hemato,Unkn-20,32-D06,,NaN,0,0,NaN,NaN,0,0,72,
,D10,FAM,Hemato,Unkn-20,32-D06,,38.3416134753741,38.3416134753741,0,0.961951951180899,-0.0168466201224191,0.961951951180899,0,72,
,E05,FAM,Hemato,Unkn-23,32-B06,,NaN,0,0,NaN,NaN,0,0,72,
,E06,FAM,Hemato,Unkn-23,32-B06,,38.4829964355875,38.4829964355875,0,0.872428368430568,-0.0592702210707017,0.872428368430568,0,72,
,H11,FAM,Hemato,NTC,,,NaN,0,0,NaN,NaN,0,0,72,
,H12,FAM,Hemato,NTC,,,39.2085945432372,39.2085945432372,0,NaN,NaN,NaN,0,72,
,F11,FAM,Hemato,Std-12,,,33.1421921864198,33.137695828461,0.00635881040660408,30,1.47712125471966,30,0,72,
,F12,FAM,Hemato,Std-12,,,33.1331994705022,33.137695828461,0.00635881040660408,30,1.47712125471966,30,0,72,
,F05,FAM,Hemato,Unkn-28,32-B07,,24.0233487774271,24.017165883643,0.00874393224413122,19033.3471355135,4.27951516845833,19115.0034306649,115.479440056313,72,
,F06,FAM,Hemato,Unkn-28,32-B07,,24.0109829898589,24.017165883643,0.00874393224413122,19196.6597258164,4.28322566678436,19115.0034306649,115.479440056313,72,
,H07,FAM,Hemato,Unkn-39,32-C12,,29.1034530182213,29.1180194991668,0.0206001149091536,569.076732289124,2.75517082907166,563.406666331388,8.0186841769806,72,
,H08,FAM,Hemato,Unkn-39,32-C12,,29.1325859801123,29.1180194991668,0.0206001149091536,557.736600373652,2.74642914515276,563.406666331388,8.0186841769806,72,
,B11,FAM,Hemato,Std-08,,,20.0415180192343,20.0265696249409,0.0211402219453743,300000,5.47712125471966,300000,0,72,
,B12,FAM,Hemato,Std-08,,,20.0116212306475,20.0265696249409,0.0211402219453743,300000,5.47712125471966,300000,0,72,
,C03,FAM,Hemato,Unkn-12,31-H10,,26.5113964102669,26.5366470796748,0.0357098391356861,3411.51707937251,3.53294754986733,3353.0256995259,82.7193026609958,72,
,C04,FAM,Hemato,Unkn-12,31-H10,,26.5618977490828,26.5366470796748,0.0357098391356861,3294.53431967929,3.51779403602066,3353.0256995259,82.7193026609958,72,
,H09,FAM,Hemato,Unkn-40,31-H02,,18.7176540135955,18.6855845374734,0.0453530880701366,743961.680954682,5.87155056702638,760816.610222512,23836.4695634041,72,
,H10,FAM,Hemato,Unkn-40,31-H02,,18.6535150613512,18.6855845374734,0.0453530880701366,777671.539490341,5.89079620533487,760816.610222512,23836.4695634041,72,
,B09,FAM,Hemato,Unkn-10,32-E07,,26.9446596609421,26.9783923604039,0.0477052410743145,2528.9594996147,3.40294187432871,2471.37089615987,81.4425840439416,72,
,B10,FAM,Hemato,Unkn-10,32-E07,,27.0121250598657,26.9783923604039,0.0477052410743145,2413.78229270505,3.38269809702041,2471.37089615987,81.4425840439416,72,
,C11,FAM,Hemato,Std-09,,,23.1167306349334,23.1552622697321,0.0544919605126428,30000,4.47712125471966,30000,0,72,
,C12,FAM,Hemato,Std-09,,,23.1937939045307,23.1552622697321,0.0544919605126428,30000,4.47712125471966,30000,0,72,
,D07,FAM,Hemato,Unkn-19,32-C03,,25.8368928679316,25.7974911390369,0.0557224593837685,5436.76022098987,3.73534017960879,5588.87037084569,215.116236900699,72,
,D08,FAM,Hemato,Unkn-19,32-C03,,25.7580894101423,25.7974911390369,0.0557224593837685,5740.9805207015,3.75898607329747,5588.87037084569,215.116236900699,72,
,F07,FAM,Hemato,Unkn-29,32-C05,,27.2457960076498,27.2031835266026,0.0602631486233273,2053.91474378782,3.3125824124497,2116.20132462929,88.0865273798607,72,
,F08,FAM,Hemato,Unkn-29,32-C05,,27.1605710455554,27.2031835266026,0.0602631486233273,2178.48790547077,3.33815515316235,2116.20132462929,88.0865273798607,72,
,A03,FAM,Hemato,Unkn-02,31-H07,,21.3195405747284,21.3630965756763,0.0615974872631879,123260.59349056,5.09082425449521,119660.660099634,5091.0746250871,72,
,A04,FAM,Hemato,Unkn-02,31-H07,,21.4066525766241,21.3630965756763,0.0615974872631879,116060.726708708,5.06468528555122,119660.660099634,5091.0746250871,72,
,D03,FAM,Hemato,Unkn-17,32-A01,,20.5899944067509,20.5427522028864,0.0668105654216499,204048.339059006,5.30973306399317,210930.7729199,9733.23130821193,72,
,D04,FAM,Hemato,Unkn-17,32-A01,,20.4955099990218,20.5427522028864,0.0668105654216499,217813.206780794,5.33808420902,210930.7729199,9733.23130821193,72,
,F03,FAM,Hemato,Unkn-27,32-A04,,29.006019740353,29.0630341295755,0.0806305224888329,608.704926746857,2.7844068168677,585.646911425187,32.6089579893132,72,
,F04,FAM,Hemato,Unkn-27,32-A04,,29.1200485187979,29.0630341295755,0.0806305224888329,562.588896103516,2.75019115618226,585.646911425187,32.6089579893132,72,
,G07,FAM,Hemato,Unkn-34,32-C06,,28.9052355415897,28.962735803814,0.0813176506777352,652.60183022797,2.81464828743652,627.678568769029,35.2468143738044,72,
,G08,FAM,Hemato,Unkn-34,32-C06,,29.0202360660384,28.962735803814,0.0813176506777352,602.755307310089,2.78014104306498,627.678568769029,35.2468143738044,72,
,A09,FAM,Hemato,Unkn-05,32-C09,,35.6773641878635,35.7395890730151,0.0879992764984916,6.06167089333875,0.782592353495328,5.81195563327337,0.353150707515986,72,
,A10,FAM,Hemato,Unkn-05,32-C09,,35.8018139581667,35.7395890730151,0.0879992764984916,5.56224037320799,0.74524975304704,5.81195563327337,0.353150707515986,72,
,A07,FAM,Hemato,Unkn-04,32-B12,,37.9037118692399,37.8386420748238,0.0920225857641133,1.30181972580813,0.114550847897764,1.36305866628411,0.0866049401664927,72,
,A08,FAM,Hemato,Unkn-04,32-B12,,37.7735722804076,37.8386420748238,0.0920225857641133,1.42429760676009,0.15360074454625,1.36305866628411,0.0866049401664927,72,
,H03,FAM,Hemato,Unkn-37,32-A07,,28.8245356701542,28.909070707907,0.11955059688575,690.022452024685,2.83886322208768,651.985361271115,53.7925696169146,72,
,H04,FAM,Hemato,Unkn-37,32-A07,,28.9936057456598,28.909070707907,0.11955059688575,613.948270517545,2.78813178030207,651.985361271115,53.7925696169146,72,
,D05,FAM,Hemato,Unkn-18,32-B04,,29.4966690196718,29.4028285634047,0.132710445952193,433.692384614101,2.63718179625734,463.715807677229,42.4595320847408,72,
,D06,FAM,Hemato,Unkn-18,32-B04,,29.3089881071376,29.4028285634047,0.132710445952193,493.739230740357,2.69349763606531,463.715807677229,42.4595320847408,72,
