baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN4994_c0_g1_i4	29.368775466857	8.62720910357828	1.64579337153731	5.24197584750249	1.5886616907224e-07	2.66461206572401e-05
TRINITY_DN58475_c1_g1_i1	12.4776903494045	-23.1397250057422	2.63181104750824	-8.7923200366723	1.46502740764142e-18	3.6045289315604e-16
TRINITY_DN3947_c0_g1_i15	6.60586007377055	-22.2814756471539	2.78885303395324	-7.98947645354033	1.35513005534625e-15	2.67228472240402e-13
TRINITY_DN6603_c2_g1_i2	13.8588485443857	22.8946212465083	2.75018000699022	8.32477190159057	8.44912780268057e-17	1.86443206728338e-14
TRINITY_DN1631_c0_g1_i1	15.2391521542284	-23.4074172658617	2.44854735157125	-9.55971598868243	1.18080296196904e-21	1.38966732589199e-18
TRINITY_DN7822_c1_g1_i1	22.2220592074917	-23.9097564423503	2.46339684753492	-9.70601081440711	2.84244718238937e-22	7.1683472460736e-19
TRINITY_DN3210_c0_g1_i1	16.9763135251233	-23.5580637689264	2.46811132036934	-9.54497618259822	1.36138881229431e-21	1.57593029840226e-18
TRINITY_DN28371_c0_g1_i4	19.6347661216038	-23.7585247512672	2.64613881015549	-8.9785632787235	2.74325339999647e-19	1.76099411212682e-16
TRINITY_DN87970_c0_g1_i5	7.32336965889422	-20.4744171560472	2.96188818316834	-6.91262326255197	4.75772273735274e-12	8.11490520900215e-10
TRINITY_DN16184_c0_g1_i5	31.3804191719218	-23.1336934350974	2.49451462290682	-9.27382554612572	1.7958654969196e-20	1.6469019523894e-17
TRINITY_DN12613_c0_g1_i16	13.9973130960221	-23.2879838309575	2.84849686635313	-8.17553429882218	2.94557626399426e-16	6.26493905811526e-14
TRINITY_DN719_c5_g1_i2	12770.2002967274	-6.10098722649777	1.3653327760923	-4.46849832753543	7.87706284434633e-06	0.00123331050693532
TRINITY_DN94199_c0_g1_i20	12.6686375381054	-23.1580271116638	2.61995550563918	-8.8390917562602	9.64998447552161e-19	2.66177481941409e-16
TRINITY_DN2612_c0_g1_i20	14.7405059154875	-23.3103635777654	2.63643176392027	-8.84163356577975	9.43291522467889e-19	2.64320016968353e-16
TRINITY_DN3130_c0_g1_i9	14.0983363579678	-23.2717013229833	2.61997354694627	-8.88241843132646	6.54222164262697e-19	2.43962458341871e-16
TRINITY_DN42229_c14_g1_i1	30.3047978074984	8.6725937985413	2.06218869874672	4.20552871995274	2.60472507628456e-05	0.00380802177663938
TRINITY_DN2779_c6_g1_i4	43.6184734145722	8.97432616894253	2.12029033874894	4.23259305809872	2.31012277285134e-05	0.00342698948233933
TRINITY_DN14353_c0_g1_i17	17.8667720826236	-23.6294943978909	2.64333867686706	-8.93926102042174	3.91781441522239e-19	2.05785524396358e-16
TRINITY_DN25028_c0_g1_i24	15.0162434367392	-23.3853288635796	2.62691193042318	-8.90221274369573	5.47442131042756e-19	2.32668225971761e-16
TRINITY_DN78532_c0_g1_i16	19.7044652599582	-23.7333071959079	2.45818530747471	-9.65480800968951	4.69037020842644e-22	8.71581872441094e-19
TRINITY_DN13_c0_g1_i4	11.5819028045206	-23.0385935030181	2.60397023038021	-8.84748728469686	8.95118305973166e-19	2.59045036638046e-16
TRINITY_DN19559_c2_g1_i14	25.9752784764424	-24.1265036970525	2.32869973580921	-10.3605043303999	3.74979622165338e-25	5.57584140640624e-21
TRINITY_DN232_c0_g1_i3	77.2068187666151	25.2204204018006	2.88326321729321	8.74717932463945	2.18751922031429e-18	5.30815445718395e-16
TRINITY_DN37_c0_g1_i17	15.2991069157929	-23.3749000209357	2.63107626182413	-8.88415906452283	6.44060831402563e-19	2.43962458341871e-16
TRINITY_DN10713_c2_g1_i1	12.8095743629794	-23.1767520619671	2.60988230918569	-8.88038206948823	6.66311012283352e-19	2.4415829957295e-16
TRINITY_DN2635_c0_g1_i3	23.4232428755983	-24.0004998166614	2.66002135896615	-9.02267184275147	1.83556764884831e-19	1.33805861482432e-16
TRINITY_DN265_c1_g1_i7	11.0017602992151	-22.9679529449916	2.60966586454112	-8.80110870018613	1.35471052810401e-18	3.38380772507263e-16
TRINITY_DN240_c0_g1_i24	40.8195498435955	-24.7488878421452	2.70085790014129	-9.16334318841822	5.03138915832638e-20	4.2295414599631e-17
TRINITY_DN72645_c0_g1_i7	23.3116458582762	-21.9034719071967	2.46859551300699	-8.87284765437988	7.12988399035258e-19	2.45209809521735e-16
TRINITY_DN438602_c0_g1_i1	49.5196398244427	-8.09872075068014	1.60423414330977	-5.04834084504104	4.45663516843103e-07	7.33557993352961e-05
TRINITY_DN20025_c0_g1_i8	13.8487476973111	-23.2727034412375	2.61694495441991	-8.89308099581187	5.94374570726102e-19	2.43962458341871e-16
TRINITY_DN1736_c0_g1_i65	14.4693151883864	-23.3396030530354	2.85273705401122	-8.18147716075608	2.8038524870986e-16	5.98152373629889e-14
TRINITY_DN18032_c0_g1_i35	15.7632545840195	-22.2665688154039	2.45049190532802	-9.08657105415874	1.02211703984275e-19	8.20167619709271e-17
TRINITY_DN29665_c0_g1_i8	11.8056709113848	-23.0659902493249	2.61133711326352	-8.83301896647811	1.01887738770175e-18	2.76715342222244e-16
TRINITY_DN1215_c0_g1_i11	23.7940372241334	-24.0098033900496	2.47327849225418	-9.70768292581833	2.7962120190637e-22	7.1683472460736e-19
TRINITY_DN2787_c0_g1_i8	15.5081149791653	-23.43767164287	2.62609921493744	-8.9248995276168	4.46103955726714e-19	2.23056539609844e-16
TRINITY_DN1556_c0_g1_i2	12.4955568826339	-23.1436147351072	2.61162136068196	-8.86178030381242	7.87466658034159e-19	2.45209809521735e-16
TRINITY_DN11383_c0_g1_i25	17.30986661728	23.2072399465707	2.9509933841866	7.86421280065573	3.71425684468257e-15	7.08850861009649e-13
TRINITY_DN312725_c0_g1_i1	13.439438582331	-23.2409107654431	2.62092127864917	-8.86745853634395	7.48342277213118e-19	2.45209809521735e-16
TRINITY_DN4312_c0_g1_i7	12.6835220079466	-23.1331210952178	2.61322439309081	-8.85232862374167	8.57118852488177e-19	2.52182223044782e-16
TRINITY_DN134001_c0_g2_i1	32.4598426013121	-3.55821808313787	0.800042870541797	-4.44753426866764	8.68616050501465e-06	0.00135398642768344
TRINITY_DN340394_c0_g1_i1	145.86355370078	5.55144566322322	1.27260999589403	4.36225212840893	1.28730395121193e-05	0.00198472475779318
TRINITY_DN6114_c0_g1_i9	25.2385328174662	-24.0889991098897	2.47657384576595	-9.72674372341984	2.31897613828558e-22	6.93858102247402e-19
TRINITY_DN8702_c0_g1_i31	23.3627568277709	7.62621833899812	1.77182049272522	4.30417097573372	1.67612186762933e-05	0.00256737512882668
TRINITY_DN30204_c0_g1_i9	12.3870158408399	-23.1315455372959	2.61244634162743	-8.85436197050693	8.41638443857915e-19	2.49708468219071e-16
TRINITY_DN29707_c0_g1_i3	20.8506585505313	-23.8402758993759	2.46209146668909	-9.68293673160534	3.56330482362275e-22	7.88523665791683e-19
TRINITY_DN69374_c2_g1_i26	18.5468058944073	23.3070484471437	2.55810168803054	9.11107191563115	8.15719874870495e-20	6.77652088520356e-17
TRINITY_DN3595_c0_g1_i3	8.72519090031997	-22.657843732708	2.60638942792983	-8.69319200343151	3.52396094996196e-18	8.35025015300885e-16
TRINITY_DN18918_c0_g1_i27	21.1647236812863	-22.7575779116814	2.65285603414793	-8.57851976087005	9.61018086379483e-18	2.23224901754982e-15
TRINITY_DN13054_c2_g1_i16	11.6260319369485	-23.0430869049561	2.61194254172076	-8.82220283826581	1.12229719705556e-18	2.92430892899205e-16
TRINITY_DN1315_c0_g1_i16	11.5003372498366	-23.0276242416709	2.60630618919219	-8.83534879254081	9.97864226798906e-19	2.73109250569578e-16
TRINITY_DN1315_c0_g1_i4	17.3247894116104	-23.5545449664047	2.4585072990736	-9.58083182233398	9.62664532199014e-22	1.19257246688016e-18
TRINITY_DN240_c0_g1_i29	21.4744450665148	-23.8815862610764	2.65200551378829	-9.00510430197502	2.15460907769942e-19	1.51178555972644e-16
TRINITY_DN6605_c0_g1_i3	45.3057030549696	24.5519165221562	2.47540252892601	9.91835317095209	3.46424599857612e-23	1.5288800168591e-19
TRINITY_DN4453_c0_g1_i7	11.9240007305083	-23.0770693596099	2.60514116028708	-8.85827981661726	8.12585436507243e-19	2.45209809521735e-16
TRINITY_DN2732_c0_g1_i7	15.7867108382174	-23.4139458894723	2.62908644747165	-8.90573450408565	5.30337168938166e-19	2.30555312315788e-16
TRINITY_DN9310_c0_g1_i4	8.19737886025863	-22.5721755719347	2.96169289101247	-7.62137615295362	2.50985376138525e-14	4.52113019522186e-12
TRINITY_DN11129_c0_g1_i1	21.1450658781656	-23.8554617457066	2.47274270839842	-9.64736916003591	5.04329462677899e-22	8.93318644729228e-19
TRINITY_DN3_c30_g1_i15	15.5983245136988	-23.3876427459105	2.63796022144093	-8.86580569176875	7.59528293158038e-19	2.45209809521735e-16
TRINITY_DN12851_c0_g1_i5	31.3903895742111	-24.3820298216986	2.50203665245568	-9.74487316073818	1.94021009846705e-22	6.71782655469276e-19
TRINITY_DN9042_c0_g1_i15	12.3363131328389	-23.1236114233226	2.6073186929063	-8.86873226745726	7.39833161556062e-19	2.45209809521735e-16
TRINITY_DN20057_c0_g1_i14	11.7431667946779	-20.7996652126925	2.60733771709581	-7.97735754609506	1.494992898628e-15	2.9323870430783e-13
TRINITY_DN7503_c0_g1_i21	23.2930499941489	-21.8090498180065	2.46690381730283	-8.84065672323262	9.51576051941691e-19	2.64541888802199e-16
TRINITY_DN2555_c0_g1_i4	10.6613224477188	21.747373875345	2.73884251743229	7.94035207826902	2.01608156429148e-15	3.88966031418891e-13
TRINITY_DN2554_c1_g1_i8	8.0097113376502	-22.5359811097975	2.81107758086087	-8.01684779645819	1.08493422706981e-15	2.17026800498812e-13
