baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN978_c2_g1_i3	14.8927576896187	-21.7419069323461	3.91017807625604	-5.56033676940969	2.6925457862025e-08	2.78138668163876e-06
TRINITY_DN29869_c0_g1_i18	14.2053996424055	-21.6779420540505	3.91034323389753	-5.54374405451963	2.96071518717733e-08	2.78138668163876e-06
TRINITY_DN135171_c0_g1_i12	16.4760182091037	-21.8793136964415	3.90985043160733	-5.59594646372367	2.19421408469194e-08	2.78138668163876e-06
TRINITY_DN311_c0_g1_i18	16.038354434974	-21.8413567237356	3.90993427296423	-5.58611864009086	2.32200637018108e-08	2.78138668163876e-06
TRINITY_DN183158_c0_g1_i1	15.0637880768948	-21.7570588405961	3.9101397422873	-5.56426631132854	2.63257651408124e-08	2.78138668163876e-06
TRINITY_DN21165_c0_g1_i6	17.1821332752081	-21.9280028393422	3.9097236102011	-5.60858132839072	2.03991834571004e-08	2.78138668163876e-06
TRINITY_DN17237_c0_g1_i10	14.8927576896187	-21.7419069323461	3.91017807625604	-5.56033676940969	2.6925457862025e-08	2.78138668163876e-06
TRINITY_DN12263_c0_g1_i3	14.6636383405476	-21.7213272040856	3.91023140707432	-5.55499788702729	2.77615119035554e-08	2.78138668163876e-06
TRINITY_DN196516_c0_g1_i4	16.7113898978052	-21.8942050509725	3.90980696617229	-5.59981739262361	2.14577719076957e-08	2.78138668163876e-06
TRINITY_DN13072_c0_g1_i21	16.038354434974	-21.8413567237356	3.90993427296423	-5.58611864009086	2.32200637018108e-08	2.78138668163876e-06
TRINITY_DN12704_c0_g1_i1	15.3509963877608	-21.7825737517828	3.91007618898669	-5.57088217696031	2.53452693451098e-08	2.78138668163876e-06
TRINITY_DN13592_c0_g1_i1	16.038354434974	-21.8413567237356	3.90993427296423	-5.58611864009086	2.32200637018108e-08	2.78138668163876e-06
TRINITY_DN531313_c0_g1_i1	14.3576730107903	-21.2759134581809	3.91030435843623	-5.44098655959593	5.2986312159735e-08	4.57716465825806e-06
TRINITY_DN127805_c0_g2_i2	15.5345314542977	-21.7982592991209	3.91003746025512	-5.57494896678012	2.47602440078807e-08	2.78138668163876e-06
TRINITY_DN16327_c0_g1_i9	14.4345189914766	-21.6954918021881	3.91028643332876	-5.5483126804394	2.88439691171619e-08	2.78138668163876e-06
TRINITY_DN2492_c1_g2_i3	14.6636383405476	-21.7213272040856	3.91023140707432	-5.55499788702729	2.77615119035554e-08	2.78138668163876e-06
TRINITY_DN26991_c0_g1_i17	16.9548318312582	-21.9181804553327	3.90976295069155	-5.60601262320927	2.07040868914056e-08	2.78138668163876e-06
