baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN21501_c2_g2_i3	20.3197706601188	21.4901287032334	3.90952640759454	5.49686239783092	3.86608132339299e-08	0.000196270169366111
TRINITY_DN319_c16_g1_i5	18.9468131830838	21.3911768030347	3.90972701084606	5.47127120223304	4.46818922681569e-08	0.000196270169366111
TRINITY_DN17849_c1_g2_i2	15.9263067336066	21.1452905444218	3.90320781438434	5.41741345836004	6.04674009926404e-08	0.000196270169366111
TRINITY_DN119382_c1_g1_i2	14.0371888302688	20.9768180395312	3.88817613497504	5.3950277228544	6.85129733117804e-08	0.000196270169366111
TRINITY_DN4566_c1_g1_i7	17.5738557060487	21.2878396648689	3.90826415138911	5.44687841974616	5.12614762661116e-08	0.000196270169366111
TRINITY_DN50222_c0_g1_i2	17.5738557060487	21.2878396648689	3.90826415138911	5.44687841974616	5.12614762661116e-08	0.000196270169366111
TRINITY_DN4977_c0_g1_i12	13.8307595827649	20.9567202941275	3.88755261817588	5.39072325250245	7.01746746374606e-08	0.000196270169366111
TRINITY_DN69810_c0_g2_i2	6377.70130029123	14.765680229492	2.88234344163842	5.12280390191764	3.01025370945359e-07	0.000773461257531391
TRINITY_DN45706_c1_g1_i2	14.0371888302688	20.9768180395312	3.88817613497504	5.3950277228544	6.85129733117804e-08	0.000196270169366111
TRINITY_DN118007_c0_g1_i10	15.9263067336066	21.1452905444218	3.90320781438434	5.41741345836004	6.04674009926404e-08	0.000196270169366111
TRINITY_DN1727_c2_g2_i22	16.2008982290136	21.1529783827722	3.90402627950474	5.41824692467379	6.01862557763289e-08	0.000196270169366111
TRINITY_DN3132_c4_g1_i6	14.8279407519786	21.0509928342414	3.89986881157137	5.39787204425457	6.74359322457785e-08	0.000196270169366111
TRINITY_DN55843_c0_g1_i3	15.9263067336066	21.1452905444218	3.90320781438434	5.41741345836004	6.04674009926404e-08	0.000196270169366111
TRINITY_DN142820_c0_g1_i1	15.9263067336066	21.1452905444218	3.90320781438434	5.41741345836004	6.04674009926404e-08	0.000196270169366111
TRINITY_DN18_c3_g2_i4	17.0246727152347	21.240203013697	3.90689387989461	5.4365958397288	5.43081333808905e-08	0.000196270169366111
TRINITY_DN5875_c2_g1_i16	15.9263067336066	21.1452905444218	3.90320781438434	5.41741345836004	6.04674009926404e-08	0.000196270169366111
TRINITY_DN70810_c2_g2_i8	15.3771237427926	21.1003002257478	3.90155128630411	5.40818220173542	6.36676374229217e-08	0.000196270169366111
TRINITY_DN29358_c3_g1_i1	15.6517152381996	20.3173025671841	3.90238119731897	5.20638593204133	1.92553966594968e-07	0.000497732864247698
TRINITY_DN32708_c0_g1_i14	19.4959961738978	21.4325045485456	3.90964337767119	5.48195896100171	4.20641823336484e-08	0.000196270169366111
TRINITY_DN18996_c0_g1_i16	17.8484472014557	21.3077349649077	3.90858818547772	5.45151700659491	4.9941944656435e-08	0.000196270169366111
TRINITY_DN110244_c0_g1_i7	1323.0865211997	14.1633196478878	3.20138945217901	4.42411642177668	9.6837791511372e-06	0.0237442667953628
TRINITY_DN35352_c4_g1_i8	14.5533492565716	21.0240014723115	3.89901807239325	5.39212721817593	6.96284421908363e-08	0.000196270169366111
TRINITY_DN284_c7_g1_i10	17.0246727152347	21.240203013697	3.90689387989461	5.4365958397288	5.43081333808905e-08	0.000196270169366111
TRINITY_DN76543_c2_g1_i3	14.0371888302688	20.9768180395312	3.88817613497504	5.3950277228544	6.85129733117804e-08	0.000196270169366111
TRINITY_DN20745_c0_g1_i1	17.5738557060487	21.2878396648689	3.90826415138911	5.44687841974616	5.12614762661116e-08	0.000196270169366111
TRINITY_DN2_c14_g1_i7	14.0371888302688	20.9768180395312	3.88817613497504	5.3950277228544	6.85129733117804e-08	0.000196270169366111
TRINITY_DN12007_c1_g1_i13	14.5533492565716	21.0240014723115	3.89901807239325	5.39212721817593	6.96284421908363e-08	0.000196270169366111
TRINITY_DN113960_c0_g1_i12	19.7705876693048	21.4519741653168	3.90960330413499	5.4869950981032	4.08828473608177e-08	0.000196270169366111
TRINITY_DN9036_c0_g1_i43	13.6243303352609	20.9349941933511	3.88692541431763	5.38600357913644	7.20415286532246e-08	0.000196270169366111
TRINITY_DN111895_c0_g1_i7	17.0246727152347	21.240203013697	3.90689387989461	5.4365958397288	5.43081333808905e-08	0.000196270169366111
TRINITY_DN216582_c0_g1_i10	20.5943621555258	21.5088027920052	3.90948949788417	5.50169089945015	3.76166018139828e-08	0.000196270169366111
TRINITY_DN912_c0_g1_i11	418.489848718819	-25.749840568537	3.62171898929584	-7.10983945597158	1.16178016613544e-12	1.42432090776468e-07
TRINITY_DN130098_c0_g1_i2	2242.71502998575	12.6135715969272	2.87653091226324	4.38499428014243	1.159888261706e-05	0.0280394655675686
TRINITY_DN32255_c0_g1_i1	15.9263067336066	21.1452905444218	3.90320781438434	5.41741345836004	6.04674009926404e-08	0.000196270169366111
TRINITY_DN81216_c1_g1_i1	16.4754897244207	21.1949090435394	3.90483810610419	5.42785858660995	5.70341992317444e-08	0.000196270169366111
