baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN56_c0_g1_i2	59.3915398705259	22.5428616737901	3.1810950250699	7.08650998984061	1.37536292812159e-12	2.74895753247845e-09
TRINITY_DN130_c0_g1_i6	16.9672920465063	20.8090431500641	3.05213567424627	6.81786308703427	9.24046405086888e-12	1.29283332535706e-08
TRINITY_DN791_c0_g1_i73	28.2702157106659	21.5173045923647	2.88350409745367	7.46220704571426	8.50850414701152e-14	2.38084963041676e-10
TRINITY_DN10270_c0_g1_i1	251.677661008706	24.5595888463361	2.837851307413	8.65429023084538	4.95988494893661e-18	6.93937503205722e-14
TRINITY_DN1698_c1_g1_i5	2062.01998742675	27.4982680345918	3.24383081811698	8.47709685752178	2.30882728097441e-17	1.61514012440565e-13
TRINITY_DN439_c0_g1_i7	16.9292873523172	20.8034342859075	3.06329968715188	6.79118480413832	1.11216347769071e-11	1.41457083785189e-08
TRINITY_DN0_c2_g1_i14	64.8002569957406	22.6674602359509	3.00133555155969	7.55245784636489	4.27119909191913e-14	1.49395866237601e-10
TRINITY_DN344_c0_g1_i2	25.7110001481956	21.3787409086889	3.10090641238701	6.89435218789206	5.4110815561699e-12	9.46330525654663e-09
TRINITY_DN3034_c0_g1_i3	59.3976352801636	22.5434515792619	2.94248761818459	7.66135817868638	1.83976965685872e-14	8.58007242303678e-11
TRINITY_DN301_c0_g1_i8	21.5427190014595	21.140042884523	3.08403190538651	6.85467710226998	7.14737747022349e-12	1.11109953539885e-08
TRINITY_DN8122_c0_g1_i6	124.714819459763	23.5821486104412	3.25425608710066	7.24655588843086	4.2750282370703e-13	9.96865334414176e-10
TRINITY_DN13999_c0_g1_i6	17.966372068311	20.8821088580135	3.10348927493935	6.72859063075757	1.71314279792833e-11	1.9973817404846e-08
