baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN38046_c0_g1_i1	28.1561809268017	-23.3986635331384	2.61011853282362	-8.96459805901065	3.11414556082125e-19	7.22755704711479e-17
TRINITY_DN2718_c0_g1_i12	44.1424768460422	-24.0325187872412	2.41083172838688	-9.96855919235873	2.0924210473132e-23	1.97033564864702e-20
TRINITY_DN32701_c0_g1_i1	39.3233348768248	-23.854886226764	2.60313630465926	-9.16390209151436	5.00538796405998e-20	1.83894028005082e-17
TRINITY_DN8300_c0_g1_i1	34.7775674265699	-23.6679866676965	2.42600998069987	-9.75593128469678	1.73996270963588e-22	1.25391081886337e-19
TRINITY_DN39178_c0_g1_i1	65.1841813247414	-24.5578152056068	2.4374524669269	-10.075197583881	7.11177093839698e-24	9.51808943376745e-21
TRINITY_DN39122_c0_g1_i1	92.55425883799	-25.026386718542	2.27565577400503	-10.9974395092703	3.9313658504929e-28	3.68310009703427e-24
TRINITY_DN31940_c0_g1_i1	18.4077613734172	-22.803919782814	2.82399472284919	-8.07505750570479	6.74448531471828e-16	1.01097137073501e-13
TRINITY_DN843_c0_g1_i16	162.575684105654	-25.7874138944712	2.54115299033229	-10.1479186780876	3.38505471509818e-24	5.28548084973288e-21
TRINITY_DN11096_c0_g1_i1	32.0688007608203	-23.5985709325334	2.86243518363904	-8.24422892347638	1.66228643540001e-16	3.17818989184593e-14
TRINITY_DN34796_c0_g1_i1	32.2350157985766	-23.603504026396	2.58868370837004	-9.1179559519297	7.65545195832654e-20	2.52254629120735e-17
TRINITY_DN36924_c0_g1_i1	16.1012563870206	-22.6582681443404	2.80840427186978	-8.0680222471158	7.14460306749107e-16	1.06244783869508e-13
TRINITY_DN20764_c0_g1_i1	30.9967601573019	-23.5321364213808	2.61967097077426	-8.98285955904828	2.63819173259113e-19	6.25718968272911e-17
TRINITY_DN576_c0_g1_i4	44.1926239361583	-24.0299602976495	2.89021820291994	-8.31423740718689	9.23441290105872e-17	1.84069355879933e-14
TRINITY_DN843_c0_g1_i14	316.588655253616	-26.7186003559488	2.77107706837938	-9.64195498596318	5.31656458752068e-22	3.55773109558482e-19
TRINITY_DN10500_c0_g1_i1	80.3220762669244	-9.7709919290607	2.24015511971158	-4.36174791784897	1.2902748094554e-05	0.00161172527365105
TRINITY_DN39539_c0_g1_i1	154.253392785805	-11.2230860889221	2.38946712217538	-4.69689914741517	2.64140788929813e-06	0.000361255909648023
TRINITY_DN6546_c0_g1_i1	142.70334321479	-25.6301878196271	2.45609267311654	-10.4353504654631	1.70981640339745e-25	6.4073659900916e-22
TRINITY_DN27323_c0_g1_i1	16.468115205088	-22.6900868970914	2.82013796740409	-8.04573647082146	8.57282923662372e-16	1.26479607406786e-13
TRINITY_DN22912_c0_g1_i6	43.1042602301341	-24.0022212122562	2.64684590658068	-9.06823519744048	1.20960229202884e-19	3.59751081678482e-17
TRINITY_DN24166_c0_g2_i1	69.4513885036237	-24.6449943057858	2.48840305329026	-9.90393990764447	4.00191505942331e-23	3.40835829401884e-20
TRINITY_DN30419_c0_g1_i1	28.7998524432184	-23.4513484230317	2.85241274856055	-8.22158309132026	2.00834285629978e-16	3.66396567975752e-14
TRINITY_DN1306_c0_g1_i24	17.558550811847	7.81818149843432	1.51179516586395	5.17145554832254	2.32277531563688e-07	3.32227794573193e-05
TRINITY_DN4967_c0_g3_i1	40.9703833561713	-23.9291958141147	2.60118119064341	-9.19935754579084	3.60096227516257e-20	1.5334370488573e-17
TRINITY_DN897_c0_g1_i1	51.4209755858736	-24.2341468573349	2.63390730335031	-9.20083513436833	3.55178443090399e-20	1.5334370488573e-17
TRINITY_DN28638_c0_g1_i1	53.5632400415247	-24.2927507038406	2.41553563443855	-10.0568794587404	8.56708703829762e-24	9.9647492294105e-21
