baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN21501_c2_g2_i3	20.3197706601188	21.4901286273145	3.90952640759455	5.49686237841196	3.86608174894667e-08	0.000196270135128917
TRINITY_DN319_c16_g1_i5	18.9468131830838	21.3911769539864	3.90972701084602	5.47127124084235	4.46818825323711e-08	0.000196270135128917
TRINITY_DN17849_c1_g2_i2	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN119382_c1_g1_i2	14.0371888302688	20.9768180669874	3.88817613497497	5.39502772991595	6.85129706172579e-08	0.000196270135128917
TRINITY_DN4566_c1_g1_i7	17.5738557060487	21.287839685668	3.90826415138908	5.44687842506803	5.12614747329972e-08	0.000196270135128917
TRINITY_DN50222_c0_g1_i2	17.5738557060487	21.287839685668	3.90826415138908	5.44687842506803	5.12614747329972e-08	0.000196270135128917
TRINITY_DN4977_c0_g1_i12	13.8307595827649	20.9567202796164	3.88755261817639	5.39072324876904	7.01746760954997e-08	0.000196270135128917
TRINITY_DN69810_c0_g2_i2	6377.70130029123	14.765680229492	2.88234344163842	5.12280390191764	3.01025370945359e-07	0.000773461257531391
TRINITY_DN45706_c1_g1_i2	14.0371888302688	20.9768180669874	3.88817613497497	5.39502772991595	6.85129706172579e-08	0.000196270135128917
TRINITY_DN118007_c0_g1_i10	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN1727_c2_g2_i22	16.2008982290136	21.1529783081658	3.90402627950461	5.41824690556386	6.01862622079542e-08	0.000196270135128917
TRINITY_DN3132_c4_g1_i6	14.8279407519786	21.0509928857767	3.89986881157137	5.3978720574692	6.74359272801866e-08	0.000196270135128917
TRINITY_DN55843_c0_g1_i3	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN142820_c0_g1_i1	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN18_c3_g2_i4	17.0246727152347	21.2402026693443	3.90689387989528	5.43659575158812	5.43081602335937e-08	0.000196270135128917
TRINITY_DN5875_c2_g1_i16	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN70810_c2_g2_i8	15.3771237427926	21.1003002355603	3.90155128630407	5.40818220425049	6.36676365290531e-08	0.000196270135128917
TRINITY_DN29358_c3_g1_i1	15.6517152381996	20.3173025489934	3.90238119731877	5.20638592738016	1.9255397142938e-07	0.000497732876744172
TRINITY_DN32708_c0_g1_i14	19.4959961738978	21.4325045565717	3.9096433776712	5.4819589630546	4.20641818454188e-08	0.000196270135128917
TRINITY_DN18996_c0_g1_i16	17.8484472014557	21.3077349108193	3.90858818547773	5.45151699275653	4.99419485434667e-08	0.000196270135128917
TRINITY_DN35352_c4_g1_i8	14.5533492565716	21.0240014415593	3.89901807239327	5.39212721028874	6.96284452478573e-08	0.000196270135128917
TRINITY_DN284_c7_g1_i10	17.0246727152347	21.2402026693443	3.90689387989528	5.43659575158812	5.43081602335937e-08	0.000196270135128917
TRINITY_DN76543_c2_g1_i3	14.0371888302688	20.9768180669874	3.88817613497497	5.39502772991595	6.85129706172579e-08	0.000196270135128917
TRINITY_DN20745_c0_g1_i1	17.5738557060487	21.287839685668	3.90826415138908	5.44687842506803	5.12614747329972e-08	0.000196270135128917
TRINITY_DN2_c14_g1_i7	14.0371888302688	20.9768180669874	3.88817613497497	5.39502772991595	6.85129706172579e-08	0.000196270135128917
TRINITY_DN12007_c1_g1_i13	14.5533492565716	21.0240014415593	3.89901807239327	5.39212721028874	6.96284452478573e-08	0.000196270135128917
TRINITY_DN113960_c0_g1_i12	19.7705876693048	21.4519742222691	3.909603304135	5.48699511267048	4.08828439907273e-08	0.000196270135128917
TRINITY_DN9036_c0_g1_i43	13.6243303352609	20.9349943152849	3.88692541431758	5.38600361050673	7.20415160863644e-08	0.000196270135128917
TRINITY_DN111895_c0_g1_i7	17.0246727152347	21.2402026693443	3.90689387989528	5.43659575158812	5.43081602335937e-08	0.000196270135128917
TRINITY_DN216582_c0_g1_i10	20.5943621555258	21.5088027109809	3.9094894978842	5.50169087872507	3.76166062367347e-08	0.000196270135128917
TRINITY_DN912_c0_g1_i11	418.489848718819	-25.7498405805904	3.62171898929584	-7.10983945929964	1.16178013812125e-12	1.42432087341981e-07
TRINITY_DN32255_c0_g1_i1	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN81216_c1_g1_i1	16.4754897244207	21.1949090435394	3.90483810610419	5.42785858660995	5.70341992317444e-08	0.000196270135128917
TRINITY_DN2992_c6_g1_i21	18.9468131830838	21.3911769539864	3.90972701084602	5.47127124084235	4.46818825323711e-08	0.000196270135128917
TRINITY_DN53462_c2_g1_i42	16.7500812198277	21.2213540598524	3.90619840416733	5.4327383978275	5.54957373370188e-08	0.000196270135128917
TRINITY_DN32736_c2_g1_i9	15.6517152381996	20.3173025489934	3.90238119731877	5.20638592738016	1.9255397142938e-07	0.000497732876744172
TRINITY_DN3603_c1_g1_i3	13.8307595827649	20.9567202796164	3.88755261817639	5.39072324876904	7.01746760954997e-08	0.000196270135128917
TRINITY_DN4030_c1_g2_i2	14.5533492565716	21.0240014415593	3.89901807239327	5.39212721028874	6.96284452478573e-08	0.000196270135128917
TRINITY_DN91630_c0_g1_i1	15.9263067336066	21.1452906290686	3.90320781438467	5.41741348004604	6.04673936609802e-08	0.000196270135128917
TRINITY_DN38617_c0_g1_i6	20.5943621555258	21.5088027109809	3.9094894978842	5.50169087872507	3.76166062367347e-08	0.000196270135128917
TRINITY_DN38501_c6_g1_i10	14.8279407519786	21.0509928857767	3.89986881157137	5.3978720574692	6.74359272801866e-08	0.000196270135128917
TRINITY_DN529679_c0_g1_i1	17.8484472014557	21.3077349108193	3.90858818547773	5.45151699275653	4.99419485434667e-08	0.000196270135128917
TRINITY_DN7813_c1_g1_i5	14.0371888302688	20.9768180669874	3.88817613497497	5.39502772991595	6.85129706172579e-08	0.000196270135128917
TRINITY_DN13537_c3_g1_i3	20.5943621555258	21.5088027109809	3.9094894978842	5.50169087872507	3.76166062367347e-08	0.000196270135128917
TRINITY_DN48949_c1_g1_i7	14.8279407519786	21.0509928857767	3.89986881157137	5.3978720574692	6.74359272801866e-08	0.000196270135128917
TRINITY_DN27633_c1_g1_i2	14.5533492565716	21.0240014415593	3.89901807239327	5.39212721028874	6.96284452478573e-08	0.000196270135128917
TRINITY_DN106666_c1_g1_i4	13.6243303352609	20.9349943152849	3.88692541431758	5.38600361050673	7.20415160863644e-08	0.000196270135128917
TRINITY_DN75802_c0_g1_i3	15.1025322473856	21.072620077709	3.900713188577	5.40224801439358	6.58108705931445e-08	0.000196270135128917
TRINITY_DN14400_c0_g1_i1	15.6517152381996	20.3173025489934	3.90238119731877	5.20638592738016	1.9255397142938e-07	0.000497732876744172
