baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN4396_c0_g1_i2	26.065009124764	-22.7030987402812	2.55339285728003	-8.89134575416077	6.03731970471207e-19	1.83383586030629e-16
TRINITY_DN4_c0_g1_i4	53.6613474179997	-23.692468773441	2.43871162772913	-9.71515799738196	2.59845720846808e-22	1.57856275414436e-19
TRINITY_DN81_c0_g1_i7	3012.13454013379	-6.4125884950721	1.44965520592009	-4.42352669026704	9.71026294465613e-06	0.00117979694777572
TRINITY_DN10_c0_g1_i17	45.960792810957	-23.4954209053766	2.35153418512038	-9.99152853232874	1.66001941072785e-23	2.01692358403434e-20
TRINITY_DN2979_c0_g1_i1	7.20454727149894	-20.7768045674232	3.43872247309953	-6.04201261659126	1.52203560594842e-09	2.31159157653416e-07
TRINITY_DN404_c0_g1_i3	13.7587868670137	-21.8536028466647	3.03889066609758	-7.19130934536985	6.4172898685857e-13	1.11385817004738e-10
TRINITY_DN22_c0_g1_i6	36.7277736298574	-23.1764234543339	2.40601845965183	-9.63268729770581	5.81874731515559e-22	2.35659266263801e-19
TRINITY_DN51_c0_g2_i1	81.560791263436	-6.60779322404572	1.60901271744049	-4.10673772333941	4.01286441388033e-05	0.00443239114805873
TRINITY_DN42_c0_g2_i3	12.2647837519936	-21.5943568903023	2.98307959855267	-7.23894759656413	4.5217968851046e-13	9.15663869233681e-11
TRINITY_DN1218_c0_g1_i3	20.5292715422077	-22.3943498068389	2.65389878780846	-8.43828329464355	3.22032343605061e-17	7.82538594960297e-15
TRINITY_DN795_c0_g1_i1	360.928792909337	-7.79020434532648	1.64404857105937	-4.73842712585233	2.15383457381798e-06	0.000290767667465427
