baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN21_c0_g1_i5	14.6650468124971	-22.4709655420561	2.83915186475065	-7.9146754427064	2.47898921417197e-15	2.74341473035032e-13
TRINITY_DN18_c0_g1_i2	22.2548243507987	-22.9393432501917	3.0179028380296	-7.6010874045133	2.93652682246609e-14	2.70813029182984e-12
TRINITY_DN4396_c0_g1_i2	26.065009124764	-23.213465731188	2.63782753543797	-8.80022117417685	1.36546771102733e-18	2.83334550038172e-16
TRINITY_DN4_c0_g1_i4	53.6613474179997	-24.041571658033	2.52266968669955	-9.53020991404027	1.56965513459656e-21	8.68542507810094e-19
TRINITY_DN4752_c0_g1_i1	18.6014055591391	-22.7787092618427	2.44753982022887	-9.30677779931389	1.31769177001888e-20	3.64561389705224e-18
TRINITY_DN999_c0_g1_i1	25.5807461078904	-22.5203088097835	2.60310464657273	-8.6513267299622	5.09041341761796e-18	9.3889847480509e-16
TRINITY_DN115_c0_g1_i1	21.4494272375111	-22.9146957793749	3.01232307489019	-7.60698477875259	2.8056433956601e-14	2.70813029182984e-12
TRINITY_DN4773_c0_g1_i1	15.7370716694859	-22.4225903242003	2.97481436314929	-7.53747548148269	4.79156686772151e-14	3.97700050020885e-12
TRINITY_DN2679_c0_g1_i2	57.7079670208952	-7.75124489408387	1.93277496630747	-4.01042285274032	6.06101023646475e-05	0.00335375899751049
TRINITY_DN191_c0_g1_i6	10.3235147702843	-21.9895859020571	3.01348972322156	-7.2970502380042	2.94144988946776e-13	2.32514610310308e-11
TRINITY_DN1255_c0_g1_i2	2115.49516111743	-8.04133088446291	1.57796071537862	-5.09602730035867	3.46855129681783e-07	2.30311806108704e-05
TRINITY_DN21_c0_g1_i8	87.6683100443845	-8.75756086824581	2.15187126097673	-4.06974200876253	4.7065227299775e-05	0.00269407852819402
TRINITY_DN10_c0_g1_i17	45.960792810957	-23.8632891177784	2.41263503746111	-9.89096516764943	4.55613788419178e-23	3.78159444387918e-20
TRINITY_DN4200_c0_g1_i1	46.3101871263766	-9.59980179116226	2.41617960084883	-3.97313253857028	7.09335527654221e-05	0.00379837734163228
TRINITY_DN8_c0_g1_i8	163.503018988305	-10.6493421500146	2.69145144242433	-3.95672832218074	7.59832622456275e-05	0.00394163172899193
TRINITY_DN404_c0_g1_i3	53.0371046839443	-24.3175626734534	2.92232239620424	-8.32131413872716	8.69933478151932e-17	1.11083813364016e-14
TRINITY_DN22_c0_g1_i6	135.439822008816	-25.4702088120655	2.49347218565639	-10.2147555359077	1.70307897110792e-24	2.82711109203915e-21
TRINITY_DN642_c0_g1_i1	15.3086580788842	-22.5282157310299	2.96155906795919	-7.60687705835767	2.80798183704371e-14	2.70813029182984e-12
TRINITY_DN38_c0_g2_i1	39.0628239317115	-9.37645927225332	2.40783134558317	-3.89415117859194	9.85431813939718e-05	0.00481122591511745
TRINITY_DN4142_c0_g1_i1	28.4820413503643	-23.3215065891141	2.48026134757363	-9.40284241091321	5.31085933945115e-21	1.76320530069778e-18
TRINITY_DN93_c0_g1_i2	10.9420171267266	-22.1756842370775	3.16125269853897	-7.01484074567224	2.30211020596948e-12	1.73704679177697e-10
TRINITY_DN200_c0_g1_i2	30.3575602935047	-23.4404333564319	2.4925407123529	-9.40423289387506	5.24111100129641e-21	1.76320530069778e-18
TRINITY_DN51_c0_g2_i1	137.275832007355	-6.94720235454164	1.65030131324494	-4.20965692675936	2.55758750309259e-05	0.00151628401969061
TRINITY_DN42_c0_g2_i3	28.0571316163742	-23.3405753134278	2.91207798957523	-8.01509279524218	1.10053893747897e-15	1.30492474015364e-13
TRINITY_DN148_c0_g1_i2	16.2360201226935	-22.5638508449023	2.98314311966789	-7.56378421676741	3.91509009999924e-14	3.42055240315723e-12
TRINITY_DN331_c0_g1_i1	16.267559527406	-22.610106906262	2.70930980360799	-8.34533831315714	7.10103099739674e-17	9.82309287973215e-15
TRINITY_DN1082_c1_g1_i1	5889.6778896158	-6.9566765900558	1.39690722303147	-4.98005628101695	6.35657846934282e-07	3.90811861448485e-05
TRINITY_DN21_c0_g1_i7	163.431223976857	-11.4531294852848	2.26652794843352	-5.05316049299124	4.34558436928253e-07	2.77448848192654e-05
TRINITY_DN404_c0_g1_i5	716.034985776282	-9.93160512994502	1.8613204036263	-5.33578480663289	9.51321749071848e-08	6.57997543108028e-06
TRINITY_DN5040_c0_g1_i1	29.9871264544669	-23.3775527969226	2.60840965620871	-8.96237780031128	3.17751029725625e-19	7.53523870492196e-17
TRINITY_DN64_c0_g1_i5	23.2379621113135	-23.0284906378305	2.75641079382764	-8.35452055600624	6.56990071145816e-17	9.82309287973215e-15
TRINITY_DN106_c0_g1_i3	529.443148111702	-6.75900219756384	1.73432375040855	-3.89719750765775	9.73122545777015e-05	0.00481122591511745
TRINITY_DN1218_c0_g1_i3	38.5538347718769	-23.5426551653659	2.79034317577811	-8.43718986601023	3.25058195370447e-17	5.39596604314942e-15
TRINITY_DN795_c0_g1_i1	360.928792909337	-8.64837430855444	1.57820015814439	-5.47989699780731	4.25573515766416e-08	3.07153059205326e-06
