baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
TRINITY_DN34620_c0_g1_i3	28.7506198514625	21.7925126468885	3.72152147356676	5.8558073093697	4.74698355749795e-09	1.33156438564924e-06
TRINITY_DN1240_c6_g2_i9	44.5634607697669	22.4772386260566	3.7450508042355	6.00185145703116	1.95080133418771e-09	1.33156438564924e-06
TRINITY_DN75245_c0_g2_i1	30.1881508440357	21.9338040631974	3.7240082461557	5.88983767311462	3.8657514729835e-09	1.33156438564924e-06
TRINITY_DN33139_c0_g1_i3	35.4590978168038	22.1568958020315	3.73246788756468	5.93625892291016	2.9159916529829e-09	1.33156438564924e-06
TRINITY_DN16515_c0_g4_i1	36.4174518118525	22.1956614258757	3.7339044786418	5.9443570538123	2.77544043604559e-09	1.33156438564924e-06
TRINITY_DN3105_c1_g2_i8	23.00049588117	21.5538999964563	3.71070250459118	5.80857666972443	6.3006175616464e-09	1.33156438564924e-06
TRINITY_DN58981_c0_g2_i3	30.66732784156	21.9558565567595	3.72481906742756	5.89447598911768	3.75872245243757e-09	1.33156438564924e-06
TRINITY_DN24445_c1_g1_i6	39.7716907945232	22.3154570222126	3.73871321375874	5.96875335077589	2.39073196929577e-09	1.33156438564924e-06
TRINITY_DN43446_c0_g2_i1	23.4796728786944	21.5828262881554	3.7116602596302	5.81487118390133	6.06805957926345e-09	1.33156438564924e-06
TRINITY_DN3660_c3_g1_i1	44.5634607697669	22.4772386260566	3.7450508042355	6.00185145703116	1.95080133418771e-09	1.33156438564924e-06
TRINITY_DN3388_c0_g1_i14	24.9172038712675	21.6659467985395	3.71447094671204	5.83284863695532	5.44889943990938e-09	1.33156438564924e-06
TRINITY_DN27_c7_g1_i34	40.2508677920475	22.335132919103	3.73937387114833	5.97296063157334	2.32986138848693e-09	1.33156438564924e-06
TRINITY_DN60398_c0_g1_i1	24.4380268737431	21.6382982596221	3.71354442889682	5.82685859128128	5.64804305664972e-09	1.33156438564924e-06
TRINITY_DN6912_c0_g1_i8	24.4380268737431	21.6382982596221	3.71354442889682	5.82685859128128	5.64804305664972e-09	1.33156438564924e-06
TRINITY_DN2124_c0_g1_i26	46.9593457573888	22.5490684259422	3.748011948494	6.01627442383226	1.78476910635781e-09	1.33156438564924e-06
