"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0291040832230241 3 18 "GO:0000027" "ribosomal large subunit assembly" 0.605555555555556
0 0.172888243773551 3 9 "GO:0000028" "ribosomal small subunit assembly" 0.962
0 0.0548080644143591 3 11 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.796153846153846
0 0.953418652138842 4 41 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0048523;GO:0051253;GO:0045934;GO:0051172" "negative regulation of cellular process" 1
0 0.151810599517201 3 9 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.947826086956522
0 0.0205390849997591 2 8 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.535714285714286
0 0.149844553103796 4 10 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.984090909090909
0 0.183132655821855 2 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.937037037037037
0 0.204411737343613 4 8 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.939655172413793
0 0.033639654610304 5 11 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.529166666666667
0 0.0170776414179604 7 7 "GO:0000387" "spliceosomal snRNP assembly" 0.63
0 0.0195076558867568 3 23 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.616666666666667
0 0.104618703085745 2 5 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.229405354313086 2 7 "GO:0000902" "cell morphogenesis" 0.889393939393939
0 0.0283436277996079 6 13 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.65
0 0.449939784340961 2 5 "GO:0001525" "angiogenesis" 1
0 0.135153225917948 2 5 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.00121584702099913 4 12 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.2
0 0.510084807589036 4 17 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051174;GO:0051246" "regulation of phosphorylation" 1
0 0.0939598624284109 2 6 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.9875
0 0.163092724490255 5 33 "GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0009058;GO:0043603;GO:0044271" "cellular biosynthetic process" 0.96875
0 0.0939344999780476 2 5 "GO:0003006" "developmental process involved in reproduction" 1
0 0.423954081481077 2 6 "GO:0006281;GO:0006259" "DNA metabolic process" 1
0 0.00359320749814265 2 38 "GO:0006396" "RNA processing" 0.233333333333333
0 0.0308403849426825 2 23 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.527272727272727
0 0.63772864680509 2 10 "GO:0006811;GO:0006810" "transport" 1
0 0.852639974238046 2 16 "GO:0006950;GO:0050896" "response to stress" 1
0 0.514706776637039 4 7 "GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 1
0 0.173622867219739 3 29 "GO:0006996" "organelle organization" 0.930769230769231
0 0.146637184233426 2 12 "GO:0007275" "multicellular organism development" 1
0 0.208887133868045 2 18 "GO:0009057;GO:1901575" "organic substance catabolic process" 0.925
0 0.0911378682238411 2 16 "GO:0009653" "anatomical structure morphogenesis" 1
0 0.124840731228029 2 5 "GO:0009791" "post-embryonic development" 1
0 0.249232737245018 3 7 "GO:0009792;GO:0009790;GO:0001701;GO:0043009" "embryo development" 0.907352941176471
0 0.656268617358743 6 8 "GO:0015031;GO:0015833;GO:0042886;GO:0071702;GO:0071705;GO:0006820;GO:0045184;GO:0008104;GO:0033036;GO:0006886;GO:0046907" "organic substance transport" 1
0 0.00152140610899786 2 33 "GO:0016071" "mRNA metabolic process" 0.125
0 0.678637622487546 3 7 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 1
0 0.274303047303518 2 22 "GO:0022402;GO:1903047" "cell cycle process" 0.937142857142857
0 0.109737166264284 1 7 "GO:0022414" "reproductive process" 0.977777777777778
0 0.873804042692393 5 6 "GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0010604;GO:0051173;GO:0051347;GO:0043085;GO:0044093" "positive regulation of protein phosphorylation" 1
