"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.372302528828926 5 18 "GO:0000027" "ribosomal large subunit assembly" 0.9875
0 0.127236281264788 2 9 "GO:0000028" "ribosomal small subunit assembly" 0.85
0 0.0960107963820602 2 11 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.895
0 0.166131064735105 5 9 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.914705882352941
0 0.206270390407791 2 8 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.965
0 0.423938965514518 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.991666666666667
0 0.416066102624026 3 8 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 1
0 0.00680936435156981 3 11 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.133333333333333
0 0.0152471716999808 3 7 "GO:0000387" "spliceosomal snRNP assembly" 0.23
0 0.0599532617621141 3 23 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.933333333333333
0 0.460857547879781 2 5 "GO:0000470" "maturation of LSU-rRNA" 0.897619047619048
0 0.250169894883931 2 7 "GO:0000902" "cell morphogenesis" 0.965217391304348
0 0.337878914919544 4 13 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.955
0 0.584604595416153 2 5 "GO:0001525" "angiogenesis" 1
0 0.327515032681345 6 7 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 0.941379310344828
0 0.595552207488271 7 5 "GO:0001731" "formation of translation preinitiation complex" 1
0 0.00151421580650275 5 12 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.1
0 0.697764873409986 6 17 "GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174;GO:0032268;GO:0051246" "regulation of phosphorylation" 1
0 0.193788084397116 2 6 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.960526315789474
0 0.163299535941979 2 5 "GO:0003006" "developmental process involved in reproduction" 0.95625
0 0.39874503785583 3 6 "GO:0006281;GO:0006259" "DNA metabolic process" 0.998529411764706
0 0.249010649968384 6 15 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 1
0 0.0647362743373417 5 38 "GO:0006396" "RNA processing" 0.725
0 0.00416832392587189 3 23 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.075
0 0.266485937125743 2 10 "GO:0006810;GO:0006811" "transport" 0.96875
0 0.623049436040026 2 16 "GO:0006950;GO:0050896" "response to stress" 0.981632653061224
0 0.326126223532758 2 7 "GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 0.975
0 0.0633068819964491 3 29 "GO:0006996" "organelle organization" 0.828571428571429
0 0.102664712539718 2 12 "GO:0007275" "multicellular organism development" 0.881818181818182
0 0.342882984682288 6 8 "GO:0008104;GO:0033036;GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0071702;GO:0071705;GO:0042886;GO:0006820" "organic substance transport" 0.935483870967742
0 0.453767911519252 2 18 "GO:0009057;GO:1901575" "organic substance catabolic process" 0.935
0 0.133486074250523 2 16 "GO:0009653" "anatomical structure morphogenesis" 0.833333333333333
0 0.06759010000618 2 5 "GO:0009791" "post-embryonic development" 0.655555555555556
0 0.0144773901348014 5 33 "GO:0016071" "mRNA metabolic process" 0.25
0 0.555804074547584 5 7 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.995454545454545
0 0.434523777820456 1 7 "GO:0022414" "reproductive process" 0.956578947368421
0 0.278289685056924 2 41 "GO:0031324;GO:0048523;GO:0051172;GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0045934" "negative regulation of cellular process" 0.946153846153846
0 0.945548685473848 4 6 "GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0031325;GO:0051247;GO:0009893;GO:0010604;GO:0051173;GO:0045937;GO:0010562;GO:0043085;GO:0044093" "positive regulation of cellular metabolic process" 1
0 0.111296841785056 1 18 "GO:0032501" "multicellular organismal process" 0.8625
0 0.608559994379842 3 5 "GO:0042592" "homeostatic process" 1
0 0.956558654190953 5 6 "GO:0043405;GO:0043408;GO:1902531;GO:0009966;GO:0010646;GO:0023051" "regulation of MAPK cascade" 0.995
0 0.75763155280017 2 33 "GO:0043604;GO:1901566;GO:0043603;GO:0044271;GO:1901576;GO:0009058;GO:0044249;GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0006518" "organic substance biosynthetic process" 1
0 0.4246513524825 3 21 "GO:0044248;GO:0009056" "catabolic process" 0.964864864864865
0 0.384338754689157 2 6 "GO:0044255;GO:0006629" "cellular lipid metabolic process" 0.992424242424242
0 0.844734796884531 2 10 "GO:0044281" "small molecule metabolic process" 1
0 0.186397382339953 3 6 "GO:0044772;GO:0044770" "mitotic cell cycle phase transition" 0.972222222222222
0 0.890146286857344 3 10 "GO:0045859;GO:0071900;GO:0043549;GO:0051338;GO:0065009;GO:0050790" "regulation of protein kinase activity" 1
0 0.518618766350383 2 5 "GO:0048513" "animal organ development" 0.974418604651163
0 0.857904860838184 3 11 "GO:0048522;GO:0048518" "positive regulation of biological process" 1
0 0.89063398875005 2 10 "GO:0048583" "regulation of response to stimulus" 1
0 0.943129805142446 3 7 "GO:0048584" "positive regulation of response to stimulus" 1
0 0.452392381223382 2 10 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.958974358974359
0 0.615582347638198 2 24 "GO:0048856" "anatomical structure development" 0.992708333333333
