"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.00622653966298767 3 18 "GO:0009057;GO:1901575" "organic substance catabolic process" 0.15
0 0.0084995726884545 2 21 "GO:0044248;GO:0009056" "catabolic process" 0.15
0 0.0207193609067869 2 8 "GO:0065008" "regulation of biological quality" 0.383333333333333
0 1 2 18 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 2 9 "GO:0000028" "ribosomal small subunit assembly" 1
0 1 2 11 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 1
0 1 6 41 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0048523;GO:0051172" "negative regulation of cellular process" 1
0 1 4 9 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 1
0 1 2 8 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 1 2 10 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 1
0 1 4 13 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 1
0 1 4 8 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 1
0 1 5 11 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 1
0 1 2 7 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 7 23 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 1
0 1 4 5 "GO:0000470" "maturation of LSU-rRNA" 1
0 1 2 7 "GO:0000902" "cell morphogenesis" 1
0 1 3 13 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 1
0 1 3 5 "GO:0001525" "angiogenesis" 1
0 1 3 7 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development ending in birth or egg hatching" 1
0 1 3 5 "GO:0001731" "formation of translation preinitiation complex" 1
0 1 2 12 "GO:0001732" "formation of cytoplasmic translation initiation complex" 1
0 1 6 17 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of phosphate metabolic process" 1
0 1 3 6 "GO:0002009;GO:0048729" "tissue morphogenesis" 1
0 1 2 5 "GO:0003006" "developmental process involved in reproduction" 1
0 1 3 7 "GO:0006082;GO:0019752;GO:0043436" "organic acid metabolic process" 1
0 1 3 6 "GO:0006281;GO:0006259" "DNA metabolic process" 1
0 1 2 15 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 1
0 1 2 38 "GO:0006396" "RNA processing" 1
0 1 5 23 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 1
0 1 3 10 "GO:0006811;GO:0006810" "transport" 1
0 1 6 8 "GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0042886;GO:0071702;GO:0008104;GO:0071705;GO:0006820;GO:0033036" "organic substance transport" 1
0 1 2 16 "GO:0006950;GO:0050896" "response to stress" 1
0 1 2 7 "GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 1
0 1 2 29 "GO:0006996" "organelle organization" 1
0 1 2 12 "GO:0007275" "multicellular organism development" 1
0 1 2 16 "GO:0009653" "anatomical structure morphogenesis" 1
0 1 2 5 "GO:0009791" "post-embryonic development" 1
0 1 2 33 "GO:0016071" "mRNA metabolic process" 1
0 1 1 7 "GO:0022414" "reproductive process" 1
0 1 5 6 "GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0051347;GO:0032270;GO:0031325;GO:0051247;GO:0009893;GO:0010604;GO:0051173;GO:0045937;GO:0043085;GO:0010562;GO:0044093" "positive regulation of protein phosphorylation" 1
0 1 1 18 "GO:0032501" "multicellular organismal process" 1
0 1 2 5 "GO:0042592" "homeostatic process" 1
0 1 4 6 "GO:0043405;GO:0043408;GO:1902531;GO:0009966;GO:0010646;GO:0023051" "regulation of signal transduction" 1
0 1 3 6 "GO:0044255;GO:0006629" "cellular lipid metabolic process" 1
0 1 2 33 "GO:0044271;GO:1901566;GO:0044249;GO:1901576;GO:0009058;GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0006518;GO:0043604;GO:0043603" "cellular biosynthetic process" 1
0 1 2 10 "GO:0044281" "small molecule metabolic process" 1
0 1 3 6 "GO:0044772;GO:0044770" "cell cycle phase transition" 1
0 1 3 5 "GO:0048513" "animal organ development" 1
0 1 4 11 "GO:0048522;GO:0048518" "positive regulation of biological process" 1
0 1 2 10 "GO:0048583" "regulation of response to stimulus" 1
0 1 4 7 "GO:0048584" "positive regulation of response to stimulus" 1
0 1 2 10 "GO:0048646" "anatomical structure formation involved in morphogenesis" 1
0 1 2 24 "GO:0048856" "anatomical structure development" 1
0 1 2 6 "GO:0048869" "cellular developmental process" 1
0 1 2 14 "GO:0051649;GO:0051234;GO:0051179;GO:0051641" "establishment of localization" 1
0 1 3 8 "GO:0051656;GO:0051640" "establishment of organelle localization" 1
0 1 2 5 "GO:0051726" "regulation of cell cycle" 1
0 1 3 10 "GO:0071900;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790" "regulation of kinase activity" 1
0 1 3 22 "GO:1903047;GO:0022402" "cell cycle process" 1
