"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0945527254679831 3 54 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "regulation of nucleic acid-templated transcription" 0.94375
0 0.0966073176030226 4 6 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.9
0 0.102645762895132 5 16 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.908333333333333
0 0.0105870610673276 3 20 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.4625
0 0.622060174252625 4 14 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 1
0 0.816939314729333 3 43 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380;GO:0016071" "mRNA metabolic process" 1
0 0.453392586727217 7 8 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 1
0 0.179984100184353 2 10 "GO:0000902" "cell morphogenesis" 0.91
0 0.0217241597961919 3 10 "GO:0001525" "angiogenesis" 0.5
0 0.206045409531956 2 7 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.909259259259259
0 0.0156482147738757 1 8 "GO:0002376" "immune system process" 0.483333333333333
0 0.127082989170381 2 8 "GO:0005975" "carbohydrate metabolic process" 0.935
0 0.053188494547167 2 5 "GO:0005976" "polysaccharide metabolic process" 0.719230769230769
0 0.00599790745067732 3 8 "GO:0006259" "DNA metabolic process" 0.5
0 0.224295917325809 2 22 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 0.882758620689655
0 0.544143273854806 3 38 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 1
0 0.0407940891041272 3 21 "GO:0006810;GO:0006811" "transport" 0.663636363636364
0 0.2711123809631 3 7 "GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 0.943548387096774
0 0.00790225468916544 4 43 "GO:0006996" "organelle organization" 0.416666666666667
0 0.463691333415222 2 12 "GO:0007275" "multicellular organism development" 1
0 0.333149094008201 2 15 "GO:0009057" "macromolecule catabolic process" 1
0 0.131245222473668 2 8 "GO:0009451" "RNA modification" 0.870454545454545
0 0.174155557883445 2 22 "GO:0009653" "anatomical structure morphogenesis" 0.93125
0 0.357868342871292 2 7 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 1
0 0.21688990477048 3 7 "GO:0023051;GO:0043405;GO:0043408;GO:1902531;GO:0009966;GO:0010646" "regulation of signaling" 0.894642857142857
0 0.269236279965183 1 25 "GO:0032501" "multicellular organismal process" 0.971666666666667
0 0.0246272624976141 2 8 "GO:0042592;GO:0065008" "regulation of biological quality" 0.445
0 0.720938477093489 3 25 "GO:0044249;GO:1901576;GO:0009058;GO:1901566;GO:0044271" "cellular biosynthetic process" 1
0 0.126894634665519 3 10 "GO:0044255;GO:0006629" "lipid metabolic process" 0.981578947368421
0 0.893158837015571 2 48 "GO:0044267;GO:0019538" "protein metabolic process" 1
0 0.510060466756745 2 12 "GO:0044281" "small molecule metabolic process" 1
0 0.0238627677224851 4 8 "GO:0044772;GO:0044770" "mitotic cell cycle phase transition" 0.472222222222222
0 0.469997941053673 2 15 "GO:0048518" "positive regulation of biological process" 1
0 0.453935802832997 2 14 "GO:0048583" "regulation of response to stimulus" 1
0 0.373813131152117 3 10 "GO:0048584" "positive regulation of response to stimulus" 0.997222222222222
0 0.0522171122705359 2 14 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.7625
0 0.0713105462449893 2 28 "GO:0048856" "anatomical structure development" 0.82
0 0.010844495238524 2 7 "GO:0048869" "cellular developmental process" 0.37
0 0.292801371440148 5 7 "GO:0050778;GO:0002684;GO:0050776;GO:0002682" "regulation of immune response" 0.9625
0 0.192364978449373 1 22 "GO:0050896;GO:0006950" "response to stimulus" 0.905769230769231
0 0.0193977330190957 2 27 "GO:0051234;GO:0051179" "establishment of localization" 0.478571428571429
0 0.00233892820136004 5 7 "GO:0051276" "chromosome organization" 0.4
0 0.168124371419628 2 14 "GO:0051641;GO:0051649" "establishment of localization in cell" 0.954347826086956
0 0.129291476168982 3 9 "GO:0051656;GO:0051640" "organelle localization" 0.902380952380952
