name	term	lev	seq	value
"immune system process"	GO:0002376	1	Q9VFC2	0.889527191031667
"immune system process"	GO:0002376	1	Q99KQ4	0.59894814978128
"immune system process"	GO:0002376	1	Q96FW1	0
"immune system process"	GO:0002376	1	Q9WTS8	0
"immune system process"	GO:0002376	1	O00329	0
"immune system process"	GO:0002376	1	Q13177	0.717090173452985
"immune system process"	GO:0002376	1	O70165	0
"immune system process"	GO:0002376	1	Q15485	0
"spliceosomal snRNP assembly"	GO:0000387	3	Q7ZUG0	0
"spliceosomal snRNP assembly"	GO:0000387	3	Q9VLV5	0
"spliceosomal snRNP assembly"	GO:0000387	3	Q8BHE1	0
"spliceosomal snRNP assembly"	GO:0000387	3	O14744	0
"spliceosomal snRNP assembly"	GO:0000387	3	Q9Y333	0
"spliceosomal snRNP assembly"	GO:0000387	3	A7YW45	0
"spliceosomal snRNP assembly"	GO:0000387	3	Q9VV74	0
"spliceosomal snRNP assembly"	GO:0000387	3	Q24297	0
"ribosomal small subunit assembly"	GO:0000028	3	Q9CAX6	0
"ribosomal small subunit assembly"	GO:0000028	3	Q5E988	0
"ribosomal small subunit assembly"	GO:0000028	3	P31674	0
"ribosomal small subunit assembly"	GO:0000028	3	P82912	0
"ribosomal small subunit assembly"	GO:0000028	3	Q3T0F4	0
"ribosomal small subunit assembly"	GO:0000028	3	P62846	0
"ribosomal small subunit assembly"	GO:0000028	3	O14112	0
"ribosomal small subunit assembly"	GO:0000028	3	Q9Y3A4	0
"cellular developmental process"	GO:0048869	2	Q8ML92	0
"cellular developmental process"	GO:0048869	2	Q6PG34	0
"cellular developmental process"	GO:0048869	2	G5EFD9	0
"cellular developmental process"	GO:0048869	2	P86049	0.946232551723655
"cellular developmental process"	GO:0048869	2	Q14318	0
"cellular developmental process"	GO:0048869	2	Q9UHQ4	0
"cellular developmental process"	GO:0048869	2	O00329	0
"catabolic process"	GO:1901575;GO:0009056	3	I6YCA3	0
"catabolic process"	GO:1901575;GO:0009056	3	Q99757	0
"catabolic process"	GO:1901575;GO:0009056	3	Q08473	0
"catabolic process"	GO:1901575;GO:0009056	3	P34275	0
"catabolic process"	GO:1901575;GO:0009056	3	Q5QMN3	0
"catabolic process"	GO:1901575;GO:0009056	3	Q0VC92	0
"catabolic process"	GO:1901575;GO:0009056	3	O95628	0
