"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.0945527254679831 6 54 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "regulation of cellular macromolecule biosynthetic process" 0.941176470588235
0 0.0772858540824179 6 6 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle localization" 0.853125
0 0.104751625557108 4 16 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.897368421052632
0 0.00920654154742749 5 20 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.5
0 0.622060174252625 2 14 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 1
0 0.816939314729333 3 43 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0016071;GO:0008380" "mRNA metabolic process" 1
0 0.453392586727217 6 8 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 1
0 0.179984100184353 3 10 "GO:0000902" "cell morphogenesis" 0.98
0 0.0240134115932024 3 10 "GO:0001525" "angiogenesis" 0.527777777777778
0 0.195200914293432 4 7 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.980769230769231
0 0.0156482147738757 1 8 "GO:0002376" "immune system process" 0.483333333333333
0 0.292801371440148 3 7 "GO:0002682;GO:0050776;GO:0002684;GO:0050778" "regulation of immune system process" 1
0 0.127082989170381 3 8 "GO:0005975" "carbohydrate metabolic process" 0.888636363636364
0 0.053188494547167 4 5 "GO:0005976" "polysaccharide metabolic process" 0.85
0 0.357868342871292 2 7 "GO:0006082;GO:0019752;GO:0043436" "organic acid metabolic process" 1
0 0.00599790745067732 3 8 "GO:0006259" "DNA metabolic process" 0.675
0 0.203905379387099 8 22 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 0.930357142857143
0 0.526495383891948 2 38 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 1
0 0.126894634665519 2 10 "GO:0006629;GO:0044255" "lipid metabolic process" 0.930952380952381
0 0.0436228371249003 2 21 "GO:0006811;GO:0006810" "transport" 0.736363636363636
0 0.19669943302134 2 22 "GO:0006950;GO:0050896" "response to stimulus" 0.948148148148148
0 0.2711123809631 3 7 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stress" 0.996774193548387
0 0.00628403970578569 2 43 "GO:0006996" "organelle organization" 0.466666666666667
0 0.448234955634714 2 12 "GO:0007275" "multicellular organism development" 1
0 0.333149094008201 4 15 "GO:0009057" "macromolecule catabolic process" 1
0 0.119313838612425 4 8 "GO:0009451" "RNA modification" 0.935
0 0.164638603279778 2 22 "GO:0009653" "anatomical structure morphogenesis" 0.960416666666667
0 0.269236279965183 1 25 "GO:0032501" "multicellular organismal process" 1
0 0.0246272624976141 3 8 "GO:0042592;GO:0065008" "regulation of biological quality" 0.49
0 0.21688990477048 4 7 "GO:0043405;GO:0043408;GO:1902531;GO:0009966;GO:0010646;GO:0023051" "regulation of signaling" 0.922413793103448
0 0.720938477093489 3 25 "GO:0044249;GO:1901576;GO:0009058;GO:0044271;GO:1901566" "organic substance biosynthetic process" 1
0 0.893158837015571 4 48 "GO:0044267;GO:0019538" "protein metabolic process" 1
0 0.510060466756745 2 12 "GO:0044281" "small molecule metabolic process" 1
0 0.0238627677224851 4 8 "GO:0044772;GO:0044770" "mitotic cell cycle phase transition" 0.58125
0 0.469997941053673 2 15 "GO:0048518" "positive regulation of biological process" 1
0 0.453935802832997 2 14 "GO:0048583" "regulation of response to stimulus" 1
0 0.373813131152117 2 10 "GO:0048584" "positive regulation of response to stimulus" 1
0 0.0577196550257672 2 14 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.830769230769231
