"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.100533395965825 2 12 "GO:0000027" "ribosomal large subunit assembly" 0.917647058823529
0 0.658698602567023 2 8 "GO:0000028" "ribosomal small subunit assembly" 1
0 0.449651415361512 6 11 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 1
0 0.758812258569756 4 8 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653;GO:0051656;GO:0051640" "establishment of organelle localization" 1
0 0.478013539556926 4 13 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.995283018867924
0 0.255113227417741 2 5 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.956578947368421
0 0.211591145611254 6 14 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.888571428571429
0 0.186880319980293 4 17 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.955172413793103
0 0.35765767681658 2 5 "GO:0000278;GO:0007049" "mitotic cell cycle" 0.958510638297872
0 0.388451999862648 3 14 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.984375
0 0.0617938179770968 4 15 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.915
0 0.0677946058747926 2 8 "GO:0000387" "spliceosomal snRNP assembly" 0.816666666666667
0 0.0709059730527113 3 8 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.784615384615385
0 0.66184666423379 10 6 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.794106421202786 2 10 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.157732628455732 3 10 "GO:0000902" "cell morphogenesis" 0.925
0 0.804341858015364 5 10 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 1
0 0.0727544267127775 2 8 "GO:0001525" "angiogenesis" 0.778571428571429
0 0.0135500036859678 6 5 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "in utero embryonic development" 0.683333333333333
0 0.00710777142640293 2 11 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.45
0 0.02449777593316 6 16 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of phosphorylation" 0.9375
0 0.192597410789993 4 7 "GO:0002009;GO:0048729" "morphogenesis of an epithelium" 0.920967741935484
0 0.501611816012563 4 15 "GO:0002181;GO:0006412;GO:0043043;GO:0006518;GO:0043604;GO:0043603" "amide biosynthetic process" 0.984545454545455
0 0.85928248233723 1 8 "GO:0002376" "immune system process" 1
0 0.782537956065201 2 6 "GO:0005975" "carbohydrate metabolic process" 1
0 0.0605317488744771 4 7 "GO:0006259" "DNA metabolic process" 0.994444444444444
0 0.860847498464602 7 21 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 1
0 0.131065746693169 2 35 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.959523809523809
0 0.786924374023222 2 18 "GO:0006811;GO:0006810" "transport" 1
0 0.247552091985498 2 21 "GO:0006950;GO:0050896" "response to stimulus" 0.981944444444445
0 0.100904903755869 3 7 "GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 0.872222222222222
0 0.300614283662671 2 37 "GO:0006996" "organelle organization" 0.973809523809524
0 0.00241485958691914 2 10 "GO:0007275" "multicellular organism development" 0.25
0 0.272411707720857 4 7 "GO:0008104;GO:0033036;GO:0015031;GO:0015833;GO:0045184;GO:0042886;GO:0071705" "nitrogen compound transport" 0.980769230769231
0 0.722994674406475 2 13 "GO:0009057" "macromolecule catabolic process" 1
0 0.468290006122076 2 7 "GO:0009451" "RNA modification" 1
0 0.043243600641094 2 22 "GO:0009653" "anatomical structure morphogenesis" 0.992857142857143
0 0.248303885741786 3 7 "GO:0010604;GO:0009893;GO:0032147;GO:0045860;GO:0001934;GO:0033674;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0051173;GO:0051347;GO:0043085;GO:0044093" "positive regulation of macromolecule metabolic process" 0.958108108108108
0 0.0302420652634427 2 57 "GO:0010629;GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0009890;GO:0031324;GO:0048523;GO:0051253;GO:0045934;GO:0051172" "negative regulation of gene expression" 0.8
0 0.0981880022271212 2 39 "GO:0016071;GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "mRNA metabolic process" 0.946875
0 0.146535207954315 3 44 "GO:0019538;GO:0044267" "protein metabolic process" 0.933333333333333
0 0.196458202235121 3 6 "GO:0019752;GO:0043436;GO:0006082" "organic acid metabolic process" 0.9015625
0 0.148654991165659 1 7 "GO:0022414" "reproductive process" 0.912
0 0.103267419086984 1 21 "GO:0032501" "multicellular organismal process" 0.8075
0 0.320120994819111 3 22 "GO:0034645;GO:0009059;GO:0044249;GO:1901576;GO:0009058;GO:0044271;GO:1901566" "cellular biosynthetic process" 0.952222222222222
0 0.176330245518798 5 6 "GO:0043405;GO:0043408;GO:1902531;GO:0009966;GO:0010646;GO:0023051" "regulation of intracellular signal transduction" 0.939285714285714
0 0.297066541939792 3 15 "GO:0044248" "cellular catabolic process" 0.991463414634146
0 0.134041792470736 3 8 "GO:0044255;GO:0006629" "lipid metabolic process" 0.904347826086957
0 0.318914672866083 2 10 "GO:0044281" "small molecule metabolic process" 0.993023255813954
0 0.131799398238697 3 7 "GO:0044772;GO:0044770" "cell cycle phase transition" 0.922727272727273
0 0.293776568586333 2 6 "GO:0046907" "intracellular transport" 1
0 0.333677312557974 3 8 "GO:0048513" "animal organ development" 0.946739130434783
0 0.199141287126258 2 15 "GO:0048518" "positive regulation of biological process" 0.861764705882353
0 0.103089468310134 2 10 "GO:0048522" "positive regulation of cellular process" 0.85
0 0.197757326351437 4 13 "GO:0048584;GO:0048583" "regulation of response to stimulus" 0.881818181818182
0 0.0647734349733232 2 12 "GO:0048646" "anatomical structure formation involved in morphogenesis" 0.859090909090909
0 0.0276591295898949 2 25 "GO:0048856" "anatomical structure development" 0.85
0 0.661795436000752 2 7 "GO:0048869" "cellular developmental process" 1
0 0.502136127966279 4 6 "GO:0050778;GO:0002684;GO:0050776;GO:0002682" "positive regulation of immune system process" 0.967857142857143
0 0.862077179086838 2 24 "GO:0051234;GO:0051179" "establishment of localization" 0.986231884057971
0 0.0535696369663112 5 6 "GO:0051276" "chromosome organization" 1
0 0.571606331319897 3 13 "GO:0051649;GO:0051641" "establishment of localization in cell" 1
0 0.186952524575826 2 6 "GO:0051726" "regulation of cell cycle" 0.923333333333333
0 0.175947884288868 2 6 "GO:0065008" "regulation of biological quality" 0.974074074074074
0 0.487269867955186 2 10 "GO:0071702;GO:0006820" "organic substance transport" 0.983333333333333
0 0.0981307978789219 2 11 "GO:0071900;GO:0045859;GO:0043549;GO:0051338;GO:0065009;GO:0050790" "regulation of protein kinase activity" 1
0 0.398049759329628 2 5 "GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.981632653061224
0 0.402029456752701 2 20 "GO:1901575;GO:0009056" "catabolic process" 0.967
0 0.319466033884625 2 34 "GO:1903047;GO:0022402" "cell cycle process" 0.972727272727273
