name	term	lev	seq	value
"spliceosomal snRNP assembly"	GO:0000387	2	P62306	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q9VLV5	0
"spliceosomal snRNP assembly"	GO:0000387	2	P62317	0
"spliceosomal snRNP assembly"	GO:0000387	2	P62307	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q54NC5	0
"spliceosomal snRNP assembly"	GO:0000387	2	A1XQR9	0
"spliceosomal snRNP assembly"	GO:0000387	2	P62321	0
"spliceosomal snRNP assembly"	GO:0000387	2	P62303	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q18786	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q24297	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q9XTU6	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q3SZF8	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q7ZUG0	0
"spliceosomal snRNP assembly"	GO:0000387	2	A8XDT0	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q9SUM2	0
"spliceosomal snRNP assembly"	GO:0000387	2	P62305	0
"spliceosomal snRNP assembly"	GO:0000387	2	P62323	0
"spliceosomal snRNP assembly"	GO:0000387	2	A4FUI2	0
"spliceosomal snRNP assembly"	GO:0000387	2	Q3T0Z8	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	P20359	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	P60009	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	Q9P4D1	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	P60010	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	Q75D00	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	P17128	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	P78711	0
"vacuole inheritance"	GO:0000011;GO:0007033;GO:0048308	6	Q6TCF2	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P63261	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P63259	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P62082	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P63260	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P63258	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	O42766	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	P62083	0
"anatomical structure formation involved in morphogenesis"	GO:0048646	2	O42248	0
"cell cycle phase transition"	GO:0044772;GO:0044770	3	Q4R4K6	0
"cell cycle phase transition"	GO:0044772;GO:0044770	3	Q71U36	0
"cell cycle phase transition"	GO:0044772;GO:0044770	3	P62754	0
"cell cycle phase transition"	GO:0044772;GO:0044770	3	P63018	0
"cell cycle phase transition"	GO:0044772;GO:0044770	3	P62753	0
"cell cycle phase transition"	GO:0044772;GO:0044770	3	P62258	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	A2AR02	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q4WIF3	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q13427	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q9LY75	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q5B4E7	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	P73789	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q5ACI8	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	O55035	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q9P3X9	0
"cellular protein modification process"	GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412	3	Q8LGF7	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	5	P61286	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	5	P26882	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	5	P0CG47	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	5	Q5R8F7	0
"negative regulation of biological process"	GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519	5	P62854	0
