"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 0.418293674100988 6 29 "GO:0000184;GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:0044248;GO:0009056;GO:1901575" "cellular macromolecule catabolic process" 1
0 1.88561536920114e-06 3 5 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to hypoxia" 0
0 1.12404732344977e-06 2 14 "GO:0006950;GO:0050896" "response to stress" 0
0 0.00737814322440187 3 6 "GO:0006974;GO:0033554;GO:0051716" "cellular response to stress" 0.0833333333333333
0 0.552967734899207 5 45 "GO:0010629;GO:0010468;GO:0010605;GO:0009892;GO:0048519" "negative regulation of biological process" 1
0 0.071256389435384 2 5 "GO:0051234;GO:0051179;GO:0006810" "establishment of localization" 0.85
0 1 6 8 "GO:0000011;GO:0007033;GO:0048308" "vacuole inheritance" 1
0 1 4 13 "GO:0000027" "ribosomal large subunit assembly" 1
0 1 6 13 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0051252;GO:0009889;GO:0019219;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0051172" "negative regulation of cellular metabolic process" 1
0 1 3 5 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 1
0 1 5 41 "GO:0000226;GO:0007010;GO:0007017" "cytoskeleton organization" 1
0 1 4 16 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 1
0 1 2 19 "GO:0000387" "spliceosomal snRNP assembly" 1
0 1 2 27 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "mRNA processing" 1
0 1 3 10 "GO:0000413;GO:0018208;GO:0018193;GO:0006464;GO:0036211;GO:0043412" "cellular protein modification process" 1
0 1 7 11 "GO:0000447;GO:0000479;GO:0000478;GO:0000469;GO:0090502;GO:0090501;GO:0090305" "cleavage involved in rRNA processing" 1
0 1 7 31 "GO:0000462;GO:0030490;GO:0006364;GO:0016072;GO:0034470;GO:0034660" "rRNA metabolic process" 1
0 1 3 5 "GO:0001525" "angiogenesis" 1
0 1 3 12 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of phosphorylation" 1
0 1 8 7 "GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518" "positive regulation of protein phosphorylation" 1
0 1 6 5 "GO:0002182;GO:0006414" "cytoplasmic translational elongation" 1
0 1 2 24 "GO:0031323;GO:0051171;GO:0080090" "regulation of cellular metabolic process" 1
0 1 1 14 "GO:0032502" "developmental process" 1
0 1 3 6 "GO:0044772;GO:0044770" "cell cycle phase transition" 1
0 1 4 17 "GO:0048523" "negative regulation of cellular process" 1
0 1 2 8 "GO:0048646" "anatomical structure formation involved in morphogenesis" 1
0 1 2 33 "GO:0050794" "regulation of cellular process" 1
0 1 4 7 "GO:0051726" "regulation of cell cycle" 1
0 1 4 6 "GO:0060249;GO:0042592;GO:0065008" "anatomical structure homeostasis" 1
0 1 3 22 "GO:1903047;GO:0022402" "cell cycle process" 1
