"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-116 0.756142025242762 6 21 "GO:0000002" "mitochondrial genome maintenance" 0.87534559157515
-1132 0.0604717926356703 1 8 "GO:0000003" "reproduction" 0.16621297193715
16 0.971824724888873 6 14 "GO:0000012" "single strand break repair" 0.973918442261253
190 0.665724352736734 3 15 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.809907116961086
-86 0.90178547471803 3 6 "GO:0000019" "regulation of mitotic recombination" 0.951135781699634
469 0.538572839744746 3 5 "GO:0000022;GO:0051231" "spindle elongation" 0.712306013855954
-360 0.0787733533862367 3 70 "GO:0000027" "ribosomal large subunit assembly" 0.19878403768319
520 0.0679432511680059 3 36 "GO:0000028" "ribosomal small subunit assembly" 0.178759783821705
-159 0.647627248403311 5 24 "GO:0000038" "very long-chain fatty acid metabolic process" 0.79788324609982
-430 0.260362559551678 2 20 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.451050631336005
10 0.970144856791079 6 38 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.973918442261253
-247 0.551292687938715 3 17 "GO:0000055" "ribosomal large subunit export from nucleus" 0.721083318128997
-1453 0.0566917325011476 2 5 "GO:0000056" "ribosomal small subunit export from nucleus" 0.159384756517512
652 0.00902981049840858 4 47 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.0370222230434752
-219 0.546724600583786 5 22 "GO:0000076" "DNA replication checkpoint" 0.721083318128997
-56 0.843801029445784 3 36 "GO:0000077" "DNA damage checkpoint" 0.920712109478748
235 0.308599844720794 2 55 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.498444896860306
356 0.0479964726285238 3 91 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.140561098412105
543 0.119315047384725 2 24 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.263242167324147
510 0.00645521724427462 2 84 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.0278593586331852
-1557 0.000263747346735399 2 16 "GO:0000096" "sulfur amino acid metabolic process" 0.00193677156110174
-2408 0.000543216970743599 2 6 "GO:0000097" "sulfur amino acid biosynthetic process" 0.00366113355624453
-1968 3.25591295422808e-08 4 23 "GO:0000103" "sulfate assimilation" 5.16744894671037e-07
-1973 8.99249129062274e-19 2 59 "GO:0000105;GO:0006547" "histidine metabolic process" 4.42430571498639e-17
-134 0.633139087530099 4 37 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle orientation" 0.794344607737603
-243 0.375380067360457 2 39 "GO:0000154" "rRNA modification" 0.561813738444117
-2126 1.59551946113784e-18 2 50 "GO:0000160" "phosphorelay signal transduction system" 7.13632340799834e-17
-2395 9.72670271241927e-10 5 19 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0042430;GO:0042435" "aromatic amino acid family metabolic process" 2.1752444247774e-08
646 3.67843353217217e-05 3 121 "GO:0000165" "MAPK cascade" 0.000359582026924746
-48 0.949980810241351 4 5 "GO:0000183;GO:0031507;GO:0006338;GO:0031497;GO:0070828;GO:0097549;GO:0006333;GO:0034401" "rDNA heterochromatin assembly" 0.973918442261253
607 0.00189220394235584 6 77 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0100103692434309
544 0.434559842244734 2 6 "GO:0000185" "activation of MAPKKK activity" 0.61972012285336
277 0.426528095482174 6 24 "GO:0000186" "activation of MAPKK activity" 0.613601821570847
258 0.213843099539032 3 68 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967" "positive regulation of signal transduction" 0.391118234101129
141 0.698557335044306 8 22 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "inactivation of MAPK activity" 0.83115782417449
