"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-491 0.237923120959313 3 28 "GO:0000002" "mitochondrial genome maintenance" 0.599956124436587
416 0.570496193392036 1 9 "GO:0000003" "reproduction" 0.801778433956375
848 0.101766428639663 5 18 "GO:0000012" "single strand break repair" 0.383347949136152
188 0.702750370945167 5 20 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.898533840812633
-266 0.716334737527608 3 9 "GO:0000019" "regulation of mitotic recombination" 0.901610481639325
853 0.27234119430048 4 8 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.635833318938263
1012 0.303187603052006 4 5 "GO:0000023" "maltose metabolic process" 0.672150294524753
-380 0.0891902193130852 2 98 "GO:0000027" "ribosomal large subunit assembly" 0.359273277796371
-523 0.0966827227860081 2 49 "GO:0000028" "ribosomal small subunit assembly" 0.37115783512481
-117 0.777866547851426 4 28 "GO:0000038" "very long-chain fatty acid metabolic process" 0.920533623156628
409 0.648458079500537 2 6 "GO:0000041" "transition metal ion transport" 0.86663089129511
-200 0.331737857572784 2 116 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.680122059253163
-296 0.484720914076985 2 27 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.765370461659378
-331 0.736119361548022 2 5 "GO:0000052" "citrulline metabolic process" 0.903562821470963
-245 0.436233860813693 5 49 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0051169;GO:0015931" "nucleocytoplasmic transport" 0.751532666255195
-994 0.0488700351818479 4 19 "GO:0000055" "ribosomal large subunit export from nucleus" 0.259701563262204
647 0.47068676877188 4 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.75562869664847
-221 0.426775277478512 4 63 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.748820425514444
-419 0.351208638666853 2 24 "GO:0000076" "DNA replication checkpoint" 0.697539379574444
109 0.739760991653179 4 45 "GO:0000077" "DNA damage checkpoint" 0.904152323131663
-304 0.243107089539015 2 72 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.602643976118238
-433 0.038559358501994 2 112 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.225060745542251
-309 0.491997847425272 2 24 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.765370461659378
-619 0.00533076868857666 2 99 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.0709116206945546
273 0.560255391845587 2 22 "GO:0000096" "sulfur amino acid metabolic process" 0.795801807653014
465 0.549308326270254 3 8 "GO:0000097" "sulfur amino acid biosynthetic process" 0.792094923748329
508 0.199266744369693 2 31 "GO:0000103" "sulfate assimilation" 0.550630810528813
746 0.00184799960793137 6 85 "GO:0000105;GO:0006547" "histidine metabolic process" 0.0369088382762463
-197 0.545097872918614 6 46 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle orientation" 0.792094923748329
-495 0.145363795003845 2 42 "GO:0000154" "rRNA modification" 0.461933837456663
1409 4.27501794448165e-10 2 96 "GO:0000160" "phosphorelay signal transduction system" 8.15103421414501e-08
-768 3.68224577070968e-05 2 142 "GO:0000165" "MAPK cascade" 0.00210624458084594
