"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-78 0.824607317070379 2 24 "GO:0000002" "mitochondrial genome maintenance" 0.935018731486986
526 0.418386155253876 1 7 "GO:0000003" "reproduction" 0.728138712301483
1063 0.0135089853133985 4 16 "GO:0000012" "single strand break repair" 0.0943726297950092
-4 0.992365683389916 3 14 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.998944834756979
-352 0.588542849453316 2 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.834049295225271
-594 0.00202503516733407 2 81 "GO:0000027" "ribosomal large subunit assembly" 0.0209253633957854
-517 0.052340786022269 5 42 "GO:0000028" "ribosomal small subunit assembly" 0.221889144162781
-397 0.26910392940774 6 23 "GO:0000038" "very long-chain fatty acid metabolic process" 0.614851362551268
315 0.65404010692447 2 6 "GO:0000041" "transition metal ion transport" 0.858211357234225
-296 0.0940672670916354 2 96 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.331014676955188
230 0.581544875179573 2 17 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.834049295225271
-183 0.512099820295425 7 38 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.793754721457909
-374 0.384814698053932 2 16 "GO:0000055" "ribosomal large subunit export from nucleus" 0.720354281303495
-55 0.835109205668073 4 43 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.935018731486986
-578 0.166228017981344 2 17 "GO:0000076" "DNA replication checkpoint" 0.448092918036666
22 0.944197509325591 2 31 "GO:0000077" "DNA damage checkpoint" 0.979753064070069
-220 0.348395944048703 4 54 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.702456862797385
-103 0.57390271156566 5 90 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.834049295225271
-69 0.850315860066664 2 22 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.935018731486986
-266 0.17712036558311 5 77 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.464823816556733
846 0.0372809450829772 2 18 "GO:0000096" "sulfur amino acid metabolic process" 0.176108083439588
2025 0.00395277033452971 2 6 "GO:0000097" "sulfur amino acid biosynthetic process" 0.0383697721886448
230 0.605768195609293 2 15 "GO:0000103" "sulfate assimilation" 0.843991643320813
1156 2.2150841390898e-06 6 50 "GO:0000105;GO:0006547" "histidine metabolic process" 5.78253543678179e-05
203 0.491529362577984 5 34 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle localization" 0.775034044961817
-600 0.0565543851814228 3 30 "GO:0000154" "rRNA modification" 0.237720127542252
1428 2.80739425342238e-11 4 65 "GO:0000160" "phosphorelay signal transduction system" 1.74058443712188e-09
1572 0.00016788466884596 4 17 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0042435;GO:0042430" "aromatic amino acid family metabolic process" 0.00252335744689685
-354 0.0221114066878468 2 126 "GO:0000165" "MAPK cascade" 0.130562591871095
-476 0.00996654937892878 2 88 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.074900128665889
537 0.409464123662511 2 7 "GO:0000185" "activation of MAPKKK activity" 0.728138712301483
-127 0.7116865494467 2 25 "GO:0000186" "activation of MAPKK activity" 0.883954335913502
-263 0.23053086759628 2 62 "GO:0000187" "activation of MAPK activity" 0.560506423175269
-596 0.121642547253501 8 20 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "inactivation of MAPK activity" 0.378280138066573
-221 0.087146507493689 8 183 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.312824643529707
942 0.121451494001345 6 8 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.378280138066573
-102 0.373131797467363 4 233 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.718025062750473
-390 0.267401362624513 2 24 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.614032758619252
-58 0.862255305132321 2 27 "GO:0000245" "spliceosomal complex assembly" 0.939953035924464
941 0.148132738992206 4 7 "GO:0000256;GO:0000255;GO:0043605" "allantoin metabolic process" 0.422979476707134
-390 0.278341581580567 2 23 "GO:0000266;GO:0048285" "organelle fission" 0.618372968006926
2262 0.000505555949816529 4 7 "GO:0000270;GO:0030203;GO:0006022" "aminoglycan metabolic process" 0.00651333061683084
1215 1.41296404318446e-05 2 38 "GO:0000271" "polysaccharide biosynthetic process" 0.000304708767573692
1646 5.02684062120198e-05 2 18 "GO:0000272" "polysaccharide catabolic process" 0.000958966518506224
323 0.0391708925025845 2 123 "GO:0000278;GO:0007049" "cell cycle" 0.183290213974358
-191 0.30459517623704 2 87 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.645637638519538
-625 0.416920040481367 7 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.728138712301483
-1161 0.0194481556455351 2 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.117637624392505
-487 0.396485320152932 8 9 "GO:0000290;GO:0110156;GO:0110154" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.720354281303495
30 0.927971718320581 2 27 "GO:0000302;GO:1901700" "response to oxygen-containing compound" 0.973095078830884
-192 0.62677909007163 6 19 "GO:0000338;GO:0070646" "protein deneddylation" 0.849405542829313
148 0.847753536048505 2 5 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.935018731486986
52 0.884245805845737 5 23 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.955068173991742
137 0.48243370570696 3 79 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of RNA splicing" 0.775034044961817
-99 0.669781993514289 4 55 "GO:0000387" "spliceosomal snRNP assembly" 0.862887970865162
-346 0.524540187401644 2 10 "GO:0000390;GO:0032988;GO:0032984" "protein-containing complex disassembly" 0.798639309821697
-390 0.00044215297191907 3 250 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.00593045623324831
-466 0.0590047926855828 7 49 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.245935942622261
326 0.479102874333344 4 14 "GO:0000422;GO:0061726;GO:1903008" "autophagy of mitochondrion" 0.775034044961817
-1177 0.00624119254970978 2 16 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0524683305873907
-226 0.693552617831262 6 9 "GO:0000453;GO:0000451;GO:0031167" "rRNA methylation" 0.877556373582413
-595 0.196209512443531 9 14 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 0.504248280683893
1 0.998944834756979 3 14 "GO:0000460" "maturation of 5.8S rRNA" 0.998944834756979
-394 0.210724082333203 9 30 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.527874468875094
-184 0.460182662297804 2 48 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.758307642856182
-701 0.0161792155733789 3 35 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.107007164045842
-710 0.0436184238553419 9 24 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage involved in rRNA processing" 0.200321650298607
-828 0.149185167602006 5 9 "GO:0000492;GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.422979476707134
-585 0.308299094143012 2 9 "GO:0000712" "resolution of meiotic recombination intermediates" 0.650707875297591
1452 0.0256173629358188 3 7 "GO:0000716;GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.142766427147934
-52 0.916632351938784 2 12 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.969305684865156
-399 0.0646133078284973 5 64 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.257774828971138
238 0.175899590022876 7 97 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.464075514102907
382 0.374824567739078 2 16 "GO:0000727" "double-strand break repair via break-induced replication" 0.718025062750473
-653 0.352905029790654 4 6 "GO:0000731;GO:0071897" "DNA synthesis involved in DNA repair" 0.7086675901869
1384 3.02902330354459e-05 2 27 "GO:0000746;GO:0044764;GO:0051704" "multi-organism cellular process" 0.000600958223423247
-2 0.992522507923437 2 71 "GO:0000902" "cell morphogenesis" 0.998944834756979
204 0.669662411101234 2 13 "GO:0000904" "cell morphogenesis involved in differentiation" 0.862887970865162
692 0.0798086217750806 4 19 "GO:0000917;GO:0090529;GO:0032506" "cytokinetic process" 0.295411017913731
-135 0.848194574426099 6 6 "GO:0000959" "mitochondrial RNA metabolic process" 0.935018731486986
1241 0.0773315471378721 3 6 "GO:0000971;GO:0000968;GO:0000378" "tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate" 0.290579146821095
-343 0.528986744742121 4 10 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.798639309821697
160 0.562795001391788 2 39 "GO:0001503" "ossification" 0.82587668843292
617 0.234220427645665 2 11 "GO:0001504;GO:0006836;GO:0098657" "neurotransmitter transport" 0.566699181035365
1015 0.0224667679081231 3 15 "GO:0001505" "regulation of neurotransmitter levels" 0.131100198616812
-572 0.415837189546171 2 6 "GO:0001508" "action potential" 0.728138712301483
-229 0.490878122192344 3 27 "GO:0001510;GO:0043414;GO:0032259" "macromolecule methylation" 0.775034044961817
1153 0.0045056557416248 6 18 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456;GO:0006690;GO:0033559;GO:0006633" "fatty acid biosynthetic process" 0.0413852823675167
-170 0.554068669848745 7 36 "GO:0001522" "pseudouridine synthesis" 0.815483858293702
467 0.125178888008263 3 32 "GO:0001523;GO:0016101" "diterpenoid metabolic process" 0.383263755877151
-72 0.603140680999356 3 159 "GO:0001525" "angiogenesis" 0.842697965565297
173 0.615028658865221 4 25 "GO:0001541;GO:0048608" "reproductive structure development" 0.847372818880971
-34 0.965347698539043 3 5 "GO:0001553" "luteinization" 0.992491261174741
-662 0.389914395168844 3 5 "GO:0001554" "luteolysis" 0.720354281303495
742 0.222433259665695 3 8 "GO:0001556" "oocyte maturation" 0.551634483970924
-127 0.626206697503134 2 44 "GO:0001558;GO:0040008" "regulation of growth" 0.849405542829313
1040 0.0363990087930286 2 12 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0034440;GO:0030258" "cellular lipid catabolic process" 0.175280663702351
380 0.425755554025104 2 13 "GO:0001568" "blood vessel development" 0.735402131702304
-546 0.316288300400067 2 10 "GO:0001578" "microtubule bundle formation" 0.659155449573249
-1051 0.171813099119243 2 5 "GO:0001580" "detection of chemical stimulus involved in sensory perception of bitter taste" 0.457927221443243
-38 0.911616388459517 2 25 "GO:0001649" "osteoblast differentiation" 0.968226399734305
191 0.594260287699241 4 23 "GO:0001654;GO:0007423" "sensory organ development" 0.837366769030749
323 0.619288270129622 5 7 "GO:0001656" "metanephros development" 0.848527574542244
-267 0.64156316690984 4 9 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.849943367576302
-1002 0.153819549426442 2 6 "GO:0001659" "temperature homeostasis" 0.431042353195001
-117 0.838010938241847 4 9 "GO:0001662;GO:0002209;GO:0042596;GO:0033555" "behavioral fear response" 0.935018731486986
-52 0.788291141724218 3 79 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to abiotic stimulus" 0.92623896443772
-326 0.642598312179664 3 6 "GO:0001672;GO:1902275" "regulation of chromatin assembly or disassembly" 0.849943367576302
-829 0.202710010641313 3 7 "GO:0001675;GO:0010927;GO:0033363;GO:0016050" "acrosome assembly" 0.512980435092302
-777 0.103802319125494 4 13 "GO:0001676" "long-chain fatty acid metabolic process" 0.347878042474629
-431 0.428815328999782 3 10 "GO:0001678;GO:0042593;GO:0033500" "glucose homeostasis" 0.735959872608622
1557 0.0266776306811946 3 6 "GO:0001692;GO:0052803;GO:0097164" "ammonium ion metabolic process" 0.144889847291158
-71 0.745528069250187 3 62 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development" 0.891040776742392
69 0.881392729525619 4 14 "GO:0001702;GO:0007369" "gastrulation with mouth forming second" 0.955068173991742
324 0.532745754309404 4 11 "GO:0001707;GO:0001704" "formation of primary germ layer" 0.800733012537771
-1078 0.0763585570546724 3 8 "GO:0001708" "cell fate specification" 0.290555092457392
-205 0.655894032495133 2 14 "GO:0001731" "formation of translation preinitiation complex" 0.85837319292239
-548 0.0331735054562505 5 45 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.166202613194952
-227 0.576268733641855 2 18 "GO:0001736;GO:0007164" "establishment of planar polarity" 0.834049295225271
163 0.714287350857029 3 15 "GO:0001745;GO:0048592;GO:0090596" "sensory organ morphogenesis" 0.883954335913502
225 0.729253063168363 5 7 "GO:0001754;GO:0046530;GO:0030182" "photoreceptor cell differentiation" 0.88654293953801
556 0.148834004655195 2 20 "GO:0001755;GO:0001667" "ameboidal-type cell migration" 0.422979476707134
-1463 0.0244771746659652 4 7 "GO:0001756;GO:0009952;GO:0035282" "anterior/posterior pattern specification" 0.137962257208167
464 0.134347980575464 3 31 "GO:0001764" "neuron migration" 0.399021547098384
-167 0.797980831364673 4 7 "GO:0001765;GO:0071709" "membrane raft assembly" 0.92623896443772
195 0.734499297431479 2 9 "GO:0001771;GO:0009988;GO:0008037" "cell recognition" 0.888983231879484
-1186 0.016998991461374 2 12 "GO:0001774;GO:0042116" "macrophage activation" 0.109499996945994
102 0.885092327254663 4 6 "GO:0001779;GO:0030101" "natural killer cell activation" 0.955068173991742
-82 0.848318474926698 4 16 "GO:0001782;GO:0002260;GO:0001776;GO:0048872" "homeostasis of number of cells" 0.935018731486986
-386 0.525606315845545 2 8 "GO:0001816" "cytokine production" 0.798639309821697
-914 0.00432548954395665 2 29 "GO:0001817" "regulation of cytokine production" 0.0404800530906132
-1111 0.0876665835698172 4 7 "GO:0001818;GO:0051241" "negative regulation of multicellular organismal process" 0.312824643529707
-477 0.283852165797181 2 15 "GO:0001819;GO:0051240" "positive regulation of multicellular organismal process" 0.622967585112397
56 0.797243560704738 2 63 "GO:0001822" "kidney development" 0.92623896443772
-27 0.969309360546522 3 6 "GO:0001824" "blastocyst development" 0.992491261174741
327 0.510450846434821 2 12 "GO:0001825" "blastocyst formation" 0.793679059033452
-785 0.114284782180072 2 12 "GO:0001835;GO:0035188;GO:0071684" "blastocyst hatching" 0.368086051696855
-39 0.943370615923194 2 10 "GO:0001836;GO:0008637" "release of cytochrome c from mitochondria" 0.979753064070069
709 0.275407733966912 4 7 "GO:0001837;GO:0048762" "mesenchymal cell differentiation" 0.618109665373703
-52 0.864398422277375 4 32 "GO:0001843;GO:0060606;GO:0035148" "tube formation" 0.940222845284162
266 0.682451567658672 4 7 "GO:0001867;GO:0006956;GO:0006959" "humoral immune response" 0.875143101322198
242 0.640853990177642 2 11 "GO:0001881;GO:0043112" "receptor metabolic process" 0.849943367576302
-63 0.828815568908648 5 35 "GO:0001889;GO:0048732" "liver development" 0.935018731486986
-472 0.539428565030006 3 5 "GO:0001890" "placenta development" 0.805893277876154
