"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
174 0.644198425889139 2 25 "GO:0000002" "mitochondrial genome maintenance" 0.839573847362497
1272 0.0734117442189895 1 7 "GO:0000003" "reproduction" 0.284001638219448
484 0.288630820574136 3 17 "GO:0000012" "single strand break repair" 0.615259221215533
57 0.906788725370861 2 15 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.963122293480073
-519 0.536764522045364 2 5 "GO:0000019" "regulation of mitotic recombination" 0.75660956564905
-280 0.673928295236109 4 8 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.860679509578645
-788 0.000145507041919315 2 83 "GO:0000027" "ribosomal large subunit assembly" 0.00214096190922106
-518 0.0715980349315434 7 43 "GO:0000028" "ribosomal small subunit assembly" 0.28318625756506
80 0.838597432541601 4 23 "GO:0000038" "very long-chain fatty acid metabolic process" 0.935698187888523
-23 0.975979404349189 4 6 "GO:0000041" "transition metal ion transport" 0.990602334063335
-277 0.130901679426042 2 107 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.415436467639534
191 0.657944440165009 5 19 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.847665951252532
-704 0.0112703018224046 5 46 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.0711102376889814
-1086 0.0143401085200953 2 18 "GO:0000055" "ribosomal large subunit export from nucleus" 0.0848426978848011
-949 0.216004139230364 2 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.569563153194492
-318 0.238511009874416 3 49 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.584825513374669
-213 0.604254392830918 3 21 "GO:0000076" "DNA replication checkpoint" 0.806687224686112
234 0.427535342219607 2 41 "GO:0000077" "DNA damage checkpoint" 0.726344800115331
-315 0.175745297568279 6 66 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.503486528168583
-133 0.485926504121418 3 99 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.734793764706107
-64 0.868501654936565 6 24 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.951045200653676
286 0.143435782092541 3 94 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.444567043912554
1386 0.00432871647582644 2 15 "GO:0000096" "sulfur amino acid metabolic process" 0.0370035440675486
2318 0.0058297753267611 4 5 "GO:0000097" "sulfur amino acid biosynthetic process" 0.0423257660710052
332 0.48060393887287 2 16 "GO:0000103" "sulfate assimilation" 0.734793764706107
1533 1.26034986298014e-08 2 49 "GO:0000105;GO:0006547" "histidine metabolic process" 5.56654522816228e-07
-438 0.146983413477034 4 39 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle localization" 0.447708098522
-830 0.00737779754649865 3 37 "GO:0000154" "rRNA modification" 0.0514504302584774
1908 2.22037449290833e-16 5 66 "GO:0000160" "phosphorelay signal transduction system" 2.35359696248283e-14
-424 0.0105120578417476 3 131 "GO:0000165" "MAPK cascade" 0.0679437884893443
-472 0.0155792144295586 3 94 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0897498222572398
308 0.66488877085748 7 7 "GO:0000185" "activation of MAPKKK activity" 0.852748305842731
59 0.8760830343938 7 25 "GO:0000186" "activation of MAPKK activity" 0.951511977903241
-214 0.350844606112541 3 68 "GO:0000187;GO:0043406;GO:0043410;GO:0071902" "positive regulation of MAP kinase activity" 0.663546647655881
-143 0.727905437462729 8 21 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of MAP kinase activity" 0.882814374954797
-330 0.0120469644564795 2 211 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.074744145218206
-1277 0.0960947723114475 3 6 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.347662509724557
-189 0.116863492577165 3 252 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.38101802635228
-443 0.248753378465008 3 24 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.593870678317361
-266 0.455348195073317 2 28 "GO:0000245" "spliceosomal complex assembly" 0.726344800115331
599 0.399567718300051 4 7 "GO:0000256;GO:0000255;GO:0043605" "cellular amide catabolic process" 0.701228114897441
-843 0.0223763483030849 6 26 "GO:0000266;GO:0048285" "organelle fission" 0.119792571723586
2739 0.000115405319637764 2 7 "GO:0000270;GO:0030203;GO:0006022" "peptidoglycan metabolic process" 0.00185347937600045
1474 1.94767614930819e-06 2 37 "GO:0000271" "polysaccharide biosynthetic process" 5.1613417956667e-05
1011 0.00850852294546364 2 24 "GO:0000272" "polysaccharide catabolic process" 0.0573573991230942
190 0.251172130091903 2 132 "GO:0000278;GO:0007049" "cell cycle" 0.594291200663878
-197 0.814827930230746 2 5 "GO:0000280" "nuclear division" 0.928728608650098
-455 0.0223693182416093 3 90 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.119792571723586
-1313 0.00401350347894662 2 17 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.0348714236695362
-69 0.902777638091394 5 11 "GO:0000290;GO:0110156;GO:0110154" "methylguanosine-cap decapping" 0.960787446161524
282 0.369996230186807 4 36 "GO:0000302;GO:1901700" "response to oxygen-containing compound" 0.673372192606061
-323 0.701252853110151 4 5 "GO:0000305" "response to oxygen radical" 0.876350606410907
-376 0.370989962718811 6 20 "GO:0000338;GO:0070646" "protein modification by small protein removal" 0.673372192606061
-1607 0.0559274728798562 4 5 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.244971575424164
-235 0.759694634949345 2 6 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.8967442238823
-234 0.550322567043651 2 23 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.763453750489291
-44 0.830174672441436 6 86 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of RNA splicing" 0.932808366910473
