"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
638 0.127737783778215 6 28 "GO:0000002" "mitochondrial genome maintenance" 0.510763853051451
3 0.996992465278021 1 9 "GO:0000003" "reproduction" 0.998375928525707
-19 0.971024310520962 2 18 "GO:0000012" "single strand break repair" 0.996751149644376
65 0.901347702060001 2 18 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.980406956998161
77 0.926724701907836 2 7 "GO:0000019" "regulation of mitotic recombination" 0.986728459585322
219 0.793082846518651 4 7 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.974076857134941
-610 0.00821050654617945 7 93 "GO:0000027" "ribosomal large subunit assembly" 0.0852740329006708
-827 0.00911427819911854 2 49 "GO:0000028" "ribosomal small subunit assembly" 0.0930284947220375
-168 0.682630188616 2 29 "GO:0000038" "very long-chain fatty acid metabolic process" 0.914292017331837
-133 0.873755557153113 2 7 "GO:0000041" "transition metal ion transport" 0.979621388870066
-45 0.824942409753684 2 119 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.977557093391273
-333 0.435200059099141 4 27 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.812724709206203
-794 0.0151908722534049 4 46 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.142745974190725
-936 0.0814043061657152 2 17 "GO:0000055" "ribosomal large subunit export from nucleus" 0.395011059427077
-141 0.876462757310036 6 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.979621388870066
703 0.014144401773211 3 60 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.135056223382918
-598 0.215861555364621 6 21 "GO:0000076" "DNA replication checkpoint" 0.634595941696647
-285 0.384134856432849 2 46 "GO:0000077" "DNA damage checkpoint" 0.797803759942308
-131 0.612842526731302 2 74 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.88094100543267
72 0.733443729388828 4 110 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.938383933820784
59 0.892481560217674 2 26 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.979621388870066
389 0.0871419448654457 2 96 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.410202996170174
476 0.272955115502714 2 26 "GO:0000096" "sulfur amino acid metabolic process" 0.676379702431293
1444 0.039150031928702 2 10 "GO:0000097" "sulfur amino acid biosynthetic process" 0.26084155424101
18 0.964102751523868 2 32 "GO:0000103" "sulfate assimilation" 0.996751149644376
328 0.14017215106176 2 100 "GO:0000105;GO:0006547" "histidine metabolic process" 0.530953586154512
-232 0.482297409928984 6 45 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of spindle orientation" 0.82922475964676
-1027 0.00270747886001298 7 42 "GO:0000154" "rRNA modification" 0.0369066039978853
1097 1.91520709613678e-07 5 112 "GO:0000160" "phosphorelay signal transduction system" 5.66901300456487e-05
1402 0.000119739820307573 4 37 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0042430;GO:0042435" "aromatic amino acid family metabolic process" 0.00393810964567129
13 0.945962401383279 3 142 "GO:0000165" "MAPK cascade" 0.996751149644376
-1044 0.247667336339289 6 6 "GO:0000183;GO:0031507;GO:0006338;GO:0031497;GO:0070828;GO:0097549;GO:0006333;GO:0034401" "chromatin organization involved in negative regulation of transcription" 0.664924261807356
-642 0.00302214231761226 7 106 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.0377930305050264
934 0.264206725792781 2 7 "GO:0000185" "activation of MAPKKK activity" 0.668420434484301
501 0.231943803116547 2 28 "GO:0000186" "activation of MAPKK activity" 0.654682405678625
-188 0.42739552928286 7 88 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967;GO:0010647;GO:0023056" "positive regulation of signaling" 0.812724709206203
88 0.84278939519409 4 25 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of transferase activity" 0.977557093391273
-587 0.401563366291786 5 10 "GO:0000212;GO:0007051" "spindle organization" 0.805200013215804
-188 0.151945503402076 2 295 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.549759965573103
-330 0.43970093175543 3 27 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.812724709206203
70 0.861967572213251 7 30 "GO:0000245" "spliceosomal complex assembly" 0.977557093391273
-578 0.40903076443035 3 10 "GO:0000256;GO:0000255;GO:0043605" "allantoin catabolic process" 0.809294336518389
-324 0.416378753326308 6 31 "GO:0000266;GO:0048285" "organelle fission" 0.812724709206203
668 0.295718503022791 3 12 "GO:0000270;GO:0030203;GO:0006022" "glycosaminoglycan metabolic process" 0.717480958153657
1088 0.000217345313718983 3 57 "GO:0000271" "polysaccharide biosynthetic process" 0.00538288434775658
269 0.520847611859436 2 28 "GO:0000272" "polysaccharide catabolic process" 0.843623729455579
-26 0.884721099554659 3 159 "GO:0000278;GO:0007049" "cell cycle" 0.979621388870066
-658 0.506149868846678 3 5 "GO:0000280" "nuclear division" 0.830560145017566
-351 0.116913296244562 4 99 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.494376224119862
-982 0.0675591449232465 2 17 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.373785175650111
-295 0.673919276026228 5 10 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 0.912952428850176
114 0.74824615048534 4 39 "GO:0000302;GO:1901700" "response to oxygen-containing compound" 0.943588215257159
-201 0.824160510773667 2 6 "GO:0000305;GO:0000303" "response to oxygen radical" 0.977557093391273
-144 0.754536527170467 7 23 "GO:0000338;GO:0070646" "protein deneddylation" 0.946367847637535
-40 0.961824968400893 2 7 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.996751149644376
-649 0.14296017242917 2 25 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.535648241000434
-393 0.0803813748587521 6 98 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of RNA splicing" 0.393270858813068
-197 0.492725489969471 2 60 "GO:0000387" "spliceosomal snRNP assembly" 0.830560145017566
-163 0.218678331260331 8 289 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.634595941696647
-676 0.0226883050395495 8 56 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.190481014618276
326 0.555461744241627 6 16 "GO:0000422;GO:0061726;GO:1903008" "mitochondrion disassembly" 0.863970015375747
222 0.790448453854048 4 7 "GO:0000429;GO:0045990;GO:0031670;GO:0007584;GO:0031669;GO:0031668;GO:0071496" "cellular response to extracellular stimulus" 0.974076857134941
-961 0.0585053336607593 2 19 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.343468922220946
-108 0.844961299434528 5 16 "GO:0000453;GO:0000451;GO:0031167" "rRNA methylation" 0.977557093391273
-1148 0.246207469491169 3 5 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.664924261807356
-1784 0.00126902927312215 3 16 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 0.0208684813802309
473 0.351601922842417 9 19 "GO:0000460" "maturation of 5.8S rRNA" 0.772660558713636
-650 0.0493802787905824 2 45 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.31744556400173
-970 0.00568360211260949 3 40 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0623091194567559
-875 0.0105982646285598 6 42 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.106341909493346
-718 0.0175106643224009 2 54 "GO:0000470" "maturation of LSU-rRNA" 0.161973644982208
-744 0.0658283270562256 8 30 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage involved in rRNA processing" 0.367644996389486
-460 0.490379814981354 3 11 "GO:0000492;GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.830560145017566
6 0.990126774382342 2 18 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.998375928525707
413 0.575903652980219 6 9 "GO:0000715;GO:0000716" "nucleotide-excision repair, DNA damage recognition" 0.86553437314442
65 0.90629308744148 3 16 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.980406956998161
-43 0.861253048682288 6 80 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.977557093391273
-408 0.0546510658788629 2 110 "GO:0000724;GO:0000725;GO:0006302" "recombinational repair" 0.330137051023335
-694 0.15084377974119 2 21 "GO:0000727" "double-strand break repair via break-induced replication" 0.549759965573103
-1329 0.0717002331153835 4 9 "GO:0000731;GO:0071897" "DNA biosynthetic process" 0.378986946467027
1452 3.46512492659399e-05 2 40 "GO:0000746;GO:0044764;GO:0051704" "multi-organism cellular process" 0.00170946163045304
46 0.847551550453419 3 86 "GO:0000902" "cell morphogenesis" 0.977557093391273
-439 0.44247355851594 4 15 "GO:0000904" "cell morphogenesis involved in differentiation" 0.812724709206203
640 0.11395417379338 4 30 "GO:0000917;GO:0090529;GO:0032506" "cytokinetic process" 0.485330006371806
-307 0.0502521529684727 4 204 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "organic cyclic compound catabolic process" 0.31744556400173
987 0.158448630436275 6 10 "GO:0000959" "mitochondrial RNA metabolic process" 0.551774054225146
1058 0.241380846317117 2 6 "GO:0000963;GO:0140053" "mitochondrial RNA processing" 0.664924261807356
-350 0.617209521169475 2 10 "GO:0000967" "rRNA 5'-end processing" 0.88094100543267
-393 0.663779328069732 5 6 "GO:0000971;GO:0000968;GO:0000378" "RNA exon ligation" 0.905431710178068
31 0.961251084978586 6 12 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.996751149644376
1781 0.0228448514153676 2 8 "GO:0001123;GO:0006352" "transcription initiation from bacterial-type RNA polymerase promoter" 0.190481014618276
581 0.458142430638905 2 8 "GO:0001407;GO:0015748" "glycerophosphodiester transmembrane transport" 0.813458411752945
248 0.38260388260734 3 61 "GO:0001501;GO:0048731" "system development" 0.79754048768854
384 0.250800759962842 2 44 "GO:0001503" "ossification" 0.664924261807356
-769 0.210214425420892 2 13 "GO:0001504;GO:0006836;GO:0098657" "neurotransmitter transport" 0.628519898228122
-463 0.375268151344376 2 18 "GO:0001505" "regulation of neurotransmitter levels" 0.795881353546156
12 0.986589693167943 3 10 "GO:0001508" "action potential" 0.998375928525707
-616 0.0687334115386053 2 43 "GO:0001510;GO:0043414;GO:0032259" "macromolecule methylation" 0.376760922507911
-515 0.485308315510931 6 9 "GO:0001514;GO:0006451;GO:0006414" "translational elongation" 0.82922475964676
445 0.315097186213158 4 25 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006690;GO:0033559;GO:0006636;GO:0046456;GO:0006633" "fatty acid biosynthetic process" 0.742594576042462
