"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
1153 0.0018460666181133 2 21 "GO:0000002" "mitochondrial genome maintenance" 0.0272023345786695
771 0.265339249314219 1 6 "GO:0000003" "reproduction" 0.612862621220898
-592 0.191455302424397 2 14 "GO:0000012" "single strand break repair" 0.548109180083559
436 0.336158957806923 3 14 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.691465155774756
577 0.446140079539075 3 5 "GO:0000022;GO:0051231" "spindle elongation" 0.781525104367401
92 0.66199626080626 4 65 "GO:0000027" "ribosomal large subunit assembly" 0.87710700214224
178 0.517874523519596 4 38 "GO:0000028" "ribosomal small subunit assembly" 0.8210605578586
-99 0.794803677358685 2 20 "GO:0000038" "very long-chain fatty acid metabolic process" 0.926038703155119
-398 0.53437671789198 2 7 "GO:0000041" "transition metal ion transport" 0.82630473970334
269 0.121175127215914 2 97 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.456456682219345
141 0.716751353563403 5 19 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.90241752994741
150 0.73222882030712 6 15 "GO:0000055" "ribosomal large subunit export from nucleus" 0.90241752994741
960 0.165224588822895 2 6 "GO:0000056" "ribosomal small subunit export from nucleus" 0.506490490118918
222 0.350879476160042 3 51 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.700361026120243
247 0.585864372955245 5 14 "GO:0000076" "DNA replication checkpoint" 0.860756747362398
331 0.235563992992492 7 37 "GO:0000077" "DNA damage checkpoint" 0.600823631553025
245 0.27396449751925 6 58 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.612862621220898
197 0.268061091126619 3 92 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.612862621220898
134 0.723602873203845 3 20 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.90241752994741
279 0.145818387234123 3 79 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.487713854040306
-906 0.0275919553336261 3 17 "GO:0000096" "sulfur amino acid metabolic process" 0.181889073975614
-1499 0.0192614435126063 3 7 "GO:0000097" "sulfur amino acid biosynthetic process" 0.14402959999725
