"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
393 0.337318957218976 2 26 "GO:0000002" "mitochondrial genome maintenance" 0.671881317427965
250 0.735108032094769 1 8 "GO:0000003" "reproduction" 0.929339744168475
1066 0.0303139756782223 2 18 "GO:0000012" "single strand break repair" 0.173710360000008
167 0.72009443920372 3 20 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.924666723068413
-154 0.834959321449558 2 8 "GO:0000019" "regulation of mitotic recombination" 0.978661894742066
144 0.845367676595981 4 8 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.978661894742066
-660 0.00316618607476603 7 88 "GO:0000027" "ribosomal large subunit assembly" 0.0380615985583576
-462 0.130456379417359 7 47 "GO:0000028" "ribosomal small subunit assembly" 0.436141150123123
454 0.258830470036225 2 27 "GO:0000038" "very long-chain fatty acid metabolic process" 0.616715031144469
-119 0.880035535003493 2 7 "GO:0000041" "transition metal ion transport" 0.984782981990144
-423 0.293044290726608 3 27 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.645928084829076
-266 0.383226541594566 6 47 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.700721669905922
-452 0.345796997227994 2 19 "GO:0000055" "ribosomal large subunit export from nucleus" 0.676454619339119
-5 0.994937328575849 2 7 "GO:0000056" "ribosomal small subunit export from nucleus" 0.997760529448183
454 0.10770235259676 3 55 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.400340981691904
-74 0.865355181629203 3 23 "GO:0000076" "DNA replication checkpoint" 0.984782981990144
334 0.301340924354922 3 42 "GO:0000077" "DNA damage checkpoint" 0.64736738502103
-66 0.792838737793766 6 70 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.95512555832298
653 0.00179513151564531 4 101 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0281735918427667
222 0.594513363210416 2 25 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.866036509339637
512 0.0186513038590138 4 93 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.125452222385033
-1107 0.0110831898598702 2 23 "GO:0000096" "sulfur amino acid metabolic process" 0.0865810191308089
-1382 0.0470575070041879 2 9 "GO:0000097" "sulfur amino acid biosynthetic process" 0.229202512563501
-1757 4.1477483572124e-06 4 30 "GO:0000103" "sulfate assimilation" 0.000234347782182501
-922 3.07752362005641e-05 2 90 "GO:0000105;GO:0006547" "histidine metabolic process" 0.00122024243316175
229 0.472689760281433 7 43 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.778628905419853
-1000 0.00220698330355659 2 41 "GO:0000154" "rRNA modification" 0.0296891801549875
-956 3.8315977063439e-06 2 103 "GO:0000160" "phosphorelay signal transduction system" 0.000234347782182501
17 0.963105601854518 4 33 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0042435;GO:0042430" "aromatic amino acid family metabolic process" 0.997760529448183
308 0.0883246223768578 2 136 "GO:0000165" "MAPK cascade" 0.344161459606377
881 0.300938112173202 4 6 "GO:0000183;GO:0031507;GO:0006338;GO:0031497;GO:0070828;GO:0097549;GO:0006333;GO:0034401" "rDNA heterochromatin assembly" 0.64736738502103
26 0.903093731808083 6 98 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.984782981990144
927 0.276692296652988 2 6 "GO:0000185" "activation of MAPKKK activity" 0.625205519111276
1023 0.0144028323233254 2 25 "GO:0000186" "activation of MAPKK activity" 0.105683120294531
37 0.870049861279324 5 85 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967;GO:0010647;GO:0023056" "positive regulation of signaling" 0.984782981990144
473 0.267731431994253 9 24 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "inactivation of MAPK activity" 0.622537736086216
198 0.775926714281313 6 9 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.949884849720595
33 0.798139232998373 4 278 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.95742816697257
410 0.31711597301346 5 26 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.65630228847108
231 0.565227375313353 2 27 "GO:0000245" "spliceosomal complex assembly" 0.849344327266076
-142 0.838260554467182 3 9 "GO:0000256;GO:0000255;GO:0043605" "allantoin metabolic process" 0.978661894742066
177 0.642181422322572 2 30 "GO:0000266;GO:0048285" "organelle fission" 0.886789795200911
-1749 0.00369633773646784 3 12 "GO:0000270;GO:0030203;GO:0006022" "glycosaminoglycan metabolic process" 0.0435089754396735
-945 0.000905309607723071 3 54 "GO:0000271" "polysaccharide biosynthetic process" 0.0170499976121178
-1074 0.00656762783225042 3 28 "GO:0000272" "polysaccharide catabolic process" 0.0628933851732456
200 0.245973533416145 2 150 "GO:0000278;GO:0007049" "cell cycle" 0.597173150649616
7 0.975610767815539 3 93 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.997760529448183
-690 0.186362140748986 8 16 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.521260443184045
286 0.649141772828954 5 11 "GO:0000290;GO:0110156;GO:0110154" "RNA decapping" 0.888860859949472
-123 0.716821681963977 2 38 "GO:0000302;GO:1901700" "response to oxygen-containing compound" 0.922560934646121
260 0.780630941884894 4 5 "GO:0000305" "response to oxygen radical" 0.949884849720595
65 0.884586349121495 2 22 "GO:0000338;GO:0070646" "protein deneddylation" 0.984782981990144
-552 0.483951148344314 2 7 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.792557677723297
-205 0.616834062258171 4 26 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.875656394914238
239 0.277985872654233 3 91 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.625205519111276
267 0.327633644738295 2 59 "GO:0000387" "spliceosomal snRNP assembly" 0.66587413409042
167 0.781763637380667 3 12 "GO:0000390;GO:0032988;GO:0032984" "protein-containing complex disassembly" 0.949884849720595
183 0.151457735020657 2 279 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.460073227347695
-499 0.0856506176177138 6 52 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.336059714958391
672 0.212600645759316 2 15 "GO:0000422;GO:0061726;GO:1903008" "autophagy of mitochondrion" 0.563940680065791
-214 0.785811062736256 3 7 "GO:0000429;GO:0045990;GO:0031670;GO:0007584;GO:0031669;GO:0031668;GO:0071496" "cellular response to extracellular stimulus" 0.950713598385406
-661 0.192056351040894 3 17 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.531920776167182
-567 0.277504200106946 2 16 "GO:0000453;GO:0000451;GO:0031167" "rRNA methylation" 0.625205519111276
-1346 0.00314984713096491 4 21 "GO:0000455;GO:0031118" "rRNA pseudouridine synthesis" 0.0380615985583576
-68 0.889813140718583 2 18 "GO:0000460" "maturation of 5.8S rRNA" 0.984782981990144
21 0.948392829012433 9 40 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.996614003863986
-245 0.464894483502846 6 39 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.778081283616434
-65 0.822478561392191 2 52 "GO:0000470;GO:0000463" "maturation of LSU-rRNA" 0.975029968429227
-343 0.402974100876302 7 26 "GO:0000479;GO:0000478;GO:0090502" "RNA phosphodiester bond hydrolysis, endonucleolytic" 0.725096710175511
-11 0.985746172530166 8 11 "GO:0000492;GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.997760529448183
872 0.0849685304992974 3 17 "GO:0000712;GO:0061982" "meiosis I cell cycle process" 0.33571482330142
-715 0.304311816729487 3 9 "GO:0000716;GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.647927389696778
103 0.854280637571174 6 14 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.982225515323581
92 0.711383903772132 5 71 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.919470807780064
-308 0.1408161637602 2 101 "GO:0000724;GO:0000725;GO:0006302" "recombinational repair" 0.444667047452113
87 0.848119073186631 8 21 "GO:0000727" "double-strand break repair via break-induced replication" 0.978661894742066
-1239 0.0930415690107277 3 8 "GO:0000731;GO:0071897" "DNA biosynthetic process" 0.357608751639872
248 0.270556220119689 3 87 "GO:0000902" "cell morphogenesis" 0.622537736086216
-190 0.734145696430249 2 14 "GO:0000904" "cell morphogenesis involved in differentiation" 0.929339744168475
-1425 0.000395666427073554 4 27 "GO:0000917;GO:0090529;GO:0032506" "cytokinetic process" 0.00827968634431696
-300 0.0535198176073782 2 185 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "organic cyclic compound catabolic process" 0.248073801976041
448 0.543474061414807 5 8 "GO:0000959" "mitochondrial RNA metabolic process" 0.835792390060586
293 0.753526615066248 2 5 "GO:0000963;GO:0140053" "mitochondrial RNA processing" 0.937966292141974
-444 0.547475457259322 2 8 "GO:0000967" "rRNA 5'-end processing" 0.838275429136902
815 0.338575374509562 5 6 "GO:0000971;GO:0000968;GO:0000378" "tRNA exon ligation" 0.671881317427965
559 0.397335577482735 2 10 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.719533978454312
-1070 0.147052214909679 6 8 "GO:0001123;GO:0006352" "transcription initiation from bacterial-type RNA polymerase promoter" 0.454013668983435
-1456 0.0273937005475346 3 10 "GO:0001407;GO:0015711;GO:0015748" "organic anion transport" 0.164642297939096
558 0.037626104185594 2 61 "GO:0001501;GO:0048731" "system development" 0.193369240984221
210 0.515745359664979 2 42 "GO:0001503" "ossification" 0.823152904550037
568 0.346009530953992 2 12 "GO:0001504;GO:0006836;GO:0098657" "neurotransmitter transport" 0.676454619339119
489 0.349170658214166 3 16 "GO:0001505" "regulation of neurotransmitter levels" 0.67886434272153
-42 0.948771859000131 2 10 "GO:0001508" "action potential" 0.996614003863986
-1080 0.170910023413958 5 7 "GO:0001514;GO:0006451" "translational readthrough" 0.494796261515923
-286 0.50283281336333 5 24 "GO:0001516;GO:0006693;GO:0046457;GO:0006692;GO:0006636;GO:0046456;GO:0006633;GO:0033559;GO:0006690" "fatty acid biosynthetic process" 0.816380860776671
-793 0.0101314067297573 6 46 "GO:0001522" "pseudouridine synthesis" 0.0823333708511609
447 0.219470553903959 7 33 "GO:0001523;GO:0016101" "retinoid metabolic process" 0.571432548183119
334 0.0343687656224185 2 179 "GO:0001525" "angiogenesis" 0.189719940752464
2145 0.0215129189556274 3 5 "GO:0001553" "luteinization" 0.138122718294653
486 0.602916382257149 3 5 "GO:0001554" "luteolysis" 0.871221882289742
53 0.855318501839295 4 51 "GO:0001558;GO:0040008" "regulation of growth" 0.982225515323581
253 0.674157257830971 3 12 "GO:0001561;GO:0009062;GO:0019395;GO:0044242;GO:0034440;GO:0030258" "lipid modification" 0.897194222963063
1004 0.0545286826047239 2 16 "GO:0001568" "blood vessel development" 0.248457303803782
1175 0.20792379575683 2 5 "GO:0001569" "branching involved in blood vessel morphogenesis" 0.554136531144382
1230 0.118930641919653 2 7 "GO:0001570" "vasculogenesis" 0.412244249598797
202 0.698831481777882 2 16 "GO:0001578" "microtubule bundle formation" 0.911844623493832
987 0.2902467537988 4 5 "GO:0001580" "detection of chemical stimulus involved in sensory perception of bitter taste" 0.645627621639063
365 0.364266380901894 2 27 "GO:0001649" "osteoblast differentiation" 0.686035017365234
345 0.438474611523336 4 22 "GO:0001654;GO:0007423" "sensory organ development" 0.757609038258975
646 0.3814264930203 3 8 "GO:0001656" "metanephros development" 0.69969470310542
-775 0.26539097834817 3 9 "GO:0001658" "branching involved in ureteric bud morphogenesis" 0.622182169156498
-162 0.816148052009306 4 9 "GO:0001659" "temperature homeostasis" 0.971985039529252
-972 0.140846060250443 3 10 "GO:0001662;GO:0002209;GO:0042596;GO:0033555" "fear response" 0.444667047452113
300 0.167779615787814 4 93 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to abiotic stimulus" 0.4886365098975
-494 0.596430282199048 3 5 "GO:0001672;GO:1902275" "regulation of chromatin assembly or disassembly" 0.866280486998617
207 0.76602106445823 5 9 "GO:0001675;GO:0010927;GO:0033363;GO:0016050" "vesicle organization" 0.94292353250305
568 0.276470293263128 4 16 "GO:0001676" "long-chain fatty acid metabolic process" 0.625205519111276
269 0.683757558106622 3 10 "GO:0001678;GO:0042593;GO:0033500" "glucose homeostasis" 0.89842562867498
975 0.296255305460623 3 5 "GO:0001682;GO:0099116" "tRNA 5'-leader removal" 0.646271226197884
117 0.900237651354662 2 5 "GO:0001692;GO:0052803" "histamine metabolic process" 0.984782981990144
635 0.00962021307036186 5 73 "GO:0001701;GO:0043009;GO:0009792;GO:0009790" "embryo development" 0.0823333708511609
