"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-94 0.5225910339008 2 14 "GO:0000002" "mitochondrial genome maintenance" 0.813537598076778
-25 0.911953639427851 3 6 "GO:0000012" "single strand break repair" 0.96765306702318
90 0.685337451831382 5 6 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.904883172417404
139 0.204951786842322 3 25 "GO:0000027" "ribosomal large subunit assembly" 0.617742005412069
-124 0.495363059895468 2 9 "GO:0000028" "ribosomal small subunit assembly" 0.80751000644231
401 0.020547707102086 6 10 "GO:0000038" "very long-chain fatty acid metabolic process" 0.258326001504308
-227 0.016205858662747 4 34 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "autophagosome organization" 0.258326001504308
391 0.0798464594685782 3 6 "GO:0000050;GO:0019627;GO:0071941" "urea cycle" 0.430531303068298
-91 0.447390866966127 5 21 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0006886;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0046907;GO:0051169" "intracellular transport" 0.80751000644231
-125 0.494588579344274 4 9 "GO:0000055" "ribosomal large subunit export from nucleus" 0.80751000644231
89 0.466585872846842 4 20 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.80751000644231
-62 0.800054908549597 3 5 "GO:0000076" "DNA replication checkpoint" 0.930498643639205
-441 0.00520101601945133 3 12 "GO:0000077" "DNA damage checkpoint" 0.139127178520323
157 0.199639395610724 6 20 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.610326152295642
136 0.122355972097453 3 39 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.490881783409402
-110 0.486892484574238 2 12 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.80751000644231
73 0.524658964965229 4 23 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.813537598076778
40 0.772707939488215 6 16 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle localization" 0.928985949721787
-445 0.0145790361201523 3 9 "GO:0000154" "rRNA modification" 0.258326001504308
185 0.0359255100768565 8 39 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.349457234383968
28 0.901557806380918 2 6 "GO:0000186" "activation of MAPKK activity" 0.96765306702318
-231 0.0536185562372666 5 21 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967;GO:0010647;GO:0023056" "positive regulation of signaling" 0.370249462380713
125 0.493041562355022 7 9 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0009968;GO:0010648;GO:0023057;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of signaling" 0.80751000644231
-45 0.514213873739517 9 66 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.813537598076778
-105 0.0979958340043725 2 77 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.45516383653253
85 0.573746844409104 5 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.840971402079098
296 0.104189475300879 3 9 "GO:0000245" "spliceosomal complex assembly" 0.45516383653253
187 0.364765535036499 2 7 "GO:0000266;GO:0048285" "organelle fission" 0.74342689997915
500 0.00964772754959022 2 8 "GO:0000272;GO:0016052" "carbohydrate catabolic process" 0.229401521734701
-188 0.0212916196151837 3 46 "GO:0000278;GO:0007049" "cell cycle" 0.258326001504308
15 0.880736032750824 4 32 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.956738634561809
-368 0.0570945432643156 3 8 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.370249462380713
-46 0.789609973651819 2 10 "GO:0000302;GO:1901700;GO:0042221" "response to chemical" 0.930498643639205
-168 0.384602395893918 7 8 "GO:0000338;GO:0070646" "protein deneddylation" 0.762082525197208
-167 0.334274004320684 2 10 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.722572090147741
-39 0.691494415342081 7 32 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.904883172417404
93 0.473724422148234 2 18 "GO:0000387" "spliceosomal snRNP assembly" 0.80751000644231
-85 0.704444813002131 2 6 "GO:0000390;GO:0032988;GO:0032984" "protein-containing complex disassembly" 0.904883172417404
-98 0.05558924000138 8 122 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.370249462380713
-128 0.208288677316364 4 29 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.619080235356971
-262 0.129364149422012 2 10 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 0.490881783409402
11 0.962629852536867 4 6 "GO:0000447;GO:0000479;GO:0000478;GO:0090502" "RNA phosphodiester bond hydrolysis, endonucleolytic" 0.972014874552121
181 0.417505849255099 3 6 "GO:0000460" "maturation of 5.8S rRNA" 0.790674794164524
-11 0.931479120592407 3 17 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.96765306702318
-125 0.297600072885523 2 21 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.691544556434758
-261 0.130913233492642 7 10 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.490881783409402
102 0.554787308631839 4 10 "GO:0000723;GO:0032200;GO:0060249" "telomere organization" 0.834776472016281
-83 0.394756863016857 4 32 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.767981533505522
