"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
259 0.265179633899979 6 15 "GO:0000002" "mitochondrial genome maintenance" 0.959230033736961
-396 0.212896361037475 2 8 "GO:0000012" "single strand break repair" 0.901736294530782
-148 0.642691747703764 5 8 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.968377369285405
-508 0.206489169984173 3 5 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.901736294530782
44 0.744891177513131 7 44 "GO:0000027" "ribosomal large subunit assembly" 0.995415542931365
-241 0.257486661527527 5 18 "GO:0000028" "ribosomal small subunit assembly" 0.959230033736961
-115 0.587475881117728 4 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.968377369285405
-88 0.477984234962601 5 54 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.968377369285405
-130 0.603721103875374 4 13 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.968377369285405
-240 0.183475990285477 6 25 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.888535979607682
-446 0.086114256252491 3 12 "GO:0000055" "ribosomal large subunit export from nucleus" 0.715909431150407
116 0.459024021244644 3 33 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.968377369285405
-164 0.630558505435002 4 7 "GO:0000076" "DNA replication checkpoint" 0.968377369285405
-184 0.26438482983875 2 30 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "DNA integrity checkpoint" 0.959230033736961
3 0.986440545827294 5 27 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.995415542931365
344 0.00382950786687321 4 58 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.262957236090158
-6 0.980695161924084 3 15 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.995415542931365
-136 0.336309728057908 5 41 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.968377369285405
562 0.126191240796479 3 6 "GO:0000096" "sulfur amino acid metabolic process" 0.785261637120152
843 0.0361559689508816 2 5 "GO:0000103" "sulfate assimilation" 0.601345746347124
1000 0.001666854601734 3 8 "GO:0000105;GO:0006547;GO:0008652" "cellular amino acid biosynthetic process" 0.244194199154031
133 0.452026411202048 7 26 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.968377369285405
-156 0.548801731924238 2 12 "GO:0000154" "rRNA modification" 0.968377369285405
-42 0.682735770227018 5 78 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.995415542931365
249 0.0337149077699556 5 60 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.601345746347124
399 0.320812635176593 2 5 "GO:0000185" "activation of MAPKKK activity" 0.968377369285405
312 0.325976902824921 2 8 "GO:0000186" "activation of MAPKK activity" 0.968377369285405
35 0.827447892976638 2 31 "GO:0000187" "activation of MAPK activity" 0.995415542931365
91 0.748099533358512 6 10 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of protein kinase activity" 0.995415542931365
-57 0.492045711964698 2 122 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.968377369285405
-27 0.94598720373006 6 5 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.995415542931365
-38 0.631345478703443 2 131 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.968377369285405
200 0.310343520046182 2 21 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.968377369285405
-10 0.959831861422456 6 22 "GO:0000245" "spliceosomal complex assembly" 0.995415542931365
52 0.841050697070221 2 12 "GO:0000266;GO:0048285" "organelle fission" 0.995415542931365
-23 0.935378534945022 5 10 "GO:0000272;GO:0016052" "carbohydrate catabolic process" 0.995415542931365
-190 0.0824700842166074 2 69 "GO:0000278;GO:0007049" "cell cycle" 0.715909431150407
-203 0.120790345613998 4 48 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.785261637120152
-62 0.826990643606283 6 10 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.995415542931365
-105 0.63032965135797 2 17 "GO:0000302;GO:1901700;GO:0042221" "response to chemical" 0.968377369285405
-47 0.831415016526852 2 17 "GO:0000338;GO:0070646" "protein deneddylation" 0.995415542931365
475 0.237173238918127 2 5 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.951941904150838
529 0.188314096782366 5 5 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.888535979607682
-147 0.513634189289296 2 16 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.968377369285405
-92 0.439949859138503 6 58 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.968377369285405
21 0.889105568226602 2 35 "GO:0000387" "spliceosomal snRNP assembly" 0.995415542931365
249 0.497983837011654 2 6 "GO:0000390;GO:0032988" "spliceosomal complex disassembly" 0.968377369285405
-4 0.952309158959026 2 191 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.995415542931365
-5 0.983155697176242 3 17 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 0.995415542931365
533 0.116805968373213 3 7 "GO:0000423;GO:0061912;GO:0016236" "selective autophagy" 0.785261637120152
