"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-321 0.174729234688921 4 13 "GO:0000002" "mitochondrial genome maintenance" 0.721698476753844
72 0.810622242250569 2 8 "GO:0000012" "single strand break repair" 0.960485177792691
-740 0.0215111629511009 3 7 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.641862776705468
32 0.933923740948388 2 5 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.980071521365914
-76 0.578566470285061 4 39 "GO:0000027" "ribosomal large subunit assembly" 0.920267896403979
-202 0.329598353868132 3 17 "GO:0000028" "ribosomal small subunit assembly" 0.771673116228522
119 0.565388900950461 2 17 "GO:0000038" "very long-chain fatty acid metabolic process" 0.920267896403979
523 0.132428682983515 7 6 "GO:0000041" "transition metal ion transport" 0.70899800984125
133 0.249925372361359 4 55 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.749776117084077
-294 0.232371703330336 4 12 "GO:0000050;GO:0019627;GO:0071941" "urea metabolic process" 0.749776117084077
-60 0.689307735483944 5 32 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0006886;GO:0050657;GO:0051236;GO:0006913;GO:0046907;GO:0015931;GO:0051169" "intracellular transport" 0.930070724432881
-105 0.683647528136543 2 11 "GO:0000055" "ribosomal large subunit export from nucleus" 0.927173335178296
-37 0.822691109621243 4 27 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.969310881582262
-441 0.204581304369008 2 6 "GO:0000076" "DNA replication checkpoint" 0.726400641231303
-158 0.34460085800919 3 26 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "cell cycle checkpoint" 0.771673116228522
-162 0.332383772631721 6 26 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.771673116228522
30 0.805739053336372 3 50 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.960485177792691
-287 0.20796438965085 2 14 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.726400641231303
169 0.243081089765324 4 35 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.749776117084077
65 0.852443612171635 2 6 "GO:0000096" "sulfur amino acid metabolic process" 0.969310881582262
-302 0.316643107533426 6 8 "GO:0000105;GO:0006547;GO:0008652" "histidine metabolic process" 0.771673116228522
-175 0.295076443566399 5 26 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "microtubule cytoskeleton organization involved in mitosis" 0.771673116228522
68 0.783145909989894 2 12 "GO:0000154" "rRNA modification" 0.960485177792691
-19 0.846752281683149 2 77 "GO:0000165;GO:0035556" "intracellular signal transduction" 0.969310881582262
29 0.804547613347239 2 53 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.960485177792691
-471 0.216163325611587 2 5 "GO:0000185" "activation of MAPKKK activity" 0.726400641231303
-168 0.601797307851794 8 7 "GO:0000186" "activation of MAPKK activity" 0.920267896403979
95 0.54091425472624 3 30 "GO:0000187" "activation of MAPK activity" 0.920267896403979
101 0.736703314588321 6 8 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of MAP kinase activity" 0.960485177792691
-102 0.198529791643002 7 119 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.726400641231303
-107 0.162144929687785 4 128 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.711957274942988
105 0.612315322792656 2 17 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.920267896403979
225 0.227208325054471 2 21 "GO:0000245" "spliceosomal complex assembly" 0.745031949597219
-37 0.916172165516014 2 6 "GO:0000266" "mitochondrial fission" 0.980071521365914
104 0.699392144009502 3 10 "GO:0000272;GO:0016052" "carbohydrate catabolic process" 0.932419452607784
-6 0.952238778750126 3 70 "GO:0000278;GO:0007049" "cell cycle" 0.980071521365914
-159 0.218184166219308 3 44 "GO:0000281;GO:0061640;GO:0000910" "cytoskeleton-dependent cytokinesis" 0.726400641231303
-149 0.599076358767994 2 9 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.920267896403979
58 0.792405542602479 4 15 "GO:0000338;GO:0070646" "protein deneddylation" 0.960485177792691
511 0.179145011960174 2 5 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.721698476753844
-46 0.497013120205619 3 169 "GO:0000375;GO:0008380;GO:0000398;GO:0000377;GO:0006397" "RNA splicing, via transesterification reactions" 0.875985624362403
-219 0.318966682502219 2 15 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.771673116228522
-182 0.112081011943339 6 56 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA metabolic process" 0.70899800984125
72 0.643714139362946 2 30 "GO:0000387" "spliceosomal snRNP assembly" 0.920267896403979
-188 0.392624857509302 4 15 "GO:0000422;GO:0006914;GO:0061726;GO:0061919;GO:1903008" "autophagy" 0.815311885681332
-40 0.907596524197666 5 6 "GO:0000423;GO:0061912;GO:0016236" "selective autophagy" 0.980071521365914
-849 0.0145168508628434 4 6 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.641862776705468
230 0.545983589023052 2 5 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 0.920267896403979
493 0.0451486341326729 4 12 "GO:0000460" "maturation of 5.8S rRNA" 0.641862776705468
-321 0.132647307531602 2 16 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.70899800984125
216 0.246443604394485 5 21 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.749776117084077
-390 0.0674537460416963 3 16 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.641862776705468
48 0.757685738863705 4 30 "GO:0000470" "maturation of LSU-rRNA" 0.960485177792691
-513 0.0456183395246101 3 11 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.641862776705468
403 0.289419790634729 2 5 "GO:0000492;GO:0000491" "box C/D snoRNP assembly" 0.771673116228522
142 0.424920674589873 5 23 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.85591164453103
-185 0.127519585563202 6 50 "GO:0000724;GO:0000725;GO:0006302;GO:0006310" "DNA recombination" 0.70899800984125
-310 0.133873205643493 3 17 "GO:0000727" "double-strand break repair via break-induced replication" 0.70899800984125
-4 0.977201828220055 3 41 "GO:0000902" "cell morphogenesis" 0.986403644361963
382 0.178325214186886 2 9 "GO:0000904" "cell morphogenesis involved in differentiation" 0.721698476753844
317 0.362283423139937 2 6 "GO:0000959" "mitochondrial RNA metabolic process" 0.795294258977047
185 0.626496583566762 4 5 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.920267896403979
170 0.282966521506062 2 29 "GO:0001501;GO:0048731" "system development" 0.771673116228522
365 0.0977217972745764 2 15 "GO:0001503" "ossification" 0.70899800984125
685 0.0486096028387117 4 6 "GO:0001504;GO:0006836;GO:0098657" "import into cell" 0.641862776705468
445 0.0981844693568737 3 10 "GO:0001505" "regulation of neurotransmitter levels" 0.70899800984125
517 0.108186656853455 2 7 "GO:0001508;GO:0042391" "regulation of membrane potential" 0.70899800984125
130 0.598569106309788 3 12 "GO:0001510;GO:0043414;GO:0032259" "macromolecule methylation" 0.920267896403979
