"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-96 0.789147900956405 2 22 "GO:0000002" "mitochondrial genome maintenance" 0.852561571568973
197 0.741702632039419 1 8 "GO:0000003" "reproduction" 0.817384005514124
191 0.683593966460124 6 13 "GO:0000012" "single strand break repair" 0.793428009032854
-152 0.718315653900268 3 16 "GO:0000018;GO:0051052" "regulation of DNA metabolic process" 0.804779575203078
-250 0.716546446741293 5 6 "GO:0000019" "regulation of mitotic recombination" 0.804660046920617
1258 0.0954692267631677 4 5 "GO:0000022;GO:0051231" "mitotic spindle elongation" 0.244482041023138
-108 0.575254707326988 4 77 "GO:0000027" "ribosomal large subunit assembly" 0.734626064238159
33 0.895073171348993 2 46 "GO:0000028" "ribosomal small subunit assembly" 0.937304135038758
341 0.354899603530413 6 21 "GO:0000038" "very long-chain fatty acid metabolic process" 0.557699376976363
431 0.0112013622689843 2 100 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.0468763887760826
-433 0.276787111145806 3 18 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.502990594689186
153 0.588144698831412 7 36 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0015931;GO:0006913;GO:0051169" "nucleocytoplasmic transport" 0.741366688210007
414 0.376710008593207 2 13 "GO:0000055" "ribosomal large subunit export from nucleus" 0.581756309096017
463 0.083140271108945 4 40 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 0.218695060960486
300 0.427062497485821 2 20 "GO:0000076" "DNA replication checkpoint" 0.618857032284842
258 0.353193209546524 3 37 "GO:0000077" "DNA damage checkpoint" 0.556825776614064
474 0.0330175455487173 5 58 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.10945542496972
638 0.000662491110130663 3 82 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.00427527596404321
400 0.29006700751508 2 20 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.510517933226541
653 0.000583650635651997 2 80 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.00392416579117057
-1244 0.00131688746628177 3 19 "GO:0000096" "sulfur amino acid metabolic process" 0.00806801941367565
