"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
176 0.607294934294987 2 24 "GO:0000002" "mitochondrial genome maintenance" 0.94494161716429
204 0.746805820744102 1 7 "GO:0000003" "reproduction" 0.986047529675898
-321 0.442820840564024 2 16 "GO:0000012" "single strand break repair" 0.892995038989235
91 0.838908707597121 2 14 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.986047529675898
-966 0.12655886390052 3 7 "GO:0000022;GO:0051231" "spindle elongation" 0.651327829073766
-200 0.309539591974784 2 73 "GO:0000027" "ribosomal large subunit assembly" 0.881533159771164
-462 0.102793749027108 4 35 "GO:0000028" "ribosomal small subunit assembly" 0.588075866527176
-171 0.62475312922841 2 23 "GO:0000038" "very long-chain fatty acid metabolic process" 0.94494161716429
178 0.794422727081382 7 6 "GO:0000041" "transition metal ion transport" 0.986047529675898
179 0.313553461300719 2 90 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "organelle assembly" 0.881533159771164
58 0.886839797636357 3 17 "GO:0000050;GO:0019627;GO:0071941" "nitrogen cycle metabolic process" 0.988688707310317
-565 0.0429966320013798 5 36 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleocytoplasmic transport" 0.518146325230801
-678 0.104868440187828 3 16 "GO:0000055" "ribosomal large subunit export from nucleus" 0.589320908602634
428 0.101939864777881 2 41 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "chromosome segregation" 0.588075866527176
73 0.856448980071816 6 17 "GO:0000076" "DNA replication checkpoint" 0.986047529675898
172 0.573136011626568 6 30 "GO:0000077" "DNA damage checkpoint" 0.94494161716429
135 0.554859720220508 4 54 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 0.94494161716429
161 0.365050083083815 4 90 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.887013767233859
587 0.100261642414012 5 22 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.588075866527176
10 0.960732559957712 2 76 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.993019630832917
-14 0.972930106519282 2 16 "GO:0000096" "sulfur amino acid metabolic process" 0.993019630832917
172 0.801311764286871 4 6 "GO:0000097" "sulfur amino acid biosynthetic process" 0.986047529675898
140 0.745720694897409 2 15 "GO:0000103" "sulfate assimilation" 0.986047529675898
46 0.846132772077369 2 50 "GO:0000105;GO:0006547" "histidine metabolic process" 0.986047529675898
-128 0.661497052306361 6 33 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:1902850;GO:0051653" "establishment of mitotic spindle orientation" 0.961003375913703
-332 0.285670314014134 3 29 "GO:0000154" "rRNA modification" 0.881533159771164
76 0.716847574316967 2 65 "GO:0000160" "phosphorelay signal transduction system" 0.984758723187708
-72 0.85890272565695 4 17 "GO:0000162;GO:0006568;GO:0009073;GO:0046219;GO:0006586;GO:0009072;GO:0042430;GO:0042435" "aromatic amino acid family metabolic process" 0.986047529675898
-180 0.230982063150606 2 126 "GO:0000165" "MAPK cascade" 0.8235012686239
-438 0.0163304518729863 2 85 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.39771012246695
42 0.951466505533102 2 6 "GO:0000185" "activation of MAPKKK activity" 0.993019630832917
597 0.0746227473395252 7 25 "GO:0000186" "activation of MAPKK activity" 0.521940741553746
-225 0.257217442657838 7 72 "GO:0000187;GO:0043406;GO:0043410;GO:0071902;GO:1902533;GO:0009967;GO:0010647" "positive regulation of cell communication" 0.843673211917709
253 0.521779666888369 7 18 "GO:0000188;GO:0043407;GO:0043409;GO:0071901;GO:1902532;GO:0006469;GO:0033673;GO:0051348;GO:0043086;GO:0044092" "negative regulation of MAP kinase activity" 0.937603066021536
24 0.852725557554945 3 177 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.986047529675898
221 0.708550308801551 2 8 "GO:0000212;GO:0007051" "meiotic spindle organization" 0.984758723187708
-187 0.0981166187191763 3 227 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.588075866527176
-210 0.564768484482994 5 21 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.94494161716429
113 0.736484769898097 4 25 "GO:0000245" "spliceosomal complex assembly" 0.986047529675898
-221 0.726753533369607 4 7 "GO:0000256;GO:0000255;GO:0043605" "allantoin catabolic process" 0.986047529675898
58 0.868271123872313 3 23 "GO:0000266;GO:0048285" "organelle fission" 0.986158635568735
-352 0.577999480188082 6 7 "GO:0000270;GO:0030203;GO:0006022" "peptidoglycan metabolic process" 0.94494161716429
-127 0.612411176916578 2 45 "GO:0000271;GO:0016051" "carbohydrate biosynthetic process" 0.94494161716429
480 0.223442914423102 2 18 "GO:0000272" "polysaccharide catabolic process" 0.820402342508703
116 0.45752083492314 3 117 "GO:0000278;GO:0007049" "cell cycle" 0.911337047701153
79 0.665499608373516 4 84 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.961003375913703
-381 0.610762368101181 2 5 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.94494161716429
-308 0.524066754381956 2 12 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.937603066021536
378 0.497416525095172 8 9 "GO:0000290;GO:0110156;GO:0110154" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.92761926279193
-376 0.243569802690568 2 27 "GO:0000302;GO:1901700" "response to oxygen-containing compound" 0.825132952906847
93 0.814421517479907 3 18 "GO:0000338;GO:0070646" "protein deneddylation" 0.986047529675898
1480 0.0477806878532522 2 5 "GO:0000350" "generation of catalytic spliceosome for second transesterification step" 0.518146325230801
328 0.347992633442663 9 23 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.887013767233859
215 0.275081782700177 3 73 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.873162819925723
-110 0.643611581431755 4 50 "GO:0000387" "spliceosomal snRNP assembly" 0.954909655686961
-145 0.794690553863464 2 9 "GO:0000390;GO:0032988;GO:0032984" "protein-containing complex disassembly" 0.986047529675898
-56 0.616877020405575 2 235 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.94494161716429
798 0.0743118314697351 5 14 "GO:0000422;GO:0061726;GO:1903008" "organelle disassembly" 0.521940741553746
-370 0.40804998801047 2 14 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.887313716015137
-69 0.901810474316113 3 9 "GO:0000453;GO:0000451;GO:0031167" "rRNA methylation" 0.990381145900731
-250 0.590263175596011 2 13 "GO:0000455" "enzyme-directed rRNA pseudouridine synthesis" 0.94494161716429
-99 0.830661561839252 3 13 "GO:0000460" "maturation of 5.8S rRNA" 0.986047529675898
76 0.80668466911686 4 29 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.986047529675898
-777 0.00168925617205542 2 46 "GO:0000463;GO:0000470" "maturation of LSU-rRNA" 0.157056588885557
-108 0.720168311328684 2 31 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.984758723187708
-108 0.76318759985714 2 22 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage involved in rRNA processing" 0.986047529675898
-328 0.55658205987659 3 9 "GO:0000492;GO:0000491" "small nucleolar ribonucleoprotein complex assembly" 0.94494161716429
-383 0.491614327882158 3 9 "GO:0000712" "resolution of meiotic recombination intermediates" 0.92761926279193
-80 0.906985442078804 3 6 "GO:0000716;GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.991903405018031
1145 0.0176938165390886 2 12 "GO:0000722;GO:0006312" "telomere maintenance via recombination" 0.39771012246695
214 0.324746519430642 3 60 "GO:0000723;GO:0032200;GO:0060249" "anatomical structure homeostasis" 0.884599284777517
103 0.55304150090411 6 95 "GO:0000725;GO:0006310;GO:0000724;GO:0006302" "DNA recombination" 0.94494161716429
256 0.539941083742516 2 16 "GO:0000727" "double-strand break repair via break-induced replication" 0.94494161716429
470 0.491008008138178 3 6 "GO:0000731;GO:0071897" "DNA biosynthetic process" 0.92761926279193
186 0.586279725126273 3 24 "GO:0000746;GO:0044764;GO:0051704" "multi-organism cellular process" 0.94494161716429
