"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
122 0.124478948803505 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.378416004362655
138 0.218492937246452 4 3 "GO:0000018;GO:0051052" "regulation of DNA recombination" 0.49568546957404
-205 5.08755794842603e-05 6 15 "GO:0000027" "ribosomal large subunit assembly" 0.00208866786668309
-189 0.000795528342773594 4 12 "GO:0000028" "ribosomal small subunit assembly" 0.0134355897890651
33 0.593814407034327 5 10 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.813151260083042
57 0.383849288398209 6 9 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "RNA export from nucleus" 0.684382713329125
80 0.359516382626892 8 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.666384256942457
91 0.252310582793028 4 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 0.540157867387891
157 0.105686137207959 5 4 "GO:0000077;GO:0031570;GO:0000075;GO:0045786" "negative regulation of cell cycle" 0.356054167111783
185 0.0977831267443582 2 3 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein serine/threonine kinase activity" 0.356054167111783
-26 0.703233707457692 3 8 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.888451187992634
70 0.470682449362726 4 4 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.730038084725861
58 0.54803419267003 2 4 "GO:0000096;GO:0006790" "sulfur compound metabolic process" 0.789951899315592
44 0.36388087714621 8 16 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0009889;GO:0045934" "regulation of cellular macromolecule biosynthetic process" 0.666384256942457
-71 0.414264031491181 3 5 "GO:0000154" "rRNA modification" 0.707507109962466
-26 0.632996721392539 2 13 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.843995628523385
13 0.781831493006874 6 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.935735330212952
-33 0.391719053023907 2 26 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.684382713329125
58 0.117147537230559 5 28 "GO:0000226;GO:0007010" "cytoskeleton organization" 0.363396442021326
-21 0.715736639557835 7 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.888451187992634
-101 0.245037163103 3 5 "GO:0000245" "spliceosomal complex assembly" 0.532080697023657
54 0.632972359445474 2 3 "GO:0000266" "mitochondrial fission" 0.843995628523385
110 0.326817620399948 2 3 "GO:0000272;GO:0016052" "polysaccharide catabolic process" 0.645146471438858
94 0.0710837241465339 4 14 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.30013127972981
-183 0.101790171811237 3 3 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.356054167111783
-140 0.150194179304022 2 4 "GO:0000302;GO:0006979;GO:1901700" "response to oxidative stress" 0.407669915253774
16 0.889274495399951 4 3 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.982095830779605
127 0.257113691478573 2 3 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.540612332909885
0 0.997212286874992 3 14 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of alternative mRNA splicing, via spliceosome" 0.997220190971134
-78 0.0748490155545737 4 20 "GO:0000387" "spliceosomal snRNP assembly" 0.30526998621681
23 0.835162655609254 6 3 "GO:0000388" "spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)" 0.952655454848658
-116 4.65570477351959e-06 8 65 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.000353833562787489
-60 0.332773457233476 6 10 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 0.648481608967799
-298 0.00211490483966869 2 4 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.0321465535629641
-134 0.166250080311522 5 4 "GO:0000453;GO:0000451;GO:0031167;GO:0001510;GO:0043414;GO:0032259" "RNA methylation" 0.440202267524037
-40 0.514391733585376 3 10 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.781875435049772
-70 0.343836713325287 3 7 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.653289755318045
-126 0.0315883362124511 2 11 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.192057084171703
-118 0.0557249191825651 2 10 "GO:0000470" "maturation of LSU-rRNA" 0.273231861798384
-109 0.1124381580353 3 8 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.356054167111783
119 0.027609389889245 3 13 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310" "DNA recombination" 0.182462054920228
117 0.226087521453069 2 4 "GO:0000727" "double-strand break repair via break-induced replication" 0.505372106777448
142 0.205879673878678 3 3 "GO:0000902" "cell morphogenesis" 0.49568546957404
85 0.0602930061800829 2 19 "GO:0000910" "cytokinesis" 0.275942522595288
54 0.533632027825485 4 5 "GO:0000911" "cytokinesis by cell plate formation" 0.788233174690094
3 0.977308618874401 3 3 "GO:0000917;GO:0090529;GO:0032506" "cell septum assembly" 0.996985973616839
-30 0.429042535583279 4 27 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361" "cellular macromolecule catabolic process" 0.719395687476302
55 0.568969237513522 2 4 "GO:0001522" "pseudouridine synthesis" 0.793424991761976
17 0.817314209856192 2 7 "GO:0001525" "angiogenesis" 0.952655454848658
88 0.43366337284026 3 3 "GO:0001558;GO:0040008" "regulation of growth" 0.719395687476302
66 0.558324218214142 2 3 "GO:0001578" "microtubule bundle formation" 0.793133468864949
85 0.446965900370041 4 3 "GO:0001649" "osteoblast differentiation" 0.730038084725861
-155 0.110236295657742 4 4 "GO:0001666;GO:0036293;GO:0070482;GO:0009628" "response to decreased oxygen levels" 0.356054167111783
-104 0.191546368539731 6 6 "GO:0001731" "formation of translation preinitiation complex" 0.477295869148182
5 0.932339276586641 7 10 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.994531850177403
119 0.1056651153282 2 7 "GO:0001822" "kidney development" 0.356054167111783
155 0.109947449232832 4 4 "GO:0001933;GO:0031400;GO:0042326;GO:0032269;GO:0045936;GO:0051248;GO:0010563" "negative regulation of protein phosphorylation" 0.356054167111783
2 0.97283962709671 4 8 "GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518" "positive regulation of cellular process" 0.996985973616839
