"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-13 0.569929098467985 4 10 "GO:0000027" "ribosomal large subunit assembly" 0.930309173031391
47 0.0502302443743144 4 9 "GO:0000028" "ribosomal small subunit assembly" 0.817458670461862
-10 0.73165272236088 5 6 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0031324;GO:0045934;GO:0048523;GO:0051172" "regulation of macromolecule biosynthetic process" 0.930309173031391
24 0.560817661838869 2 3 "GO:0000154" "rRNA modification" 0.930309173031391
-44 0.0782008560788334 6 8 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.817458670461862
18 0.368579994736403 5 13 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.817458670461862
20 0.431419556453902 8 8 "GO:0000244;GO:0000387" "spliceosomal snRNP assembly" 0.896025232635027
-13 0.755355081214901 4 3 "GO:0000245" "spliceosomal complex assembly" 0.930309173031391
-41 0.250088477756762 3 4 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.817458670461862
-24 0.552451333027921 4 3 "GO:0000349" "generation of catalytic spliceosome for first transesterification step" 0.930309173031391
-3 0.922284017184649 3 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.984789915734107
0 0.979388323987039 3 36 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing, via transesterification reactions" 0.984789915734107
18 0.6061495035309 5 4 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-amino acid modification" 0.930309173031391
-9 0.809117787483162 10 4 "GO:0000447;GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.943526081993439
-30 0.347015068777286 2 5 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.817458670461862
-28 0.336658120310697 3 6 "GO:0000469;GO:0090501;GO:0090305" "cleavage involved in rRNA processing" 0.817458670461862
-9 0.708323368954021 2 9 "GO:0000470" "maturation of LSU-rRNA" 0.930309173031391
-26 0.181239369991429 4 14 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:1901575" "organic substance catabolic process" 0.817458670461862
12 0.771193795015539 5 3 "GO:0001510;GO:0043414;GO:0032259" "RNA methylation" 0.930309173031391
-8 0.838689850660835 2 3 "GO:0001522" "pseudouridine synthesis" 0.943526081993439
53 0.13552855370873 2 4 "GO:0001525;GO:0048646" "anatomical structure formation involved in morphogenesis" 0.817458670461862
45 0.265536210357621 2 3 "GO:0001731" "formation of translation preinitiation complex" 0.817458670461862
29 0.247269469907183 4 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.817458670461862
-1 0.970662456576814 6 22 "GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0009058;GO:0043603;GO:0044271" "cellular biosynthetic process" 0.984789915734107
12 0.742839989115045 3 4 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.930309173031391
30 0.29532043131419 2 6 "GO:0003006;GO:0022414" "developmental process involved in reproduction" 0.817458670461862
-21 0.600650918310034 2 3 "GO:0005975" "carbohydrate metabolic process" 0.930309173031391
7 0.693445407181265 8 18 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 0.930309173031391
19 0.292687493429003 4 17 "GO:0006464;GO:0036211" "cellular protein modification process" 0.817458670461862
-1 0.976799692860804 4 3 "GO:0006915;GO:0012501;GO:0008219" "apoptotic process" 0.984789915734107
-28 0.262283052867348 2 8 "GO:0006950;GO:0050896" "response to stimulus" 0.817458670461862
0 0.984789915734107 4 15 "GO:0006996" "organelle organization" 0.984789915734107
15 0.641680817477742 2 5 "GO:0007005" "mitochondrion organization" 0.930309173031391
25 0.324751024535047 2 8 "GO:0007017;GO:0000226;GO:0007010" "microtubule-based process" 0.817458670461862
37 0.300780770145894 3 4 "GO:0008104;GO:0033036;GO:0051641;GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0051649;GO:0042886" "peptide transport" 0.817458670461862
11 0.671393761633658 4 8 "GO:0009451" "RNA modification" 0.930309173031391
-16 0.273940572488494 5 26 "GO:0010468;GO:0060255;GO:0019222;GO:0050789;GO:0065007" "regulation of biological process" 0.817458670461862
-22 0.229897206732986 5 16 "GO:0010629;GO:0010605;GO:0009892;GO:0048519" "negative regulation of macromolecule metabolic process" 0.817458670461862
-6 0.590046858571719 4 45 "GO:0016071" "mRNA metabolic process" 0.930309173031391
-36 0.378453088176788 3 3 "GO:0022411" "cellular component disassembly" 0.817458670461862
44 0.216211478442011 2 4 "GO:0022412" "cellular process involved in reproduction in multicellular organism" 0.817458670461862
4 0.706573478181206 4 51 "GO:0022618;GO:0034622;GO:0071826;GO:0065003;GO:0043933;GO:0022607" "cellular component assembly" 0.930309173031391
23 0.369546445801346 2 8 "GO:0030154;GO:0048869" "cellular developmental process" 0.817458670461862
11 0.520382891024691 1 20 "GO:0032502" "developmental process" 0.930309173031391
17 0.256681262035722 2 25 "GO:0043412" "macromolecule modification" 0.817458670461862
