"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
76 0.328525592580503 2 6 "GO:0000002" "mitochondrial genome maintenance" 0.477388751718543
-165 0.000835010035366559 2 15 "GO:0000027" "ribosomal large subunit assembly" 0.0122964206222714
-183 0.000925537036084944 7 12 "GO:0000028" "ribosomal small subunit assembly" 0.0122964206222714
-26 0.649204429911162 6 11 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.745382863972075
-30 0.640098192500881 6 9 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "rRNA-containing ribonucleoprotein complex export from nucleus" 0.744114148782274
-48 0.572903847207207 2 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.694813047970407
137 0.0786921302022352 4 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 0.187650464328407
152 0.0242340695076425 5 8 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.0939070193421147
73 0.125719635695735 4 16 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0045934" "regulation of cellular macromolecule biosynthetic process" 0.270332002476364
-13 0.87763060162439 5 5 "GO:0000154" "rRNA modification" 0.896919186275475
-59 0.270786306770066 2 13 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.43419183671752
-3 0.942220514323869 5 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.942220514323869
-7 0.862095780575402 7 26 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.890832306594582
38 0.308248197609023 4 27 "GO:0000226;GO:0007010" "microtubule cytoskeleton organization" 0.462372296413535
-85 0.139268501833902 5 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.287821570456731
-154 0.0706979965338517 2 5 "GO:0000245" "spliceosomal complex assembly" 0.177700369666168
143 0.0130604197702385 3 11 "GO:0000278;GO:0007049" "cell cycle" 0.0578390018396276
103 0.0442054837001579 4 14 "GO:0000281;GO:0061640" "cytoskeleton-dependent cytokinesis" 0.13703699947049
-13 0.801345437387666 5 14 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.846876428148329
-127 0.00326289034937102 2 20 "GO:0000387" "spliceosomal snRNP assembly" 0.0233422155762696
-122 6.63211494452025e-07 5 66 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 6.16786689840383e-05
-145 0.0167611012521568 6 10 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 0.0677731485413297
-76 0.205758626675114 9 10 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.375206907466384
-71 0.326841466974501 4 7 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.477388751718543
-68 0.238923354486225 3 11 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.396783427986052
-109 0.0596123858046824 3 11 "GO:0000470" "maturation of LSU-rRNA" 0.163057408230455
-38 0.575275319287326 6 8 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage involved in rRNA processing" 0.694813047970407
164 0.00206616129216399 3 13 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310" "DNA recombination" 0.0182524991065287
126 0.0043546321969958 3 19 "GO:0000910" "cytokinesis" 0.0261232696911612
