"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
108 0.162149100612963 4 6 "GO:0000002" "mitochondrial genome maintenance" 0.379508766895588
-193 8.94377089846109e-05 2 15 "GO:0000027" "ribosomal large subunit assembly" 0.00201234845215375
-184 0.000780594370619695 2 12 "GO:0000028" "ribosomal small subunit assembly" 0.0100362133365389
57 0.344823953162272 4 10 "GO:0000045;GO:0070925;GO:1905037;GO:0007033" "vacuole organization" 0.564992446618276
102 0.0885755915627658 6 10 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "RNA export from nucleus" 0.249118851270279
99 0.239740962244016 10 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.441164391212209
107 0.164453798988088 4 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "sister chromatid segregation" 0.379508766895588
15 0.821906184019064 2 8 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.902092153191656
90 0.0661201059567344 7 15 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0009889;GO:0045934" "regulation of cellular macromolecule biosynthetic process" 0.198360317870203
-39 0.64758128283992 2 5 "GO:0000154" "rRNA modification" 0.781954388770861
-35 0.495451958799025 5 14 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.730994693310037
25 0.582970189043597 2 18 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.771578191381231
-71 0.0589590438410572 8 26 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation or removal" 0.189058012773753
34 0.345971111407489 4 28 "GO:0000226;GO:0007010" "microtubule cytoskeleton organization" 0.564992446618276
-37 0.522510202017651 3 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.746443145739501
-38 0.656182805531612 2 5 "GO:0000245" "spliceosomal complex assembly" 0.781954388770861
51 0.373412696919304 3 11 "GO:0000278;GO:0007049" "cell cycle" 0.582977095251418
117 0.00941636942989753 3 18 "GO:0000281;GO:0061640;GO:0000910" "cytokinesis" 0.0470818471494876
-4 0.934737545260245 7 14 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.945240214308113
-72 0.0928733398803328 2 20 "GO:0000387" "spliceosomal snRNP assembly" 0.253290926946362
-108 1.02666398546302e-05 8 66 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.00087243532668531
-42 0.482451558891149 4 10 "GO:0000413;GO:0018208;GO:0018193" "protein peptidyl-prolyl isomerization" 0.723677338336723
-94 0.118412871906914 9 10 "GO:0000462;GO:0030490" "maturation of SSU-rRNA" 0.30449024204635
-67 0.346920866683863 10 7 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.564992446618276
-104 0.0702786335745708 2 11 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.204034742635851
-133 0.019852022737417 9 11 "GO:0000470" "maturation of LSU-rRNA" 0.0850800974460729
