"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
3 0.865018556832257 7 10 "GO:0000027" "ribosomal large subunit assembly" 0.914448188651243
36 0.0725721768719937 2 10 "GO:0000028" "ribosomal small subunit assembly" 0.677810490107138
-19 0.380153758672536 5 8 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903507;GO:2000113;GO:1903506;GO:2000112;GO:1902679;GO:0010558;GO:0031327;GO:2001141;GO:0010556;GO:0031326;GO:0051253;GO:0009890;GO:0031324;GO:0009889;GO:0045934;GO:0048523;GO:0051172" "regulation of transcription, DNA-templated" 0.677810490107138
-32 0.130100035349729 3 9 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.677810490107138
13 0.45293303486009 3 14 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein modification by small protein conjugation" 0.678250470007985
13 0.525556406103661 5 10 "GO:0000226;GO:0007010;GO:0007017" "microtubule-based process" 0.720206926882795
17 0.492798446419926 2 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.701290096828356
-14 0.570696015725273 3 6 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA splicing, via spliceosome" 0.728129399373624
2 0.934377488934993 2 10 "GO:0000387" "spliceosomal snRNP assembly" 0.960332419183187
-30 0.276971451921523 2 5 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.677810490107138
-28 0.305801712963237 2 5 "GO:0000469;GO:0090501;GO:0090305" "cleavage involved in rRNA processing" 0.677810490107138
1 0.962132334686301 3 9 "GO:0000470" "maturation of LSU-rRNA" 0.962132334686301
-27 0.332837139588982 3 5 "GO:0000910" "cytokinesis" 0.677810490107138
-20 0.225959948806015 3 14 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:1901575" "organic substance catabolic process" 0.677810490107138
28 0.203864514804517 2 8 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.677810490107138
2 0.850195801146111 5 26 "GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:0006518;GO:0043604;GO:1901566;GO:1901576;GO:0009058;GO:0043603;GO:0044271" "cellular biosynthetic process" 0.914448188651243
22 0.38472974108215 2 6 "GO:0003006;GO:0022414" "reproductive process" 0.677810490107138
13 0.394370486795241 2 19 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 0.677810490107138
12 0.421341656012545 2 18 "GO:0006464;GO:0036211" "cellular protein modification process" 0.677810490107138
-19 0.305044938388145 4 11 "GO:0006811;GO:0006810;GO:0051234;GO:0051179" "establishment of localization" 0.677810490107138
-11 0.645462585327227 5 7 "GO:0006886;GO:0015031;GO:0046907;GO:0015833;GO:0045184;GO:0051641;GO:0051649;GO:0042886;GO:0008104;GO:0033036" "amide transport" 0.79607052190358
5 0.733042140949393 2 19 "GO:0006996" "organelle organization" 0.870857821622014
48 0.0838005919147645 3 5 "GO:0007005" "mitochondrion organization" 0.677810490107138
-26 0.342181863678342 3 5 "GO:0007165" "signal transduction" 0.677810490107138
13 0.546638482843158 2 8 "GO:0009451" "RNA modification" 0.722343709471316
-25 0.0595334740577684 3 25 "GO:0010468;GO:0060255;GO:0019222" "regulation of macromolecule metabolic process" 0.677810490107138
-22 0.14858602802004 3 18 "GO:0010629;GO:0010605;GO:0009892;GO:0048519" "negative regulation of gene expression" 0.677810490107138
16 0.45827734459999 3 8 "GO:0030154;GO:0048869" "cellular developmental process" 0.678250470007985
16 0.270414874893642 1 19 "GO:0032502" "developmental process" 0.677810490107138
13 0.300508593197863 2 26 "GO:0043412" "macromolecule modification" 0.677810490107138
-14 0.37400679815828 2 16 "GO:0044248;GO:0009056" "cellular catabolic process" 0.677810490107138
7 0.77671103009531 2 7 "GO:0048856" "anatomical structure development" 0.870857821622014
-21 0.154598920576281 2 19 "GO:0050794" "regulation of cellular process" 0.677810490107138
-18 0.419842340555661 1 8 "GO:0050896;GO:0006950" "response to stimulus" 0.677810490107138
-18 0.291710880008939 5 14 "GO:0051252;GO:0031323;GO:0019219;GO:0051171;GO:0080090" "regulation of RNA metabolic process" 0.677810490107138
-7 0.756357748313236 6 8 "GO:0071705;GO:0071702;GO:0006820" "organic substance transport" 0.870857821622014
-37 0.0340524853399237 3 13 "GO:1903047;GO:0022402" "cell cycle process" 0.677810490107138
