"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
-11 0.339340335741957 8 7 "GO:0000209;GO:0016567;GO:0032446;GO:0070647" "protein polyubiquitination" 0.851500428979392
-19 0.139472363050132 2 6 "GO:0000387" "spliceosomal snRNP assembly" 0.851500428979392
10 0.282080195542304 9 13 "GO:0000398;GO:0000377" "RNA splicing, via transesterification reactions with bulged adenosine as nucleophile" 0.851500428979392
4 0.674131529957187 4 13 "GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0044249;GO:1901576;GO:0009058;GO:0043604;GO:1901566;GO:0044271" "cellular nitrogen compound biosynthetic process" 0.851500428979392
-1 0.894740193487922 6 9 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA metabolic process" 0.947371969575447
-10 0.290115773368737 2 12 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.851500428979392
-6 0.666446908181584 2 5 "GO:0006950" "response to stress" 0.851500428979392
-1 0.961270160961763 2 8 "GO:0006996" "organelle organization" 0.961270160961763
-4 0.717704037597878 3 7 "GO:0008104;GO:0051641;GO:0033036;GO:0006886;GO:0046907;GO:0051649;GO:0015031;GO:0015833;GO:0045184;GO:0071702;GO:0071705;GO:0006820;GO:0042886" "cellular localization" 0.851500428979392
12 0.186793005832434 3 13 "GO:0010468;GO:0060255;GO:0019222" "regulation of macromolecule metabolic process" 0.851500428979392
13 0.227033730457807 4 9 "GO:0010629;GO:0010605;GO:0009892;GO:0048519;GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0009057;GO:0044248;GO:1901575;GO:0009056" "negative regulation of metabolic process" 0.851500428979392
8 0.458039621651486 2 9 "GO:0022402" "cell cycle process" 0.851500428979392
9 0.427153166149437 2 7 "GO:0031323;GO:0051252;GO:0019219;GO:0051171;GO:0080090" "regulation of cellular metabolic process" 0.851500428979392
-8 0.550738565511216 1 6 "GO:0032502" "developmental process" 0.851500428979392
6 0.52803218716729 3 11 "GO:0050794" "regulation of cellular process" 0.851500428979392
-4 0.756889270203904 1 8 "GO:0050896" "response to stimulus" 0.851500428979392
-5 0.666491910840255 2 8 "GO:0051234;GO:0051179;GO:0006810;GO:0006811" "establishment of localization" 0.851500428979392
15 0.246611780640122 2 6 "GO:1903047" "mitotic cell cycle process" 0.851500428979392
