"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
45 0.558948004386829 4 6 "GO:0000002" "mitochondrial genome maintenance" 0.709249637778033
-108 0.0217912167237207 2 16 "GO:0000027" "ribosomal large subunit assembly" 0.119210773841531
-180 0.000928440911347135 2 12 "GO:0000028" "ribosomal small subunit assembly" 0.0172690009510567
-50 0.428510405121754 6 9 "GO:0000054;GO:0033750;GO:0071428;GO:0071426;GO:0006405;GO:0006611;GO:0031503;GO:0050658;GO:0051168;GO:0050657;GO:0051236;GO:0006913;GO:0015931;GO:0051169" "nucleic acid transport" 0.61259815902905
-63 0.448605871326502 2 5 "GO:0000055" "ribosomal large subunit export from nucleus" 0.622691731841264
163 0.0332037687660016 5 6 "GO:0000070;GO:0000819;GO:0098813;GO:0007059" "mitotic sister chromatid segregation" 0.154397524761907
137 0.0530601422780091 2 7 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 0.176235472566245
88 0.0611867142564496 3 16 "GO:0000122;GO:0006357;GO:0045892;GO:0006355;GO:1903506;GO:2000112;GO:2001141;GO:0010556;GO:0031326;GO:0009889;GO:1903507;GO:2000113;GO:1902679;GO:0010558;GO:0031327;GO:0051253;GO:0009890;GO:0045934" "regulation of cellular macromolecule biosynthetic process" 0.196219462960338
14 0.868912000671317 2 5 "GO:0000154" "rRNA modification" 0.897875734027028
-86 0.0877314926440868 2 14 "GO:0000165;GO:0035556;GO:0007165" "signal transduction" 0.246357411593488
14 0.749023445769048 5 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.869224444893415
46 0.209075143892004 5 27 "GO:0000226;GO:0007010" "cytoskeleton organization" 0.432088630710142
-46 0.42199195938257 2 11 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.61259815902905
-92 0.272967067669231 2 5 "GO:0000245" "spliceosomal complex assembly" 0.512750057271062
107 0.0725133284170776 2 10 "GO:0000278;GO:0007049" "cell cycle" 0.224791318092941
16 0.757322377759402 3 13 "GO:0000281;GO:0061640" "mitotic cytokinesis" 0.869224444893415
-11 0.835159709072327 5 14 "GO:0000381;GO:0048024;GO:0043484;GO:0050684;GO:1903311" "regulation of mRNA processing" 0.872694976895802
-96 0.0235882988157544 4 20 "GO:0000387" "spliceosomal snRNP assembly" 0.121872877214731
-83 0.000579389845219586 9 66 "GO:0000398;GO:0000377;GO:0006397;GO:0000375;GO:0008380" "RNA splicing" 0.0172690009510567
-181 0.00226566735659073 7 10 "GO:0000413;GO:0018208;GO:0018193" "peptidyl-proline modification" 0.0351178440271563
-62 0.298783408765343 2 10 "GO:0000462;GO:0030490" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.51605186458301
-41 0.561073929844052 2 7 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.709249637778033
13 0.821170795779724 5 11 "GO:0000469;GO:0090501;GO:0090305" "nucleic acid phosphodiester bond hydrolysis" 0.872694976895802
-93 0.100284151416004 2 11 "GO:0000470" "maturation of LSU-rRNA" 0.26572831742032
63 0.346085096968826 2 8 "GO:0000479;GO:0000478;GO:0090502" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.53643190030168
155 0.00299555556785623 5 13 "GO:0000724;GO:0000725;GO:0006302;GO:0006281;GO:0006310" "DNA recombination" 0.0386421918410811
70 0.115153434697967 2 18 "GO:0000910" "cytokinesis" 0.272302065150312
206 0.0138026799495517 2 5 "GO:0000911" "cytokinesis by cell plate formation" 0.0916892310934506
-41 0.233109210977119 4 31 "GO:0000956;GO:0006402;GO:0006401;GO:0034655;GO:0044265;GO:0019439;GO:0044270;GO:0046700;GO:1901361;GO:0044248" "cellular catabolic process" 0.471286013497219
-22 0.754236865655313 2 7 "GO:0001525" "angiogenesis" 0.869224444893415
-60 0.472022837284799 4 5 "GO:0001731" "formation of translation preinitiation complex" 0.636204693731686
-128 0.0309571064782343 4 10 "GO:0001732" "formation of cytoplasmic translation initiation complex" 0.151526889603989
77 0.275672073801646 3 7 "GO:0001822" "kidney development" 0.512750057271062
53 0.258614600941253 3 16 "GO:0001932;GO:0031399;GO:0042325;GO:0032268;GO:0019220;GO:0051246;GO:0051174" "regulation of cellular protein metabolic process" 0.501065789323678
64 0.333528937678548 3 8 "GO:0001934;GO:0031401;GO:0042327;GO:0032270;GO:0045937;GO:0031325;GO:0051247;GO:0010562;GO:0009893;GO:0048522;GO:0010604;GO:0051173;GO:0048518" "positive regulation of cellular process" 0.534796400070775
193 0.0117617190838285 3 6 "GO:0002009;GO:0035239;GO:0048729" "morphogenesis of an epithelium" 0.0841415288304654
-14 0.656456476011584 3 37 "GO:0002181;GO:0006412;GO:0034645;GO:0043043;GO:0009059;GO:0006518;GO:0043604;GO:1901566;GO:0043603;GO:0044271" "cellular macromolecule biosynthetic process" 0.792863016481524
19 0.801016758880223 3 6 "GO:0002244" "hematopoietic progenitor cell differentiation" 0.872694976895802
-121 0.112257336238906 2 6 "GO:0003006;GO:0022412" "developmental process involved in reproduction" 0.272302065150312
93 0.0211297821046632 3 22 "GO:0003341;GO:0007018;GO:0006928" "movement of cell or subcellular component" 0.119210773841531
12 0.828159184088043 2 11 "GO:0005975" "carbohydrate metabolic process" 0.872694976895802
34 0.653406993315034 2 6 "GO:0005976" "polysaccharide metabolic process" 0.792863016481524
135 0.0419218095684961 2 8 "GO:0006082;GO:0019752;GO:0043436" "organic acid metabolic process" 0.167129891678416
159 0.000254892096093197 2 19 "GO:0006259;GO:0006974;GO:0033554;GO:0051716" "cellular response to DNA damage stimulus" 0.0118524824683337
-63 0.041353539040259 8 39 "GO:0006364;GO:0016072;GO:0034470;GO:0034660" "ncRNA processing" 0.167129891678416
-28 0.287890146133737 2 54 "GO:0006464;GO:0036211;GO:0043412" "macromolecule modification" 0.51605186458301
39 0.117119167806586 2 61 "GO:0006996" "organelle organization" 0.272302065150312
-12 0.827311533243884 3 12 "GO:0007005" "mitochondrion organization" 0.872694976895802
75 0.00882346061267774 2 46 "GO:0007017" "microtubule-based process" 0.0683818197482525
-61 0.305191962925436 2 10 "GO:0007033;GO:0000045;GO:0070925;GO:1905037" "vacuole organization" 0.51605186458301
-30 0.675135926166317 6 7 "GO:0008033;GO:0006399" "tRNA metabolic process" 0.804969758121378
-37 0.483960796712003 5 13 "GO:0008104;GO:0033036;GO:0046907;GO:0006886;GO:0015031;GO:0015833;GO:0045184;GO:0042886" "amide transport" 0.642976487060232
-3 0.915920801200961 2 40 "GO:0009057;GO:1901575;GO:0009056" "catabolic process" 0.936050928699883
-47 0.363374981085506 2 13 "GO:0009451" "RNA modification" 0.545062471628259
99 0.0806177380297182 2 11 "GO:0009653" "anatomical structure morphogenesis" 0.236012744331523
15 0.564349174145962 2 54 "GO:0010468" "regulation of gene expression" 0.709249637778033
46 0.107101234951018 2 46 "GO:0010605;GO:0009892;GO:0048519;GO:0010629" "negative regulation of biological process" 0.26920040136337
137 0.102862574485285 3 5 "GO:0019637;GO:0006793" "organophosphate metabolic process" 0.26572831742032
80 0.00547899986239882 2 45 "GO:0022402" "cell cycle process" 0.0471562776146598
-167 0.0461805823029757 4 5 "GO:0022411" "cellular component disassembly" 0.167129891678416
-78 0.241854401067408 1 8 "GO:0022414" "reproductive process" 0.478562963814233
4 0.950221782877708 2 10 "GO:0030154" "cell differentiation" 0.950221782877708
42 0.125966259313205 2 50 "GO:0031323;GO:0051171;GO:0080090" "regulation of cellular metabolic process" 0.285728344295806
115 0.00448649620323993 2 22 "GO:0031324;GO:0048523;GO:0051172" "negative regulation of cellular process" 0.0463604607668126
29 0.431307118989383 2 26 "GO:0032446;GO:0070647;GO:0000209;GO:0016567" "protein modification by small protein conjugation or removal" 0.61259815902905
36 0.583069563422201 1 8 "GO:0032501" "multicellular organismal process" 0.723006258643529
