"Transcript_ID"	"id132_TPM"	"id334_TPM"	"id485_TPM"
"TRINITY_DN21519_c0_g1_i1"	0.84993	0.179883	0
"TRINITY_DN21515_c0_g2_i1"	0.378076	0.407192	2.12007
"TRINITY_DN21515_c0_g1_i1"	0	0.380556	0.118752
"TRINITY_DN21442_c1_g1_i1"	0	0	0
"TRINITY_DN21442_c0_g1_i1"	0	0	0
"TRINITY_DN21452_c0_g1_i1"	0	0	0
"TRINITY_DN21452_c0_g1_i10"	0	0.223603	0
"TRINITY_DN21452_c0_g1_i11"	0	0	0
"TRINITY_DN21452_c0_g1_i2"	0	0	0
"TRINITY_DN21452_c0_g1_i3"	0.128187	0	0
"TRINITY_DN21452_c0_g1_i4"	0	0.172449	0
"TRINITY_DN21452_c0_g1_i5"	0	0	0
"TRINITY_DN21452_c0_g1_i7"	1.55013	0	0
"TRINITY_DN21452_c0_g1_i8"	0	0	0
"TRINITY_DN21452_c0_g1_i9"	0.158203	0.303353	0
"TRINITY_DN21452_c0_g2_i1"	0	0	0
"TRINITY_DN21452_c1_g1_i1"	0	0	0
"TRINITY_DN21478_c0_g1_i1"	2.40448	0.195774	1.84111
"TRINITY_DN21478_c0_g1_i2"	0.163858	0.118437	0
"TRINITY_DN21520_c0_g1_i1"	0	0	0
"TRINITY_DN21482_c0_g1_i1"	0	0	0
"TRINITY_DN21438_c0_g1_i1"	0.136106	0	0.293417
"TRINITY_DN21438_c1_g1_i1"	0	0	0
"TRINITY_DN21536_c1_g1_i1"	0	0	0
"TRINITY_DN21536_c0_g2_i1"	0	0	0
"TRINITY_DN21536_c0_g1_i1"	0	0.810312	0
"TRINITY_DN21536_c0_g1_i3"	3.34761	1.75457	2.39851
"TRINITY_DN21536_c0_g1_i4"	0	0	0
"TRINITY_DN21473_c0_g1_i1"	0.162674	0.172449	0.705911
"TRINITY_DN21528_c0_g1_i1"	0	0	0
"TRINITY_DN21528_c0_g1_i2"	0	0	0
"TRINITY_DN21463_c0_g1_i1"	0	0	0
"TRINITY_DN21483_c0_g1_i1"	0	0	0
"TRINITY_DN21483_c0_g1_i2"	0	0	0
"TRINITY_DN21454_c1_g1_i1"	1.80096	0.799176	0.735181
"TRINITY_DN21481_c3_g1_i1"	0	0	0.205144
"TRINITY_DN21513_c1_g1_i1"	0	0.419765	0
"TRINITY_DN21513_c0_g1_i1"	0	0	0
"TRINITY_DN21513_c0_g2_i1"	0	0	0
"TRINITY_DN21513_c0_g2_i10"	0	0	0
"TRINITY_DN21513_c0_g2_i3"	0	0	0
"TRINITY_DN21513_c0_g2_i6"	0	0	0
"TRINITY_DN21513_c0_g2_i8"	0	0	0
"TRINITY_DN21505_c1_g1_i1"	62.1705	83.5668	39.4628
"TRINITY_DN21509_c0_g1_i1"	0	0	0
"TRINITY_DN21443_c0_g1_i1"	0.563791	0.896488	9.88089
"TRINITY_DN21487_c0_g1_i1"	0.568309	0.301135	0
"TRINITY_DN21499_c0_g1_i1"	8.76125	4.80369	8.90382
