"Transcript_ID"	"id151_TPM"	"id254_TPM"	"id445_TPM"
"TRINITY_DN21519_c0_g1_i1"	0	0	0.343147
"TRINITY_DN21515_c0_g2_i1"	0.323312	0	0.381138
"TRINITY_DN21515_c0_g1_i1"	0	0	0.228519
"TRINITY_DN21442_c1_g1_i1"	0	0	0
"TRINITY_DN21442_c0_g1_i1"	0	0	0
"TRINITY_DN21452_c0_g1_i1"	0	0	0
"TRINITY_DN21452_c0_g1_i10"	0.0874864	0	0.359769
"TRINITY_DN21452_c0_g1_i11"	0	0	0
"TRINITY_DN21452_c0_g1_i2"	0	0	0
"TRINITY_DN21452_c0_g1_i3"	0	0	0
"TRINITY_DN21452_c0_g1_i4"	0.140091	0.795309	0
"TRINITY_DN21452_c0_g1_i5"	0	0	0
"TRINITY_DN21452_c0_g1_i7"	0	0.441978	0.0405356
"TRINITY_DN21452_c0_g1_i8"	0	0	0
"TRINITY_DN21452_c0_g1_i9"	0	0	1.44605
"TRINITY_DN21452_c0_g2_i1"	0	0	0
"TRINITY_DN21452_c1_g1_i1"	0	0	0
"TRINITY_DN21478_c0_g1_i1"	1.9185	9.81466	1.42862
"TRINITY_DN21478_c0_g1_i2"	0	0.17161	0.680812
"TRINITY_DN21520_c0_g1_i1"	0	0	0
"TRINITY_DN21482_c0_g1_i1"	0	0	0
"TRINITY_DN21438_c0_g1_i1"	0.579776	0.218344	0.136146
"TRINITY_DN21438_c1_g1_i1"	0.226998	0	0
"TRINITY_DN21536_c1_g1_i1"	0	0	5.47583
"TRINITY_DN21536_c0_g2_i1"	0.117347	0	0
"TRINITY_DN21536_c0_g1_i1"	0	0.418238	0
"TRINITY_DN21536_c0_g1_i3"	6.8438	5.39858	0.971179
"TRINITY_DN21536_c0_g1_i4"	0.456657	0	0.424789
"TRINITY_DN21473_c0_g1_i1"	0	0	0
"TRINITY_DN21528_c0_g1_i1"	0	0	0
"TRINITY_DN21528_c0_g1_i2"	0	0	0
"TRINITY_DN21463_c0_g1_i1"	0	0	0
"TRINITY_DN21483_c0_g1_i1"	0	0	0
"TRINITY_DN21483_c0_g1_i2"	0	3.02969	0.267826
"TRINITY_DN21454_c1_g1_i1"	1.37737	2.78945	0.381583
"TRINITY_DN21481_c3_g1_i1"	0.162473	0	0
"TRINITY_DN21513_c1_g1_i1"	0	0	0.383685
"TRINITY_DN21513_c0_g1_i1"	0	0.506276	0
"TRINITY_DN21513_c0_g2_i1"	0	0	0
"TRINITY_DN21513_c0_g2_i10"	0	0	0
"TRINITY_DN21513_c0_g2_i3"	0	0	0
"TRINITY_DN21513_c0_g2_i6"	0	0	0
"TRINITY_DN21513_c0_g2_i8"	0.417338	0	0
"TRINITY_DN21505_c1_g1_i1"	41.7404	67.9109	19.7516
"TRINITY_DN21509_c0_g1_i1"	0.135995	0	0
"TRINITY_DN21443_c0_g1_i1"	0	0	0
"TRINITY_DN21487_c0_g1_i1"	0	0	0.860962
"TRINITY_DN21499_c0_g1_i1"	11.0995	2.61014	18.8591
"TRINITY_DN21437_c1_g1_i1"	0	0	0
"TRINITY_DN21437_c2_g1_i1"	0	0.576717	0.258705
"TRINITY_DN21444_c0_g1_i1"	0	0	0
"TRINITY_DN21444_c0_g2_i1"	4.74502	33.6686	9.83293
"TRINITY_DN21436_c0_g1_i1"	0.0627573	0	0.0380773
"TRINITY_DN21436_c0_g1_i2"	0	0	0
"TRINITY_DN21469_c0_g1_i1"	0	0	0
"TRINITY_DN21507_c0_g1_i1"	0	0.351896	0
"TRINITY_DN21459_c0_g1_i1"	0	0	0.216316
"TRINITY_DN21465_c0_g1_i1"	0	0	0
"TRINITY_DN21510_c1_g1_i1"	0.448041	0	0.259612
"TRINITY_DN21525_c0_g1_i1"	0	0	0
"TRINITY_DN21525_c0_g1_i2"	0	0	0
"TRINITY_DN21479_c0_g1_i1"	0.380985	0	0
"TRINITY_DN21535_c0_g1_i1"	0	0	0
"TRINITY_DN21462_c0_g1_i1"	0	0	0.093616
