"Transcript_ID"	"id113_TPM"	"id222_TPM"	"id425_TPM"
"TRINITY_DN21519_c0_g1_i1"	0.185655	0	0
"TRINITY_DN21515_c0_g2_i1"	0	0	0
"TRINITY_DN21515_c0_g1_i1"	0	0.096642	0
"TRINITY_DN21442_c1_g1_i1"	0	0	0
"TRINITY_DN21442_c0_g1_i1"	0	0.303009	0.134688
"TRINITY_DN21452_c0_g1_i1"	0	0	0
"TRINITY_DN21452_c0_g1_i10"	0.269564	0.176519	0
"TRINITY_DN21452_c0_g1_i11"	0	0	0
"TRINITY_DN21452_c0_g1_i2"	0	0.206437	0
"TRINITY_DN21452_c0_g1_i3"	0	0	0
"TRINITY_DN21452_c0_g1_i4"	0	0	0
"TRINITY_DN21452_c0_g1_i5"	0	0	0
"TRINITY_DN21452_c0_g1_i7"	0.515388	0.797938	0.174303
"TRINITY_DN21452_c0_g1_i8"	0	0	0
"TRINITY_DN21452_c0_g1_i9"	0.311176	0.349508	0
"TRINITY_DN21452_c0_g2_i1"	0	0	0
"TRINITY_DN21452_c1_g1_i1"	0	0	0
"TRINITY_DN21478_c0_g1_i1"	3.61492	74.6401	65.8448
"TRINITY_DN21478_c0_g1_i2"	0.2373	0.310272	0
"TRINITY_DN21520_c0_g1_i1"	0	0	0.182759
"TRINITY_DN21482_c0_g1_i1"	0	1.73257	1.49055
"TRINITY_DN21438_c0_g1_i1"	0	0	0
"TRINITY_DN21438_c1_g1_i1"	0	0	0
"TRINITY_DN21536_c1_g1_i1"	0	0	0
"TRINITY_DN21536_c0_g2_i1"	0	0.351342	0
"TRINITY_DN21536_c0_g1_i1"	0	0.190261	0
"TRINITY_DN21536_c0_g1_i3"	3.97277	1.71382	0
"TRINITY_DN21536_c0_g1_i4"	0	0	0
"TRINITY_DN21473_c0_g1_i1"	0	0	0
"TRINITY_DN21528_c0_g1_i1"	0	0	0
"TRINITY_DN21528_c0_g1_i2"	0	0.0632705	0
"TRINITY_DN21463_c0_g1_i1"	0	0	0
"TRINITY_DN21483_c0_g1_i1"	0	0.280619	0
"TRINITY_DN21483_c0_g1_i2"	0.288183	0.726689	0
"TRINITY_DN21454_c1_g1_i1"	0.829204	0.151624	0
"TRINITY_DN21481_c3_g1_i1"	0.205533	0.605228	0.267306
"TRINITY_DN21513_c1_g1_i1"	0.208062	0	0
"TRINITY_DN21513_c0_g1_i1"	0	0.438953	0
"TRINITY_DN21513_c0_g2_i1"	0	0	0
"TRINITY_DN21513_c0_g2_i10"	0	0	0.314804
"TRINITY_DN21513_c0_g2_i3"	0	0	0.355514
"TRINITY_DN21513_c0_g2_i6"	0	0.416051	0
"TRINITY_DN21513_c0_g2_i8"	0	0.905617	0
"TRINITY_DN21505_c1_g1_i1"	14.0546	6.2193	0
"TRINITY_DN21509_c0_g1_i1"	0	0.136631	0
"TRINITY_DN21443_c0_g1_i1"	0	0	0
"TRINITY_DN21487_c0_g1_i1"	0	0	0
"TRINITY_DN21499_c0_g1_i1"	22.8963	3.00394	0.377739
"TRINITY_DN21437_c1_g1_i1"	0	0.844578	0.371491
"TRINITY_DN21437_c2_g1_i1"	0	0.196316	0
"TRINITY_DN21444_c0_g1_i1"	0	0	0
"TRINITY_DN21444_c0_g2_i1"	4.676	413.833	136.287
"TRINITY_DN21436_c0_g1_i1"	0	0	0
"TRINITY_DN21436_c0_g1_i2"	0.0689454	0	0.0566168
"TRINITY_DN21469_c0_g1_i1"	0	0	0
"TRINITY_DN21507_c0_g1_i1"	0	0.167039	0
"TRINITY_DN21459_c0_g1_i1"	0.700914	0	0
"TRINITY_DN21465_c0_g1_i1"	0	0.212744	0.561703
"TRINITY_DN21510_c1_g1_i1"	0	0	0
"TRINITY_DN21525_c0_g1_i1"	0.240947	0.510213	0
"TRINITY_DN21525_c0_g1_i2"	0	0	0
"TRINITY_DN21479_c0_g1_i1"	0.478906	0	0.149628
"TRINITY_DN21535_c0_g1_i1"	0	0	0
"TRINITY_DN21462_c0_g1_i1"	0	0	0
"TRINITY_DN21462_c0_g1_i2"	0	0	0
"TRINITY_DN21530_c0_g1_i1"	0	0	0
"TRINITY_DN21488_c0_g1_i1"	0	0	0.419143
"TRINITY_DN21518_c0_g2_i1"	0.167659	0.214541	0.267352
"TRINITY_DN21518_c0_g1_i1"	0.082258	0.281317	0
"TRINITY_DN21447_c0_g1_i1"	0.390528	0.427106	0
"TRINITY_DN21496_c0_g1_i1"	0.539887	0	0.16335
"TRINITY_DN21450_c0_g1_i1"	0.0251429	1.50574	0
"TRINITY_DN21531_c0_g1_i1"	0.220426	0	0
"TRINITY_DN21534_c0_g1_i1"	0	0	0
"TRINITY_DN21446_c0_g1_i2"	0	0	0
"TRINITY_DN21446_c0_g1_i4"	0.0378792	0.0345338	0
"TRINITY_DN21517_c0_g2_i1"	13.1745	2.83857	0
"TRINITY_DN21517_c0_g1_i1"	5.60126	1.5211	0.158763
"TRINITY_DN21517_c2_g1_i1"	0	0.179556	0
"TRINITY_DN21440_c0_g2_i1"	0	0.225546	0
"TRINITY_DN21440_c0_g1_i1"	0	0	0
"TRINITY_DN21490_c0_g1_i1"	0	0.838959	0.593242
