"Transcript_ID"	"id173_TPM"	"id272_TPM"
"TRINITY_DN21519_c0_g1_i1"	0.495026	0.328054
"TRINITY_DN21515_c0_g2_i1"	0	0
"TRINITY_DN21515_c0_g1_i1"	1.19723	0
"TRINITY_DN21442_c1_g1_i1"	0	0
"TRINITY_DN21442_c0_g1_i1"	0	0.717604
"TRINITY_DN21452_c0_g1_i1"	0	1.43669
"TRINITY_DN21452_c0_g1_i10"	0	1.07113
"TRINITY_DN21452_c0_g1_i11"	0	0
"TRINITY_DN21452_c0_g1_i2"	0	0
"TRINITY_DN21452_c0_g1_i3"	0	0
"TRINITY_DN21452_c0_g1_i4"	0	0.196245
"TRINITY_DN21452_c0_g1_i5"	0	0
"TRINITY_DN21452_c0_g1_i7"	0	1.9316
"TRINITY_DN21452_c0_g1_i8"	0	1.09693
"TRINITY_DN21452_c0_g1_i9"	0	1.83413
"TRINITY_DN21452_c0_g2_i1"	0	0
"TRINITY_DN21452_c1_g1_i1"	0	0
"TRINITY_DN21478_c0_g1_i1"	2.77954	61.9525
"TRINITY_DN21478_c0_g1_i2"	0	0.0608106
"TRINITY_DN21520_c0_g1_i1"	0	0
"TRINITY_DN21482_c0_g1_i1"	0	3.18704
"TRINITY_DN21438_c0_g1_i1"	0.199387	0
"TRINITY_DN21438_c1_g1_i1"	0	0
"TRINITY_DN21536_c1_g1_i1"	4.85394	2.22423
"TRINITY_DN21536_c0_g2_i1"	0	2.74105
"TRINITY_DN21536_c0_g1_i1"	0	1.16344
"TRINITY_DN21536_c0_g1_i3"	0.122932	0.682386
"TRINITY_DN21536_c0_g1_i4"	0	0.825176
"TRINITY_DN21473_c0_g1_i1"	0	0
"TRINITY_DN21528_c0_g1_i1"	0	0
"TRINITY_DN21528_c0_g1_i2"	0	0
"TRINITY_DN21463_c0_g1_i1"	0	0
"TRINITY_DN21483_c0_g1_i1"	0	0
"TRINITY_DN21483_c0_g1_i2"	0	12.234
"TRINITY_DN21454_c1_g1_i1"	0.826912	0
"TRINITY_DN21481_c3_g1_i1"	0	4.79976
"TRINITY_DN21513_c1_g1_i1"	0	0
"TRINITY_DN21513_c0_g1_i1"	0	0.269061
"TRINITY_DN21513_c0_g2_i1"	0	0.650279
"TRINITY_DN21513_c0_g2_i10"	0	0
"TRINITY_DN21513_c0_g2_i3"	0	0
"TRINITY_DN21513_c0_g2_i6"	0	5.18345
"TRINITY_DN21513_c0_g2_i8"	0	0.43352
"TRINITY_DN21505_c1_g1_i1"	79.8584	410.683
"TRINITY_DN21509_c0_g1_i1"	0	0
"TRINITY_DN21443_c0_g1_i1"	0	0.496144
"TRINITY_DN21487_c0_g1_i1"	0	0
"TRINITY_DN21499_c0_g1_i1"	0	1.31088
"TRINITY_DN21437_c1_g1_i1"	0	0.772044
"TRINITY_DN21437_c2_g1_i1"	0	0.47897
"TRINITY_DN21444_c0_g1_i1"	0	0
"TRINITY_DN21444_c0_g2_i1"	1.7602	127.791
"TRINITY_DN21436_c0_g1_i1"	0.0551142	0
"TRINITY_DN21436_c0_g1_i2"	0	0
"TRINITY_DN21469_c0_g1_i1"	0	0
"TRINITY_DN21507_c0_g1_i1"	0	0
"TRINITY_DN21459_c0_g1_i1"	0	0.197771
"TRINITY_DN21465_c0_g1_i1"	0	3.36985
"TRINITY_DN21510_c1_g1_i1"	0	0
"TRINITY_DN21525_c0_g1_i1"	0	0
"TRINITY_DN21525_c0_g1_i2"	0	0
"TRINITY_DN21479_c0_g1_i1"	2.89157	2.1906
"TRINITY_DN21535_c0_g1_i1"	0.436015	0
"TRINITY_DN21462_c0_g1_i1"	0.134907	0
"TRINITY_DN21462_c0_g1_i2"	0	0
"TRINITY_DN21530_c0_g1_i1"	0	0
"TRINITY_DN21488_c0_g1_i1"	0.875656	2.90589
"TRINITY_DN21518_c0_g2_i1"	0.223122	0.0840922
"TRINITY_DN21518_c0_g1_i1"	0.32845	0.330832
"TRINITY_DN21447_c0_g1_i1"	0	0.546171
"TRINITY_DN21496_c0_g1_i1"	0	0.700596
"TRINITY_DN21450_c0_g1_i1"	0	0
"TRINITY_DN21531_c0_g1_i1"	0	0
"TRINITY_DN21534_c0_g1_i1"	0	0.225189
"TRINITY_DN21446_c0_g1_i2"	0	0
"TRINITY_DN21446_c0_g1_i4"	0	0.0407251
"TRINITY_DN21517_c0_g2_i1"	14.4923	2.7783
"TRINITY_DN21517_c0_g1_i1"	11.2014	1.54872
"TRINITY_DN21517_c2_g1_i1"	0	0
"TRINITY_DN21440_c0_g2_i1"	0	0.575084
"TRINITY_DN21440_c0_g1_i1"	0	0.691959
"TRINITY_DN21490_c0_g1_i1"	0	27.5554
"TRINITY_DN21494_c1_g1_i1"	0	9.29228
"TRINITY_DN21494_c1_g1_i2"	9.39463	28.0025
"TRINITY_DN21494_c1_g1_i3"	0	1.78895
"TRINITY_DN21494_c1_g1_i4"	0	5.3576
"TRINITY_DN21494_c2_g1_i1"	17.7505	0
"TRINITY_DN21500_c0_g2_i1"	0	1.39124
"TRINITY_DN21500_c0_g1_i1"	0	0
"TRINITY_DN21526_c0_g1_i1"	0	1.12929
"TRINITY_DN21526_c0_g2_i1"	0	0
"TRINITY_DN21506_c0_g1_i1"	0	0
"TRINITY_DN21470_c0_g1_i1"	22.8651	19.0803
"TRINITY_DN21470_c1_g1_i1"	8.10488	4.36725
"TRINITY_DN21470_c6_g1_i1"	2.29239	0.667051
"TRINITY_DN21470_c5_g1_i1"	2.52523	0.397833
"TRINITY_DN21470_c7_g1_i1"	1.2676	0.251071
"TRINITY_DN21470_c4_g1_i1"	4.17006	0.91792
"TRINITY_DN21458_c0_g1_i1"	0	0
"TRINITY_DN21458_c1_g1_i1"	0	0
"TRINITY_DN21472_c2_g1_i1"	0	0
"TRINITY_DN21472_c0_g1_i1"	0	0
"TRINITY_DN21456_c2_g1_i1"	0.2843	0
"TRINITY_DN21456_c0_g1_i1"	0	0
"TRINITY_DN21497_c1_g1_i1"	0	0.239826
"TRINITY_DN21504_c1_g1_i1"	8.94828	10.8488
"TRINITY_DN21475_c1_g1_i1"	0	0
"TRINITY_DN5656_c0_g1_i1"	18.1224	0
"TRINITY_DN5656_c0_g1_i2"	3.00233	0.607354
"TRINITY_DN5656_c0_g1_i3"	143.76	774.65
"TRINITY_DN5625_c0_g1_i1"	3.54401	1.02302
"TRINITY_DN5625_c0_g1_i2"	0	0
"TRINITY_DN5625_c0_g1_i3"	4.72294	0.182727
"TRINITY_DN5625_c0_g1_i4"	0	0.38655
"TRINITY_DN5625_c0_g2_i1"	0	0
"TRINITY_DN5625_c0_g2_i2"	0	2.46478
"TRINITY_DN5625_c0_g2_i3"	0	0.198172
"TRINITY_DN5625_c0_g2_i4"	0	0
"TRINITY_DN5625_c2_g1_i1"	0	0
"TRINITY_DN5655_c0_g1_i1"	0	0.144329
"TRINITY_DN5655_c0_g1_i2"	0	0
"TRINITY_DN5680_c0_g1_i1"	5.49708	2.01436
"TRINITY_DN5627_c0_g1_i1"	0	9.64906
"TRINITY_DN5636_c1_g1_i1"	0	1.33805
"TRINITY_DN5636_c0_g1_i1"	0	0.361792
"TRINITY_DN5636_c0_g1_i11"	0	1.93897
"TRINITY_DN5636_c0_g1_i2"	0	1.80154
"TRINITY_DN5636_c0_g1_i3"	0	0.656729
"TRINITY_DN5636_c0_g1_i4"	0	0
"TRINITY_DN5636_c0_g1_i5"	0	0.516899
"TRINITY_DN5636_c0_g1_i6"	0	0
"TRINITY_DN5636_c0_g1_i9"	0	0.70274
"TRINITY_DN5653_c0_g3_i1"	0	8.16601
"TRINITY_DN5653_c0_g1_i1"	2.41481	1.88622
"TRINITY_DN5653_c1_g1_i1"	0	5.2417
"TRINITY_DN5653_c0_g4_i1"	2.65269	31.0203
"TRINITY_DN5653_c0_g2_i1"	4.82981e-07	10.3067
"TRINITY_DN5653_c0_g2_i2"	0	5.72835
"TRINITY_DN5653_c0_g2_i3"	5.09546	33.3798
"TRINITY_DN5633_c0_g3_i1"	0	0
"TRINITY_DN5633_c0_g3_i2"	0	0.638133
"TRINITY_DN5633_c0_g3_i3"	1.43242	0
"TRINITY_DN5633_c0_g1_i1"	10.9411	43.0091
"TRINITY_DN5633_c0_g1_i2"	40.1051	32.3415
"TRINITY_DN5633_c0_g2_i1"	0	1.31864
"TRINITY_DN5633_c0_g2_i2"	0	2.95539
"TRINITY_DN5633_c0_g2_i3"	0	0.614942
"TRINITY_DN5693_c0_g1_i2"	0	1.76598
"TRINITY_DN5693_c0_g1_i3"	0	0
"TRINITY_DN5693_c0_g1_i4"	0	2.76803
"TRINITY_DN5603_c0_g1_i1"	0	0
"TRINITY_DN5610_c0_g1_i1"	0	0.127489
"TRINITY_DN5610_c0_g1_i2"	0	0
"TRINITY_DN5610_c0_g1_i5"	0	0
"TRINITY_DN5610_c0_g1_i6"	0	0
"TRINITY_DN5610_c0_g1_i7"	0	0
"TRINITY_DN5661_c0_g1_i1"	0	16.6411
"TRINITY_DN5661_c0_g1_i3"	0	0
"TRINITY_DN5661_c0_g1_i4"	0	28.4992
"TRINITY_DN5661_c0_g1_i5"	0	12.3868
"TRINITY_DN5661_c0_g1_i6"	0	5.77355
"TRINITY_DN5661_c0_g1_i7"	0	0
"TRINITY_DN5661_c0_g1_i8"	0	0
"TRINITY_DN5661_c0_g2_i1"	0	1.80617
"TRINITY_DN5661_c0_g4_i1"	0	0
"TRINITY_DN5661_c0_g4_i2"	0	2.57908
"TRINITY_DN5661_c0_g4_i3"	0	46.8761
"TRINITY_DN5661_c0_g4_i4"	0	0.31177
"TRINITY_DN5661_c0_g4_i5"	0	6.29805e-07
"TRINITY_DN5607_c0_g1_i1"	0	0
"TRINITY_DN5630_c0_g1_i1"	0	0
"TRINITY_DN5630_c0_g1_i2"	0	0
"TRINITY_DN5630_c0_g1_i3"	0	0
"TRINITY_DN5630_c0_g1_i4"	0	0
"TRINITY_DN5664_c0_g1_i1"	8.36673	6.17571
"TRINITY_DN5668_c0_g1_i1"	0	0
"TRINITY_DN5668_c0_g1_i2"	0	0
"TRINITY_DN5613_c0_g2_i1"	0	0.671067
"TRINITY_DN5613_c0_g1_i1"	0	0
"TRINITY_DN5613_c0_g1_i2"	0	0.832728
"TRINITY_DN5613_c0_g1_i3"	0	0.870218
