"Transcript_ID"	"id127_TPM"	"id280_TPM"
"TRINITY_DN21519_c0_g1_i1"	0	0.488742
"TRINITY_DN21515_c0_g2_i1"	0.442757	0
"TRINITY_DN21515_c0_g1_i1"	0.131074	0
"TRINITY_DN21442_c1_g1_i1"	0	0.198929
"TRINITY_DN21442_c0_g1_i1"	0	0.398831
"TRINITY_DN21452_c0_g1_i1"	0	1.54017
"TRINITY_DN21452_c0_g1_i10"	0	0.0816566
"TRINITY_DN21452_c0_g1_i11"	0	0
"TRINITY_DN21452_c0_g1_i2"	0	0.176506
"TRINITY_DN21452_c0_g1_i3"	0.230615	0
"TRINITY_DN21452_c0_g1_i4"	0.186188	0
"TRINITY_DN21452_c0_g1_i5"	0	0
"TRINITY_DN21452_c0_g1_i7"	0.309547	0
"TRINITY_DN21452_c0_g1_i8"	0	0.508502
"TRINITY_DN21452_c0_g1_i9"	0.560177	1.28837
"TRINITY_DN21452_c0_g2_i1"	0	0
"TRINITY_DN21452_c1_g1_i1"	0	0.550845
"TRINITY_DN21478_c0_g1_i1"	3.00024	114.554
"TRINITY_DN21478_c0_g1_i2"	0.201005	0.183729
"TRINITY_DN21520_c0_g1_i1"	0	0.36723
"TRINITY_DN21482_c0_g1_i1"	0	2.00632
"TRINITY_DN21438_c0_g1_i1"	0.155267	0.203263
"TRINITY_DN21438_c1_g1_i1"	0	0
"TRINITY_DN21536_c1_g1_i1"	1.48617	0.210041
"TRINITY_DN21536_c0_g2_i1"	0	1.28649
"TRINITY_DN21536_c0_g1_i1"	1.75518	2.18844
"TRINITY_DN21536_c0_g1_i3"	2.53479	1.76394
"TRINITY_DN21536_c0_g1_i4"	0	1.33668
"TRINITY_DN21473_c0_g1_i1"	0	0
"TRINITY_DN21528_c0_g1_i1"	0	0.554067
"TRINITY_DN21528_c0_g1_i2"	0	0
"TRINITY_DN21463_c0_g1_i1"	0	0
"TRINITY_DN21483_c0_g1_i1"	0	0
"TRINITY_DN21483_c0_g1_i2"	0.302921	2.91983
"TRINITY_DN21454_c1_g1_i1"	0.651744	0
"TRINITY_DN21481_c3_g1_i1"	0.430531	2.32274
"TRINITY_DN21513_c1_g1_i1"	0.146628	0.107172
"TRINITY_DN21513_c0_g1_i1"	0	0.7773
"TRINITY_DN21513_c0_g2_i1"	0	0
"TRINITY_DN21513_c0_g2_i10"	0	0.204127
"TRINITY_DN21513_c0_g2_i3"	0	0
"TRINITY_DN21513_c0_g2_i6"	0	1.10394
"TRINITY_DN21513_c0_g2_i8"	0	0.477352
"TRINITY_DN21505_c1_g1_i1"	59.208	4.43374
"TRINITY_DN21509_c0_g1_i1"	0	0.922806
"TRINITY_DN21443_c0_g1_i1"	0	0
"TRINITY_DN21487_c0_g1_i1"	0	0
"TRINITY_DN21499_c0_g1_i1"	21.037	1.70876
"TRINITY_DN21437_c1_g1_i1"	0	1.6805
"TRINITY_DN21437_c2_g1_i1"	0.292529	0.235917
"TRINITY_DN21444_c0_g1_i1"	0	0
"TRINITY_DN21444_c0_g2_i1"	9.32803	1407.43
"TRINITY_DN21436_c0_g1_i1"	0.0438014	0.0668229
"TRINITY_DN21436_c0_g1_i2"	0	0
"TRINITY_DN21469_c0_g1_i1"	0	0.197742
"TRINITY_DN21507_c0_g1_i1"	0	0
"TRINITY_DN21459_c0_g1_i1"	0	0
"TRINITY_DN21465_c0_g1_i1"	0	3.19772
"TRINITY_DN21510_c1_g1_i1"	0.588905	0
"TRINITY_DN21525_c0_g1_i1"	0	0.149395
"TRINITY_DN21525_c0_g1_i2"	0	0
"TRINITY_DN21479_c0_g1_i1"	0.27342	0.626757
"TRINITY_DN21535_c0_g1_i1"	0	0
"TRINITY_DN21462_c0_g1_i1"	0	0
"TRINITY_DN21462_c0_g1_i2"	0.0868871	0
"TRINITY_DN21530_c0_g1_i1"	0	0
"TRINITY_DN21488_c0_g1_i1"	0	0.843357
"TRINITY_DN21518_c0_g2_i1"	0.0885257	0.063375
"TRINITY_DN21518_c0_g1_i1"	0.260661	0.436374
"TRINITY_DN21447_c0_g1_i1"	0	1.00063
"TRINITY_DN21496_c0_g1_i1"	0	0
"TRINITY_DN21450_c0_g1_i1"	0	0.207162
"TRINITY_DN21531_c0_g1_i1"	0	0
"TRINITY_DN21534_c0_g1_i1"	0	0
"TRINITY_DN21446_c0_g1_i2"	0	0
"TRINITY_DN21446_c0_g1_i4"	0.120522	0.0616265
"TRINITY_DN21517_c0_g2_i1"	10.5841	1.28531
"TRINITY_DN21517_c0_g1_i1"	8.63806	0.799147
"TRINITY_DN21517_c2_g1_i1"	0	0
"TRINITY_DN21440_c0_g2_i1"	0	0.408768
"TRINITY_DN21440_c0_g1_i1"	0	0
"TRINITY_DN21490_c0_g1_i1"	0	4.12664
"TRINITY_DN21494_c1_g1_i1"	3.44076	3.97225
"TRINITY_DN21494_c1_g1_i2"	4.22243	4.78446
"TRINITY_DN21494_c1_g1_i3"	4.83658	2.05526
"TRINITY_DN21494_c1_g1_i4"	0	1.2745
"TRINITY_DN21494_c2_g1_i1"	0	0
"TRINITY_DN21500_c0_g2_i1"	0	2.20074
"TRINITY_DN21500_c0_g1_i1"	0	0.526536
"TRINITY_DN21526_c0_g1_i1"	0	1.26225
"TRINITY_DN21526_c0_g2_i1"	0	0
"TRINITY_DN21506_c0_g1_i1"	0	0.432426
"TRINITY_DN21470_c0_g1_i1"	13.4961	2.79709
"TRINITY_DN21470_c1_g1_i1"	6.74666	1.28732
"TRINITY_DN21470_c6_g1_i1"	3.31253	0.0995743
"TRINITY_DN21470_c5_g1_i1"	0.492289	0.880572
"TRINITY_DN21470_c7_g1_i1"	0.655801	0.182591
"TRINITY_DN21470_c4_g1_i1"	1.85655	0
"TRINITY_DN21458_c0_g1_i1"	0.596655	0
"TRINITY_DN21458_c1_g1_i1"	0	0
"TRINITY_DN21472_c2_g1_i1"	0	0
"TRINITY_DN21472_c0_g1_i1"	0	0
"TRINITY_DN21456_c2_g1_i1"	0.57071	0
"TRINITY_DN21456_c0_g1_i1"	0.451906	0.135522
"TRINITY_DN21497_c1_g1_i1"	0	0
"TRINITY_DN21504_c1_g1_i1"	19.6232	4.81988
"TRINITY_DN21475_c1_g1_i1"	0	0
"TRINITY_DN5656_c0_g1_i1"	1.56378	0
"TRINITY_DN5656_c0_g1_i2"	0.0885017	0
"TRINITY_DN5656_c0_g1_i3"	208.264	1006.11
"TRINITY_DN5625_c0_g1_i1"	0.408226	0
"TRINITY_DN5625_c0_g1_i2"	0	0
"TRINITY_DN5625_c0_g1_i3"	0.520538	0
"TRINITY_DN5625_c0_g1_i4"	1.39496	0.849945
"TRINITY_DN5625_c0_g2_i1"	0	0
"TRINITY_DN5625_c0_g2_i2"	0.547669	0.688656
"TRINITY_DN5625_c0_g2_i3"	1.32742	0
"TRINITY_DN5625_c0_g2_i4"	0	0.130191
"TRINITY_DN5625_c2_g1_i1"	0	0
"TRINITY_DN5655_c0_g1_i1"	1.21499	0.291586
"TRINITY_DN5655_c0_g1_i2"	0.280634	0
"TRINITY_DN5680_c0_g1_i1"	10.194	2.35449
"TRINITY_DN5627_c0_g1_i1"	0	0.38966
"TRINITY_DN5636_c1_g1_i1"	0	1.77193
"TRINITY_DN5636_c0_g1_i1"	0	0.682235
"TRINITY_DN5636_c0_g1_i11"	0	2.86787
"TRINITY_DN5636_c0_g1_i2"	0	0
"TRINITY_DN5636_c0_g1_i3"	0	0.60656
"TRINITY_DN5636_c0_g1_i4"	0	0
"TRINITY_DN5636_c0_g1_i5"	0.0542253	0
"TRINITY_DN5636_c0_g1_i6"	0	0.371434
"TRINITY_DN5636_c0_g1_i9"	0	0.446588
"TRINITY_DN5653_c0_g3_i1"	0.898653	0.23941
"TRINITY_DN5653_c0_g1_i1"	7.67884	2.54702
"TRINITY_DN5653_c1_g1_i1"	1.64478	2.05719
"TRINITY_DN5653_c0_g4_i1"	7.67358	6.46196
"TRINITY_DN5653_c0_g2_i1"	0	1.07602
"TRINITY_DN5653_c0_g2_i2"	10.4929	2.14105
"TRINITY_DN5653_c0_g2_i3"	18.7938	6.90748
"TRINITY_DN5633_c0_g3_i1"	0	0.348035
"TRINITY_DN5633_c0_g3_i2"	0.2997	0.556354
"TRINITY_DN5633_c0_g3_i3"	0.494248	0.396795
"TRINITY_DN5633_c0_g1_i1"	30.2107	16.9002
"TRINITY_DN5633_c0_g1_i2"	15.8446	14.2982
"TRINITY_DN5633_c0_g2_i1"	0.593468	0
"TRINITY_DN5633_c0_g2_i2"	0.947435	0.177424
"TRINITY_DN5633_c0_g2_i3"	0	2.29603
"TRINITY_DN5693_c0_g1_i2"	0	0.278519
"TRINITY_DN5693_c0_g1_i3"	0	0
"TRINITY_DN5693_c0_g1_i4"	0	2.1664
"TRINITY_DN5603_c0_g1_i1"	2.90154	0.278424
"TRINITY_DN5610_c0_g1_i1"	0	0
"TRINITY_DN5610_c0_g1_i2"	0	0
"TRINITY_DN5610_c0_g1_i5"	0.10125	0.0190918
"TRINITY_DN5610_c0_g1_i6"	0.10125	0.0190918
"TRINITY_DN5610_c0_g1_i7"	0.298836	0
"TRINITY_DN5661_c0_g1_i1"	0	12.8775
"TRINITY_DN5661_c0_g1_i3"	0	1.4966
"TRINITY_DN5661_c0_g1_i4"	0.169534	25.7329
"TRINITY_DN5661_c0_g1_i5"	0	12.4218
"TRINITY_DN5661_c0_g1_i6"	0	7.10045
"TRINITY_DN5661_c0_g1_i7"	0	0
"TRINITY_DN5661_c0_g1_i8"	0	0
"TRINITY_DN5661_c0_g2_i1"	0	1.01159
"TRINITY_DN5661_c0_g4_i1"	0	0
"TRINITY_DN5661_c0_g4_i2"	0	3.27777
"TRINITY_DN5661_c0_g4_i3"	0	58.4495
"TRINITY_DN5661_c0_g4_i4"	0	1.12133
"TRINITY_DN5661_c0_g4_i5"	0	0
"TRINITY_DN5607_c0_g1_i1"	2.7564	1.52838
"TRINITY_DN5630_c0_g1_i1"	0	0
"TRINITY_DN5630_c0_g1_i2"	0.124873	0
"TRINITY_DN5630_c0_g1_i3"	0.47978	0.174536
"TRINITY_DN5630_c0_g1_i4"	0	0
"TRINITY_DN5664_c0_g1_i1"	7.45274	2.44316
"TRINITY_DN5668_c0_g1_i1"	0	0
"TRINITY_DN5668_c0_g1_i2"	0	0
"TRINITY_DN5613_c0_g2_i1"	0	0
"TRINITY_DN5613_c0_g1_i1"	0	0.654995
"TRINITY_DN5613_c0_g1_i2"	0	0
"TRINITY_DN5613_c0_g1_i3"	0	0
"TRINITY_DN5613_c0_g1_i4"	0	0.040731
"TRINITY_DN5613_c0_g1_i5"	0	0
"TRINITY_DN5644_c0_g1_i1"	8.02072	1.37186
"TRINITY_DN5614_c0_g1_i1"	33.4696	2.21018
"TRINITY_DN5651_c0_g1_i1"	1.36256	9.38491
"TRINITY_DN5651_c0_g1_i2"	0	0
"TRINITY_DN5651_c0_g1_i3"	0	0.263524
"TRINITY_DN5669_c0_g1_i1"	2.93551	0.513934
"TRINITY_DN5673_c0_g1_i1"	0	1.27974
"TRINITY_DN5673_c0_g1_i2"	0	1.93993
"TRINITY_DN5692_c0_g1_i1"	0.103919	0.0911289
"TRINITY_DN5692_c0_g1_i2"	12.1263	3.97815
"TRINITY_DN5612_c0_g1_i1"	3.66939	0.828332
"TRINITY_DN5620_c0_g1_i1"	0.998049	0
"TRINITY_DN5654_c0_g1_i1"	0	0.196792
"TRINITY_DN5654_c0_g1_i10"	0	0.440215
"TRINITY_DN5654_c0_g1_i12"	0	0.552307
"TRINITY_DN5654_c0_g1_i13"	0	0
"TRINITY_DN5654_c0_g1_i2"	2.11472	0.605446
"TRINITY_DN5654_c0_g1_i3"	0	0
"TRINITY_DN5654_c0_g1_i5"	1.67303	0.221647
"TRINITY_DN5654_c0_g1_i6"	0.554167	0
"TRINITY_DN5654_c0_g1_i7"	42.0119	7.52864
"TRINITY_DN5654_c0_g1_i8"	0	0.465116
"TRINITY_DN5654_c2_g1_i1"	0	0
"TRINITY_DN5654_c0_g2_i1"	3.60391	0.729398
"TRINITY_DN5665_c0_g1_i2"	2.24665	0.151125
"TRINITY_DN5665_c0_g1_i3"	0	0
"TRINITY_DN5665_c0_g1_i4"	0	0.269522
"TRINITY_DN5665_c0_g1_i5"	0	0
"TRINITY_DN5665_c0_g1_i6"	0	0
"TRINITY_DN5665_c0_g1_i7"	0	0
"TRINITY_DN5608_c0_g1_i1"	85.5319	18.3269
"TRINITY_DN5697_c1_g2_i1"	6.29015	1.6649
"TRINITY_DN5697_c1_g2_i2"	1.6144	0
