"Transcript_ID"	"id178_TPM"	"id359_TPM"	"id463_TPM"
"TRINITY_DN4725_c0_g1_i1"	0	0.0624163	3.14166
"TRINITY_DN4795_c0_g1_i1"	0	0	0
"TRINITY_DN4747_c0_g1_i1"	0	0	0
"TRINITY_DN4709_c0_g1_i1"	0	0	0
"TRINITY_DN4706_c0_g1_i1"	0	0	0
"TRINITY_DN4715_c0_g1_i1"	0	0	5.42734
"TRINITY_DN4722_c0_g1_i1"	0	0	0
"TRINITY_DN4775_c0_g1_i1"	0	0	0
"TRINITY_DN4791_c0_g1_i1"	0	0	0
"TRINITY_DN4746_c0_g1_i1"	0	0	0
"TRINITY_DN4703_c0_g1_i1"	0	0	0
"TRINITY_DN4760_c0_g1_i1"	0	0.28951	0
"TRINITY_DN4749_c0_g1_i1"	0	0	0
"TRINITY_DN4773_c0_g1_i1"	0	0.712924	0
"TRINITY_DN4718_c0_g1_i1"	0	0	0
"TRINITY_DN4751_c0_g1_i1"	0	0	12.2955
"TRINITY_DN4726_c0_g1_i1"	0	0	0
"TRINITY_DN4727_c0_g1_i1"	1.95949	0.549945	0
"TRINITY_DN4724_c0_g1_i1"	0	0	0
"TRINITY_DN4778_c1_g1_i1"	0	0	0
"TRINITY_DN4766_c0_g1_i1"	0	0	0
"TRINITY_DN4776_c0_g1_i1"	0	0	0
"TRINITY_DN4764_c0_g1_i1"	0	0.312779	0
"TRINITY_DN4762_c0_g1_i1"	0.267712	0	0
"TRINITY_DN4721_c0_g1_i1"	0	0	0
"TRINITY_DN4758_c0_g1_i1"	0	0	0
"TRINITY_DN4785_c0_g1_i1"	0	0	0
"TRINITY_DN4796_c0_g1_i1"	0	0.155122	0
"TRINITY_DN4781_c0_g1_i1"	0	0	0
"TRINITY_DN4788_c0_g1_i1"	0	0	0
"TRINITY_DN4759_c0_g1_i1"	0	0	0
"TRINITY_DN4743_c0_g1_i1"	0	0	0
"TRINITY_DN4789_c0_g1_i1"	0	0	0
"TRINITY_DN4707_c0_g1_i1"	0	0	0
"TRINITY_DN4748_c0_g1_i1"	0	0	0
"TRINITY_DN4761_c0_g1_i1"	0	0	0
"TRINITY_DN4794_c0_g1_i1"	0.14707	0.165077	0
"TRINITY_DN4799_c0_g1_i1"	0	0	0
"TRINITY_DN4772_c0_g1_i1"	0	0	0
"TRINITY_DN4786_c0_g1_i1"	0	0	0
"TRINITY_DN4787_c0_g1_i1"	0	0	0
"TRINITY_DN4720_c0_g1_i1"	0.0466379	0.104695	0
"TRINITY_DN4700_c0_g1_i1"	0.169215	0	0
"TRINITY_DN4729_c0_g1_i1"	0	0	0
"TRINITY_DN4755_c0_g1_i1"	0.105461	0.11836	0
"TRINITY_DN4780_c0_g1_i1"	0	0	0
"TRINITY_DN4734_c0_g1_i1"	0	0	0
"TRINITY_DN4765_c0_g1_i1"	0.112977	0	0
"TRINITY_DN4714_c0_g1_i1"	0	0	0
"TRINITY_DN4768_c0_g1_i1"	0	0	0
"TRINITY_DN4730_c0_g1_i1"	0	0	0
"TRINITY_DN4798_c0_g1_i1"	0	0	0
"TRINITY_DN4782_c0_g1_i1"	0	0	0
"TRINITY_DN4769_c0_g1_i1"	0	0	0
"TRINITY_DN4713_c0_g1_i1"	0	0	0
"TRINITY_DN4723_c0_g1_i1"	0	0	0
"TRINITY_DN4735_c0_g1_i1"	0	0	0
"TRINITY_DN4728_c0_g1_i1"	0	0	0
"TRINITY_DN4754_c0_g1_i1"	0	0	0
"TRINITY_DN4739_c0_g1_i1"	0	0	0
"TRINITY_DN4742_c0_g1_i1"	0	0	0
"TRINITY_DN4744_c0_g1_i1"	0	0	0
"TRINITY_DN4719_c0_g1_i1"	0	0	0
"TRINITY_DN4757_c0_g1_i1"	395.546	1623.5	14198.4
"TRINITY_DN4779_c0_g1_i1"	0	0	0
"TRINITY_DN4777_c0_g1_i1"	0	0.134417	0
"TRINITY_DN4770_c0_g1_i1"	0.233056	0	0
"TRINITY_DN4701_c0_g1_i1"	0	0	0
"TRINITY_DN4716_c0_g1_i1"	0	0	0
"TRINITY_DN4705_c0_g1_i1"	0	0	0
"TRINITY_DN4745_c0_g1_i1"	1.62199	0	0
"TRINITY_DN4711_c0_g1_i1"	0	0	0
"TRINITY_DN4704_c0_g1_i1"	0	0	0
"TRINITY_DN4737_c0_g1_i1"	0.539152	0	0
"TRINITY_DN4733_c0_g1_i1"	0.389349	0	0
"TRINITY_DN4790_c0_g1_i1"	0	0	0
"TRINITY_DN4793_c0_g1_i1"	0	0	0
"TRINITY_DN4736_c0_g1_i1"	0	0	0
"TRINITY_DN4732_c0_g1_i1"	0.304689	0	0
"TRINITY_DN4756_c0_g1_i1"	0	0	0
"TRINITY_DN4738_c0_g1_i1"	0	0	0
"TRINITY_DN4708_c0_g1_i1"	0.631762	0.272736	0
"TRINITY_DN4797_c0_g1_i1"	0	0	0
"TRINITY_DN4752_c0_g1_i1"	1.30359	0.133042	0
"TRINITY_DN4784_c0_g1_i1"	0	0	0
"TRINITY_DN4702_c0_g1_i1"	0	0	0
"TRINITY_DN4712_c0_g1_i1"	0	0	0
"TRINITY_DN4741_c0_g1_i1"	0	0	0
"TRINITY_DN4731_c0_g1_i1"	0	0	0
"TRINITY_DN4771_c0_g1_i1"	0	0	0
"TRINITY_DN4792_c0_g1_i1"	0.387141	0	0
"TRINITY_DN4740_c0_g1_i1"	0	0	0
"TRINITY_DN4783_c0_g1_i1"	0	0	0
"TRINITY_DN4763_c0_g1_i1"	0	0	0
"TRINITY_DN4717_c0_g1_i1"	0	0	0
"TRINITY_DN4710_c0_g1_i1"	0.496147	0	0
"TRINITY_DN4774_c0_g1_i1"	0	0	0
"TRINITY_DN4753_c0_g1_i1"	0	0.0868622	0
"TRINITY_DN4767_c0_g1_i1"	0	0	0
"TRINITY_DN4750_c0_g1_i1"	0	0	0
"TRINITY_DN0_c0_g1_i1"	0.346028	0.30511	0
"TRINITY_DN59_c0_g1_i2"	0.0984604	0.110515	0
"TRINITY_DN59_c0_g1_i1"	0	0	0
"TRINITY_DN9_c0_g1_i1"	0.126227	0.236123	0
"TRINITY_DN47_c0_g1_i4"	0	0	0
"TRINITY_DN47_c0_g1_i3"	0	0	0
"TRINITY_DN47_c0_g1_i2"	0.0649321	0.0364364	0
"TRINITY_DN65_c0_g2_i1"	0.315633	0.236134	0
"TRINITY_DN65_c0_g1_i2"	0.0733384	0.027434	1.45674
"TRINITY_DN57_c0_g1_i4"	1.62479e-07	0	0
"TRINITY_DN57_c0_g1_i2"	0	0.000361037	0
"TRINITY_DN57_c0_g1_i1"	0	0.135019	0
"TRINITY_DN57_c0_g1_i3"	0.0699817	0	0
"TRINITY_DN71_c0_g2_i1"	0	0	0
"TRINITY_DN71_c0_g1_i1"	0	0	0
"TRINITY_DN25_c0_g2_i1"	0	0	0
"TRINITY_DN25_c0_g2_i2"	0.110842	0.18663	0
"TRINITY_DN25_c0_g1_i1"	0.125076	0	0
"TRINITY_DN25_c0_g1_i2"	6.03518e-07	0	0
"TRINITY_DN25_c0_g3_i1"	0.517169	0.0207268	0
"TRINITY_DN44_c0_g2_i2"	0.148946	0.167216	0
"TRINITY_DN44_c0_g1_i1"	0.426114	0	3.91257
"TRINITY_DN16_c0_g1_i3"	0	0	0
"TRINITY_DN16_c0_g1_i5"	0	0.0355961	0
"TRINITY_DN16_c0_g1_i6"	0	0	0
"TRINITY_DN16_c0_g1_i2"	0.762713	1.34164	0
"TRINITY_DN16_c0_g1_i7"	0.428155	1.21474e-06	0
"TRINITY_DN34_c0_g1_i3"	0	0.208317	0
"TRINITY_DN34_c0_g1_i2"	0	3.18176e-06	0
"TRINITY_DN34_c0_g1_i4"	0	0	0
"TRINITY_DN34_c0_g1_i1"	0.481553	0	0
"TRINITY_DN4_c0_g2_i1"	3.36542e-09	3.35254e-05	0.000645499
"TRINITY_DN4_c0_g2_i2"	0.0337112	0.170197	1.01733
"TRINITY_DN4_c1_g1_i1"	0.0499725	0	0
"TRINITY_DN4_c0_g1_i16"	0	0.283257	0
"TRINITY_DN4_c0_g1_i3"	14.6331	56.4117	0
"TRINITY_DN4_c0_g1_i6"	0	0	0
"TRINITY_DN4_c0_g1_i10"	0.16911	0.365071	0
"TRINITY_DN4_c0_g1_i8"	0	0	0
"TRINITY_DN4_c0_g1_i4"	1.27097	0	0
"TRINITY_DN4_c0_g1_i12"	0	0	1.12428
"TRINITY_DN4_c0_g1_i7"	1.11237	0.328094	0
"TRINITY_DN14_c0_g1_i3"	0.0880145	0.790298	0
"TRINITY_DN14_c0_g1_i4"	0	0	0
"TRINITY_DN14_c0_g1_i5"	0	0	0
"TRINITY_DN14_c0_g1_i1"	0	0	0
"TRINITY_DN32_c0_g1_i2"	0.146134	0	0
