"Transcript_ID"	"id173_TPM"	"id272_TPM"
"TRINITY_DN4725_c0_g1_i1"	0	1.12175
"TRINITY_DN4795_c0_g1_i1"	0	0
"TRINITY_DN4747_c0_g1_i1"	0	0
"TRINITY_DN4709_c0_g1_i1"	0	0
"TRINITY_DN4706_c0_g1_i1"	0	0
"TRINITY_DN4715_c0_g1_i1"	0.222171	0
"TRINITY_DN4722_c0_g1_i1"	0	0
"TRINITY_DN4775_c0_g1_i1"	0	6.42254
"TRINITY_DN4791_c0_g1_i1"	0	1.04757
"TRINITY_DN4746_c0_g1_i1"	0	0
"TRINITY_DN4703_c0_g1_i1"	0	0.618543
"TRINITY_DN4760_c0_g1_i1"	0	0
"TRINITY_DN4749_c0_g1_i1"	0	0
"TRINITY_DN4773_c0_g1_i1"	0	0
"TRINITY_DN4718_c0_g1_i1"	0	0
"TRINITY_DN4751_c0_g1_i1"	0	0
"TRINITY_DN4726_c0_g1_i1"	0	0
"TRINITY_DN4727_c0_g1_i1"	1.05501	15.8883
"TRINITY_DN4724_c0_g1_i1"	0	0
"TRINITY_DN4778_c1_g1_i1"	0	0
"TRINITY_DN4766_c0_g1_i1"	0	0
"TRINITY_DN4776_c0_g1_i1"	0	0
"TRINITY_DN4764_c0_g1_i1"	0	0.944821
"TRINITY_DN4762_c0_g1_i1"	0	0
"TRINITY_DN4721_c0_g1_i1"	0	0
"TRINITY_DN4758_c0_g1_i1"	0	0
"TRINITY_DN4785_c0_g1_i1"	0	0
"TRINITY_DN4796_c0_g1_i1"	0	3.12599
"TRINITY_DN4781_c0_g1_i1"	0	0
"TRINITY_DN4788_c0_g1_i1"	0	0
"TRINITY_DN4759_c0_g1_i1"	0	0
"TRINITY_DN4743_c0_g1_i1"	0	0
"TRINITY_DN4789_c0_g1_i1"	0	0
"TRINITY_DN4707_c0_g1_i1"	0	0
"TRINITY_DN4748_c0_g1_i1"	0	0
"TRINITY_DN4761_c0_g1_i1"	0	0
"TRINITY_DN4794_c0_g1_i1"	0	0
"TRINITY_DN4799_c0_g1_i1"	0	0
"TRINITY_DN4772_c0_g1_i1"	0	0.682973
"TRINITY_DN4786_c0_g1_i1"	0	0
"TRINITY_DN4787_c0_g1_i1"	0	0
"TRINITY_DN4720_c0_g1_i1"	0	2.27662
"TRINITY_DN4700_c0_g1_i1"	0	0
"TRINITY_DN4729_c0_g1_i1"	0	0
"TRINITY_DN4755_c0_g1_i1"	0	0.144523
"TRINITY_DN4780_c0_g1_i1"	0	0
"TRINITY_DN4734_c0_g1_i1"	0	0
"TRINITY_DN4765_c0_g1_i1"	0	0
"TRINITY_DN4714_c0_g1_i1"	0	0
"TRINITY_DN4768_c0_g1_i1"	0	0
"TRINITY_DN4730_c0_g1_i1"	0	0.331193
"TRINITY_DN4798_c0_g1_i1"	0	0
"TRINITY_DN4782_c0_g1_i1"	0	5.06063
"TRINITY_DN4769_c0_g1_i1"	0	0
"TRINITY_DN4713_c0_g1_i1"	0	0
"TRINITY_DN4723_c0_g1_i1"	0	0
"TRINITY_DN4735_c0_g1_i1"	0	0
"TRINITY_DN4728_c0_g1_i1"	0	0
"TRINITY_DN4754_c0_g1_i1"	0	0
"TRINITY_DN4739_c0_g1_i1"	0	0
"TRINITY_DN4742_c0_g1_i1"	0	0
"TRINITY_DN4744_c0_g1_i1"	0	0.487855
"TRINITY_DN4719_c0_g1_i1"	0	0
"TRINITY_DN4757_c0_g1_i1"	918.258	675.081
"TRINITY_DN4779_c0_g1_i1"	0	0
"TRINITY_DN4777_c0_g1_i1"	0	0
"TRINITY_DN4770_c0_g1_i1"	0	2.52633
"TRINITY_DN4701_c0_g1_i1"	0	0
"TRINITY_DN4716_c0_g1_i1"	0	0
"TRINITY_DN4705_c0_g1_i1"	0	0
"TRINITY_DN4745_c0_g1_i1"	0	0
"TRINITY_DN4711_c0_g1_i1"	0	0
"TRINITY_DN4704_c0_g1_i1"	0	0
"TRINITY_DN4737_c0_g1_i1"	0	0.967684
"TRINITY_DN4733_c0_g1_i1"	0	0
"TRINITY_DN4790_c0_g1_i1"	0	0
"TRINITY_DN4793_c0_g1_i1"	0	0
"TRINITY_DN4736_c0_g1_i1"	0	0
"TRINITY_DN4732_c0_g1_i1"	0	0
