"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEred"	"kMEsalmon"	"kMEtan"	"kMEyellow"
"TRINITY_DN88421_c0_g1_i1"	-0.591920729607393	0.274141960208499	-0.387162375064881	0.44835601669769	-0.172314821376189	-0.368554223799205	0.942349692467965
"TRINITY_DN88418_c0_g1_i5"	-0.574324413698757	0.224556971613164	-0.341781758403427	0.40639356770324	-0.19712453494435	-0.345447696458605	0.947233069030982
"TRINITY_DN88415_c0_g1_i2"	-0.714939211001972	0.477194833390653	-0.168100446414613	0.339790082440937	0.037993579462912	-0.414890892019248	0.871860341552782
"TRINITY_DN88474_c0_g1_i2"	0.948748267046977	-0.639775069204574	0.168587967092674	-0.443564425583887	-0.2231976628672	0.264914783638675	-0.560294730802889
"TRINITY_DN88425_c0_g1_i2"	-0.821745952258023	0.889727141649216	-0.405848485091396	0.162000547071853	0.0659423227060703	-0.419430487669077	0.752647507295474
"TRINITY_DN88476_c0_g2_i1"	-0.61928569452044	0.890745797315639	-0.220706534907277	0.0593028523082876	0.270750891909709	-0.214606707481574	0.34937498204291
"TRINITY_DN88409_c0_g1_i3"	0.279804059623692	-0.150965233443799	-0.145524762089265	-0.266648146758123	-0.00920600934431178	0.598881890566553	-0.38411006484854
"TRINITY_DN21442_c0_g2_i1"	-0.648720772312411	0.338875478965812	-0.245893542777248	0.440908900809034	-0.0739867812213341	-0.490738664770422	0.934038388951516
"TRINITY_DN21452_c2_g1_i8"	0.708725178989072	-0.425284741664576	0.431489245029292	-0.670419111248645	0.222722596033167	0.327918611992264	-0.540215751717338
"TRINITY_DN21434_c5_g1_i3"	0.891411996131283	-0.507515930130864	0.339722220754067	-0.671997230170874	0.0679451491036771	0.270580882952519	-0.674540578253432
"TRINITY_DN21454_c1_g1_i2"	0.717162312463187	-0.481462867800972	0.517169260534982	-0.456870256239245	0.12494288906798	0.370940124964978	-0.39514795187768
"TRINITY_DN21443_c0_g1_i2"	-0.855613794542026	0.714059720123042	-0.410036408497565	0.340450729404752	-0.04834857624341	-0.404462773769753	0.872505602689478
"TRINITY_DN21491_c1_g1_i1"	-0.626085398364942	0.765949351323213	-0.195865776130182	0.0667347873113329	0.236022926646337	-0.166972332523356	0.305944756215209
"TRINITY_DN21406_c11_g1_i1"	0.903385557082539	-0.618222212734077	0.317649156229131	-0.61016915053788	-0.00804533888148221	0.254320331597355	-0.703412343087735
"TRINITY_DN21425_c2_g3_i2"	-0.53513920747774	0.852043861792333	-0.30980437769199	-0.0117383091520785	0.159019893187984	-0.315014325203793	0.425688289432784
"TRINITY_DN21430_c0_g1_i1"	-0.5650196811841	0.296534481781713	-0.319390297171616	0.403929982263191	-0.184553467130804	-0.390688109053404	0.925344465252256
"TRINITY_DN21410_c0_g1_i21"	-0.537169039156529	0.766057406703438	-0.181040159212802	0.0670706008923575	0.335086461282	-0.182305993812931	0.323576931490518
"TRINITY_DN21460_c0_g1_i36"	-0.584044635874601	0.313414231398685	-0.326590717562252	0.417275458426608	-0.0842460866893926	-0.33773196451347	0.913432844849061
"TRINITY_DN21460_c0_g1_i38"	-0.772297567480825	0.564612625343537	-0.399099236296215	0.382741348652493	-0.101915400165567	-0.397454571280338	0.971358395983746
"TRINITY_DN5656_c11_g1_i8"	0.755328288595587	-0.468383602137297	0.155858978443351	-0.579686291150505	-0.0448982546251468	0.407570920080862	-0.672337712741573
"TRINITY_DN5644_c12_g1_i16"	0.930244826467293	-0.697768456650409	0.411453315474139	-0.519056122959436	0.026278030721823	0.424233195637791	-0.781291587353529
"TRINITY_DN5644_c14_g1_i3"	0.802549609975323	-0.731262756432862	0.469746885263109	-0.272649460567909	0.0896688295561206	0.119911217984091	-0.625729259149397
"TRINITY_DN5644_c0_g1_i9"	0.904076288717562	-0.713845677043786	0.379292603529815	-0.560034451450959	0.00771182847802677	0.410476660854251	-0.76397864066344
"TRINITY_DN5644_c7_g1_i1"	0.911260776175543	-0.68419338433747	0.307183395313578	-0.490415385522323	-0.0893960371656652	0.233838856197219	-0.575696949963665
"TRINITY_DN5644_c10_g1_i4"	-0.729898814439283	0.758663203334212	-0.476434195412378	0.136536940191853	-0.0750302767688428	-0.444550062416871	0.825422845066576
"TRINITY_DN5614_c0_g1_i8"	0.317512357974346	-0.327476378230362	0.140887999747672	-0.257612580715787	0.15250231396307	0.500565898451546	-0.529948936126458
"TRINITY_DN5651_c0_g1_i3"	0.912854019836333	-0.676846842093269	0.157261649958437	-0.535779098844973	-0.133415362231503	0.443433614307599	-0.686551012323871
"TRINITY_DN5612_c17_g1_i3"	0.370368446796618	0.153920170620197	0.177507101783353	-0.687742629248967	0.211121251644418	0.258887214102091	-0.597387539765003
"TRINITY_DN5612_c10_g4_i2"	0.954593095881656	-0.698522140853017	0.212101889976666	-0.551606054217695	-0.270737186484133	0.380677330175484	-0.659249279145917
"TRINITY_DN5612_c12_g1_i1"	0.838157477994606	-0.71598238265766	0.551554032016583	-0.460165101346115	0.0813180666528416	0.329628228136501	-0.591931181309983
"TRINITY_DN5608_c1_g1_i1"	-0.681830138731921	0.586925103223465	-0.366523762269668	0.31618923002586	0.0166431290991592	-0.373338754746421	0.936201936439397
"TRINITY_DN5621_c1_g1_i1"	-0.554314666962444	0.604488350849678	-0.314298597971609	0.169020110379231	0.01102962058083	-0.430803229717967	0.866813062836303
"TRINITY_DN5600_c0_g1_i13"	-0.71533321929047	0.501041599179195	-0.295189191704586	0.38052123858624	-0.0678089339766995	-0.578416068693032	0.951956819459212
"TRINITY_DN5600_c0_g1_i7"	-0.623999263610271	0.288674730616275	-0.378839060656802	0.463631917396839	-0.143861688839257	-0.241258598714437	0.905406311572154
"TRINITY_DN5632_c0_g1_i10"	0.937887110871424	-0.804952055107964	0.297797097632916	-0.360601402368056	-0.147515142089244	0.303138630747131	-0.626762043044609
"TRINITY_DN5632_c0_g3_i1"	0.796184261350937	-0.782379356845841	0.490642891699963	-0.412215260563992	0.0629035894473608	0.534614679314359	-0.676494594700525
"TRINITY_DN5632_c0_g2_i2"	0.727330257840525	-0.542242877520983	0.328091736626224	-0.286741655756966	-0.0198434565276071	0.144432807851656	-0.451596389802694
"TRINITY_DN5601_c0_g1_i10"	0.604280449972449	-0.491979720199739	0.0538918527220389	0.0155617485186019	-0.213290333278113	0.104453606535793	-0.295109306562015
"TRINITY_DN5662_c12_g1_i7"	0.662138027535455	-0.501729769403716	0.0573907608994194	-0.0529233960552777	-0.24511585123171	0.0816663898663119	-0.294651373304427
"TRINITY_DN5662_c0_g2_i2"	0.804459613919156	-0.503064322470138	0.255491849157258	-0.455226575610714	0.0250751698785939	0.189975840710739	-0.510662694698018
"TRINITY_DN5662_c1_g1_i17"	0.458710135539444	-0.580047550121341	0.640381472619061	-0.297394527789094	0.305800192910426	0.244655561231242	-0.567133761081283
"TRINITY_DN5662_c21_g2_i1"	-0.673262519325701	0.967661394646187	-0.344593338332047	-0.0086370228662814	0.092947998440309	-0.344778656398708	0.495807286178997
"TRINITY_DN5622_c0_g1_i7"	0.964129910222314	-0.784244921640041	0.363676163698245	-0.46782464554348	-0.0901181362412532	0.385600526838319	-0.620692302184129
"TRINITY_DN5637_c1_g1_i4"	0.766406003441677	-0.533860940653044	0.141978435962504	-0.253886601422866	-0.143884196135925	0.12674274343044	-0.377740045431734
"TRINITY_DN5616_c8_g1_i1"	0.936025494711915	-0.682108757310016	0.259472912579486	-0.454262547950677	-0.146755446294041	0.350667086332915	-0.555586662451173
"TRINITY_DN5616_c0_g1_i3"	0.769471854817464	-0.437469400007849	0.428717421997597	-0.658969710872733	0.0884107895968859	0.395237688270327	-0.479518318679726
"TRINITY_DN5616_c0_g1_i12"	0.799726867880293	-0.59373744521711	0.275523369298658	-0.34262156362034	-0.0911573115899841	0.31743580063195	-0.435690886945685
"TRINITY_DN5616_c11_g1_i1"	0.881160673159827	-0.519006243512828	0.267612830001494	-0.560842654967019	-0.0936520604424711	0.403046009723873	-0.505732130455366
"TRINITY_DN5616_c0_g2_i8"	0.826995620180064	-0.591385019206045	0.454353457548254	-0.568193171960958	0.133163716923581	0.485464520692161	-0.701461110013877
"TRINITY_DN5616_c0_g3_i1"	0.669221620397592	-0.590354421217289	0.329147151238828	-0.323316946883028	0.101792164559728	0.427874650642207	-0.614979957791462
"TRINITY_DN5616_c0_g3_i5"	0.823182968688698	-0.568121699275551	0.299270069003381	-0.565733166956099	-0.0808216443778542	0.340867183014964	-0.490612089579645
"TRINITY_DN5605_c6_g1_i1"	0.200995593957655	-0.0623120600646519	-0.268227993962116	-0.172559630937838	-0.347731847796351	-0.074632955108065	-0.334988404456288
"TRINITY_DN5628_c1_g1_i17"	0.649487035821297	-0.616929646980658	0.442718916515198	-0.392146963738773	0.0611464881442889	0.349960740583218	-0.602283420919545
"TRINITY_DN5631_c0_g1_i2"	0.668994721901746	-0.565250357292815	0.592846776272924	-0.219555507772504	0.172405356787045	0.178176905445189	-0.418877368409581
"TRINITY_DN37816_c0_g1_i1"	-0.557249255412746	0.16591136041829	-0.305341486790425	0.422986685637362	-0.140826843710299	-0.311105685855414	0.918275437807343
"TRINITY_DN37868_c0_g1_i2"	-0.672720596786854	0.546296073174734	-0.377344186744716	0.3398241740273	-0.0533159250823998	-0.382375036394465	0.942567787098741
"TRINITY_DN37855_c0_g2_i3"	0.799876995394888	-0.642509403651048	0.296733264391111	-0.330617382007257	-0.000131520518667105	0.488803383336935	-0.659462985833555
"TRINITY_DN37821_c0_g1_i10"	-0.639968066784389	0.380597042489592	-0.47780643964613	0.47923136570762	-0.223437446274552	-0.416005049534239	0.96522223032071
