"kMEblack"	"kMEbrown"	"kMEcyan"	"kMEmagenta"	"kMEpink"	"kMEred"	"kMEtan"
"TRINITY_DN88421_c0_g1_i1"	-0.592513501727027	0.945692544323217	-0.172921987081894	-0.387859480765753	0.290636407604001	0.449000270554095	-0.369255387367299
"TRINITY_DN88418_c0_g1_i5"	-0.57499798820393	0.951545808885961	-0.197319716264809	-0.342236191331637	0.241997846361523	0.406669276083448	-0.346203883504296
"TRINITY_DN88415_c0_g1_i2"	-0.714487445487528	0.870304915208885	0.0383457914414061	-0.167082768237383	0.488794241008172	0.340089469905596	-0.415035036101993
"TRINITY_DN88474_c0_g1_i2"	0.948928101366498	-0.55590412139501	-0.222666845497781	0.168575338253116	-0.641786076340439	-0.443754515125231	0.26545651496893
"TRINITY_DN88425_c0_g1_i2"	-0.821913046353304	0.744320342137449	0.0645826374662436	-0.40579067555796	0.896057331781073	0.163420335034581	-0.420008800095134
"TRINITY_DN88476_c0_g2_i1"	-0.619803622876518	0.338891591674481	0.269628699256325	-0.220403631656951	0.886651864483359	0.0602562590431926	-0.214757716645025
"TRINITY_DN88409_c0_g1_i3"	0.279360306289034	-0.385028101240408	-0.00869928396323273	-0.1454262033936	-0.157148567261405	-0.266300895608844	0.597691805999572
"TRINITY_DN21442_c0_g2_i1"	-0.648543980581923	0.935638460369964	-0.0736027847573904	-0.245093779552881	0.353704022952202	0.441531305896779	-0.491872993593758
"TRINITY_DN21452_c2_g1_i8"	0.709326350060027	-0.538195405152114	0.223274081057407	0.431167722540601	-0.430918423098602	-0.670424326318852	0.327871783657858
"TRINITY_DN21434_c5_g1_i3"	0.891301333951112	-0.672729076593148	0.0685911083353838	0.339537299084187	-0.513782116367324	-0.672151896087433	0.27107417951608
"TRINITY_DN21454_c1_g1_i2"	0.717635289582761	-0.39144180731164	0.125381802740824	0.516717296449185	-0.482282463163626	-0.457095840522031	0.371593800565936
"TRINITY_DN21443_c0_g1_i2"	-0.855858113487771	0.868423839223713	-0.0492224925008207	-0.410085471456076	0.723352963674363	0.34091462820984	-0.405004407054301
"TRINITY_DN21491_c1_g1_i1"	-0.626119976461723	0.295708902688259	0.235400124271376	-0.195402260812851	0.764915653461666	0.0676929679775471	-0.166719271758151
"TRINITY_DN21406_c11_g1_i1"	0.903713460027707	-0.700182033574507	-0.00767758621156778	0.317613919082429	-0.624971177105488	-0.610278084328566	0.254979687980594
"TRINITY_DN21425_c2_g3_i2"	-0.53519357278617	0.415948599300135	0.15726166315446	-0.310041382809352	0.850799861788427	-0.0109529379538239	-0.315503411163202
"TRINITY_DN21430_c0_g1_i1"	-0.564833381050075	0.927747225932596	-0.184600553256569	-0.318991696835158	0.311738018083595	0.404404093639219	-0.390876555325542
"TRINITY_DN21410_c0_g1_i21"	-0.537579913199618	0.314149485837066	0.334264666459598	-0.180699803285833	0.763966145065376	0.0678911871552219	-0.182421925569789
"TRINITY_DN21460_c0_g1_i36"	-0.583879072015049	0.915900633290843	-0.084460533400706	-0.326604583934156	0.327423347165114	0.4178860258161	-0.338120141999125
