"kMEblack"	"kMEblue"	"kMEbrown"	"kMEcyan"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEsalmon"
"TRINITY_DN88421_c0_g1_i1"	-0.325939280488655	0.939238734008701	-0.619493604596359	-0.171948346018737	0.44797843858443	-0.385385420822281	0.262406861686539	-0.368046118083384
"TRINITY_DN88418_c0_g1_i5"	-0.335804942376422	0.943271908185263	-0.597330442441769	-0.197005158287248	0.406226215391885	-0.340707636572179	0.21220172522834	-0.345146349322617
"TRINITY_DN88415_c0_g1_i2"	-0.427984311352515	0.873110468648159	-0.741707569311077	0.0377806479222529	0.33965552712433	-0.166743946989065	0.468316699650498	-0.414190693871819
"TRINITY_DN88474_c0_g1_i2"	0.887809608880446	-0.565327717110869	0.918007681440657	-0.223518664335818	-0.443518767118885	0.164259758246801	-0.636939643626885	0.264258337990234
"TRINITY_DN88425_c0_g1_i2"	-0.57994484127145	0.760345306406483	-0.833977708012366	0.0667689289443698	0.161189890082624	-0.40329907110619	0.884525094752513	-0.419166098297957
"TRINITY_DN88476_c0_g2_i1"	-0.533395258057426	0.358880506767228	-0.607927163126174	0.271434296003536	0.0587904138724284	-0.217957662628732	0.894196104479637	-0.214384611147498
"TRINITY_DN88409_c0_g1_i3"	-0.0419078683041668	-0.383049690258175	0.332996859954734	-0.0095126619012903	-0.266827810166216	-0.144061859505578	-0.146954691281435	0.599548904323144
"TRINITY_DN21442_c0_g2_i1"	-0.339413899228425	0.932370721309928	-0.682989596812128	-0.0742165319483606	0.440545736330824	-0.245270839947038	0.328110731419776	-0.489857844762129
"TRINITY_DN21452_c2_g1_i8"	0.347441692784355	-0.542368288264336	0.748792888003824	0.222386976161849	-0.67044032739447	0.43110532642011	-0.420705876242614	0.327205817786793
"TRINITY_DN21434_c5_g1_i3"	0.577085375100427	-0.677106663791949	0.914480037210348	0.0675530472381611	-0.671943966671941	0.337229257672078	-0.501514927763563	0.27017879373071
"TRINITY_DN21454_c1_g1_i2"	0.768443695515656	-0.398902671247306	0.674146520884988	0.124674874553035	-0.456790878915157	0.514209063767551	-0.480512265639111	0.370026013411709
