"kMEblack"	"kMEblue"	"kMEbrown"	"kMEgreen"	"kMEgrey60"	"kMElightgreen"	"kMEroyalblue"
"TRINITY_DN88421_c0_g1_i1"	0.313243565002999	-0.709365000737649	0.923734456477075	0.353760503504737	-0.358211566661913	-0.415144919847161	-0.312717225027268
"TRINITY_DN88418_c0_g1_i5"	0.172744603957944	-0.63173776173721	0.960789896348827	0.338865879649218	-0.358134669804487	-0.429462249984206	-0.194756175726858
"TRINITY_DN88415_c0_g1_i2"	0.00992486842722015	-0.617126210528517	0.685765326215087	0.473717291944783	-0.165012434792146	-0.0270740118314005	-0.671370109991195
"TRINITY_DN88474_c0_g1_i2"	-0.419076580177873	0.976208256054279	-0.645755833092634	-0.670613068022011	0.480886669449474	0.231167353260875	0.467850400063629
"TRINITY_DN88425_c0_g1_i2"	0.000128903797937147	-0.724405635304233	0.719419739738938	0.912305486466868	-0.397621534272913	-0.429315751303877	-0.236080883304722
"TRINITY_DN88476_c0_g2_i1"	0.0734263854769104	-0.60033558853941	0.401090995143586	0.858207752108074	-0.194474157596944	-0.203801523968516	-0.165914673135072
"TRINITY_DN21442_c0_g2_i1"	0.196717834732423	-0.666498225807695	0.854950933299632	0.361429019271369	-0.464276183956465	-0.0925145994973972	-0.531347053641992
"TRINITY_DN21452_c2_g1_i8"	-0.608321004622083	0.833975847754765	-0.586944340164846	-0.501533709589421	0.387587290631648	0.552229171854338	0.417757086915406
"TRINITY_DN21434_c5_g1_i3"	-0.596283902886046	0.92251475220284	-0.710999325434503	-0.530389989300598	0.499757294237466	0.404923655856377	0.452094962302064
"TRINITY_DN21454_c1_g1_i2"	-0.530410730785806	0.819286740643583	-0.490754195938204	-0.522798799040487	0.556458511282504	0.530421614574342	0.109756254582631
"TRINITY_DN21443_c0_g1_i2"	0.204255234173141	-0.91443963062767	0.846477233922456	0.792228804641397	-0.359668372361979	-0.421239068310818	-0.348424652802254
"TRINITY_DN21491_c1_g1_i1"	0.0170224387848221	-0.551727773741647	0.390366574811266	0.733691707419117	-0.0927734718448504	-0.149378728043897	-0.193343839192424
"TRINITY_DN21406_c11_g1_i1"	-0.503015277546385	0.946339378145962	-0.725820053841968	-0.690889118748257	0.406183125959371	0.411337671434465	0.426259958642555
"TRINITY_DN21425_c2_g3_i2"	0.0394739662158163	-0.549958466168686	0.430191407011205	0.81143153543714	-0.261528092602033	-0.275881818980445	0.00804471526778766
