"kMEblack"	"kMEcyan"	"kMEdarkgreen"	"kMEdarkorange"	"kMEdarkred"	"kMEdarkturquoise"	"kMElightcyan"	"kMElightyellow"	"kMEred"	"kMEroyalblue"
"TRINITY_DN88421_c0_g1_i1"	0.861748714379622	-0.405017760640084	-0.487338404126724	-0.134203618919591	-0.51815663939523	-0.288930279096004	-0.451832928063776	-0.0992548550065201	0.359843434681602	-0.11162554224535
"TRINITY_DN88418_c0_g1_i5"	0.813508102621374	-0.351317955309708	-0.357689184728978	-0.12579082047752	-0.527576112014689	-0.258305147959366	-0.360191946812851	-0.254848832698698	0.360492469588097	-0.130758939535551
"TRINITY_DN88415_c0_g1_i2"	0.862973972369306	-0.583260820762372	-0.262341972556939	-0.378286530356923	-0.617151303241137	-0.245759925163115	-0.184411538982673	-0.426282186854089	0.211067350566759	0.169250199352058
"TRINITY_DN88474_c0_g1_i2"	-0.563382852321423	0.211598542925804	0.626402166531999	-0.208573863956033	0.895988886883829	0.5951954423433	0.198771688069324	0.274084131479245	-0.296809892786162	-0.394758940346621
"TRINITY_DN88425_c0_g1_i2"	0.923062230378657	-0.465459628293583	-0.51743076380206	-0.0222478263841546	-0.88607844697904	-0.228901864465517	-0.487880166985998	-0.392030800220412	0.218653078905984	0.154488264542418
"TRINITY_DN88409_c0_g1_i3"	-0.291683479972087	0.570136858089801	0.0117379931562914	0.564641932726129	0.200312426674345	0.367370354768559	-0.340763423276815	0.266391720444104	-0.129274370596359	-0.183441830040169
"TRINITY_DN21442_c0_g2_i1"	0.842487050711166	-0.565508407045656	-0.438726578706203	-0.29935959392438	-0.576941470572724	-0.394222729904098	-0.285254871487895	-0.204823517302621	0.395378451449153	-0.0288144755882538
"TRINITY_DN21452_c2_g1_i8"	-0.459765784565567	0.305910920576366	0.235660988441049	0.390605825629043	0.534666556526877	-0.206759750302121	0.521877030684137	0.347725073679145	-0.541344695038471	0.181755683199185
"TRINITY_DN21434_c5_g1_i3"	-0.73580164069354	0.178922783536487	0.572999656636787	-0.20735323073522	0.916515043979001	0.520488805213226	0.396027632719226	0.440122888418407	-0.449102531308759	-0.0655263055117458
"TRINITY_DN21454_c1_g1_i2"	-0.508216896676352	0.238473466537794	0.808350211430284	-0.138121020032892	0.697313284381151	0.218601533001996	0.664694501001601	-0.186344618102833	-0.266889077701211	-0.0186091610234
"TRINITY_DN21443_c0_g1_i2"	0.9680180280776	-0.482962497250808	-0.669092740764943	-0.0440085159963895	-0.848196887975041	-0.372201903006922	-0.505425875504822	-0.200411323719982	0.227933721288696	0.106728688033835
"TRINITY_DN21491_c1_g1_i1"	0.656858347902725	-0.230955446009282	-0.501630821360325	-0.0622258174304157	-0.856885650862895	-0.353767251939289	-0.312259951283097	-0.357774144028821	0.152815755453515	0.289986041982695
"TRINITY_DN21406_c11_g1_i1"	-0.785015102815425	0.208861561712812	0.411442619332104	0.0247898694233327	0.887654088123999	0.366360521007941	0.367496560457514	0.579388296169521	-0.549350288694501	-0.117418653851726
"TRINITY_DN21425_c2_g3_i2"	0.802573105161657	-0.376399476600157	-0.547126556001552	0.0537383365055562	-0.579194785126404	-0.293642343646793	-0.389779112042754	-0.0285391805208894	0.104711211721916	0.333535803434984
"TRINITY_DN21430_c0_g1_i1"	0.820094329488379	-0.452654564049792	-0.460496442691975	-0.270861741905213	-0.54532974074843	-0.36106561146951	-0.32960704038065	-0.151612809475873	0.366726393627168	-0.124567182604321
"TRINITY_DN21410_c0_g1_i21"	0.625433260698694	-0.232084741713997	-0.387260917557919	0.182690019565926	-0.601457424392299	-0.244508103145187	-0.24775292163814	-0.195355612429459	0.0865130477009996	0.510100462636855
"TRINITY_DN21460_c0_g1_i36"	0.880547036040263	-0.358584896374846	-0.375297570107903	0.0125530244831801	-0.548542795165489	-0.278367201396784	-0.365268994275924	-0.245613764327646	0.327759145496646	-0.000339144976949146
"TRINITY_DN21460_c0_g1_i38"	0.948416574289653	-0.402159860743677	-0.474490270733838	-0.0689665540846893	-0.715440796397936	-0.323394263192002	-0.417900624909045	-0.308611323222017	0.357157400966859	0.0604826074071806
"TRINITY_DN5656_c11_g1_i8"	-0.743722790400216	0.421288114842948	0.457780848573522	0.156414704116707	0.785968145760963	0.686438569290712	0.0569513676531042	0.439064354237798	-0.39652122191263	-0.269360517718085
"TRINITY_DN5644_c12_g1_i16"	-0.882901104301849	0.440822204745814	0.542309532304775	0.177402147862371	0.8852479265473	0.259225045872606	0.494636362138276	0.38945836727639	-0.438431957835401	-0.0943648207550983
"TRINITY_DN5644_c14_g1_i3"	-0.651989587294858	0.0191660847361666	0.549206058462114	-0.434587094481613	0.740873876579975	0.220383081981647	0.606743578250277	0.24880374770637	-0.159149962558553	0.0436586129139083
"TRINITY_DN5644_c0_g1_i9"	-0.869718633565528	0.377452213443083	0.442895959440022	0.0403068934863351	0.888275661906552	0.287777244852911	0.393862933543398	0.497958087524467	-0.409021304959849	-0.141380882139763
"TRINITY_DN5644_c10_g1_i4"	0.917538278532898	-0.52616618262048	-0.552869143071977	-0.0782228758314062	-0.795477022203991	-0.203982192596309	-0.54334434643782	-0.238850135974677	0.223431468186194	0.0118098952672058
"TRINITY_DN5614_c0_g1_i8"	-0.496620727909735	0.627918585392185	0.0551063915957819	0.383576334837129	0.295084709425607	0.0532973644920404	0.0680281076993939	0.321114679919345	-0.216931657685835	0.0637596243033315
"TRINITY_DN5651_c0_g1_i3"	-0.755375954182126	0.492619746508058	0.52389628822886	0.090412333738466	0.864725693718322	0.604687311110058	0.134460696598183	0.375013250823636	-0.447843075645812	-0.273292630725339
"TRINITY_DN5612_c17_g1_i3"	-0.532169887058893	0.159711549624492	0.0131305516810563	-0.0437201675909374	0.392442400821265	0.155972815840211	0.184148468293838	0.532457251156894	-0.594714741875736	0.22497158005181
"TRINITY_DN5612_c10_g4_i2"	-0.753434094233423	0.412002534576263	0.594043426506494	0.0358550952411183	0.964351721118991	0.539844340749939	0.247396924544726	0.405547877415114	-0.492049735009501	-0.428999913930149
"TRINITY_DN5612_c12_g1_i1"	-0.654334146696864	0.298844358286144	0.591733999046204	0.19554622842639	0.806721671103168	0.0836370594878309	0.633129830736546	0.220039679488702	-0.42807233930626	-0.0758037365657899
"TRINITY_DN5608_c1_g1_i1"	0.927159602625101	-0.368604524783377	-0.433243717148131	0.0426711773346878	-0.64594013764504	-0.307625121287285	-0.380787330338395	-0.269011014378342	0.314807790461629	0.166433435215352
"TRINITY_DN5621_c1_g1_i1"	0.88688473692438	-0.450326142785049	-0.471706587252626	0.017439939766986	-0.533226745216656	-0.342393983854621	-0.343674871697066	-0.105982868190754	0.20102633415768	0.123701748597935
"TRINITY_DN5600_c0_g1_i13"	0.903976272283115	-0.644870901150394	-0.462943357692727	-0.257196470628226	-0.691280774490066	-0.405687606196203	-0.281531493327052	-0.297754109413342	0.346476517051333	0.0673139967548171
"TRINITY_DN5600_c0_g1_i7"	0.799803224944727	-0.201519666708202	-0.325147297301405	0.10254275087141	-0.506046135579637	-0.197658294108504	-0.447456189805734	-0.279573658805992	0.365858899869083	-0.056648903880771
"TRINITY_DN5650_c0_g2_i2"	-0.465164652213309	-0.0934453466962734	0.583119047175783	-0.236577665571002	0.33939408202499	-0.181756036263617	0.965967856481907	-0.299808041884948	-0.234701848345917	0.568802967470376
