"kMEblack"	"kMEblue"	"kMEbrown"	"kMEpink"	"kMEred"	"kMEyellow"
"TRINITY_DN21478_c0_g1_i1"	-0.120735316690879	-0.386790879412656	0.848954901111618	0.384738922766543	-0.247244442252096	0.342201279009663
"TRINITY_DN21505_c1_g1_i1"	0.294039555406651	0.755756229865699	-0.767919550529569	-0.379455375981354	0.323303570873238	-0.605197419781575
"TRINITY_DN21499_c0_g1_i1"	0.0955687150172055	0.661124628151584	-0.337533035967624	-0.0151180619804393	0.44971662130109	-0.47251565081435
"TRINITY_DN21444_c0_g2_i1"	-0.328012664390648	-0.426114877600474	0.901865110070353	0.224049057639354	-0.33016402882092	0.436204550977728
"TRINITY_DN21517_c0_g2_i1"	0.418833163844085	0.953426020014252	-0.750951200342179	-0.324106717749619	0.427559782587431	-0.806601444361604
"TRINITY_DN21517_c0_g1_i1"	0.402955980732498	0.954434659996593	-0.749236519037625	-0.310217666187179	0.369104321736666	-0.792136730358572
"TRINITY_DN21490_c0_g1_i1"	-0.449643535173481	-0.704948192442302	0.693922082252773	-0.0784425807893371	-0.491973518039892	0.884792495933544
"TRINITY_DN21494_c1_g1_i2"	0.244631923168343	0.306941911213745	-0.374223225674131	-0.288608780969226	0.11908109495253	-0.300647696576877
"TRINITY_DN21470_c0_g1_i1"	0.416546128936976	0.877733773916964	-0.747873051173529	-0.393508502785721	0.521649496693698	-0.762239042508777
"TRINITY_DN21470_c1_g1_i1"	0.388205546696806	0.895666718917022	-0.739991156351455	-0.378730848271783	0.527515213157029	-0.782311678140325
"TRINITY_DN21504_c1_g1_i1"	0.373901405041105	0.609663565889196	-0.503904294116591	-0.156685160263958	0.637099913778364	-0.73555983372799
"TRINITY_DN5656_c0_g1_i3"	-0.192303636024238	-0.288166735491405	0.635544204787959	0.537630290018646	-0.100993498557941	-0.085354919685577
"TRINITY_DN5680_c0_g1_i1"	0.36372382269852	0.977087792136797	-0.677741215279817	-0.304989095861001	0.226725031304523	-0.768412239939699
"TRINITY_DN5653_c0_g1_i1"	0.107633601298629	0.536007152449266	-0.736353869430563	-0.134521764906299	0.146853906287078	-0.451861325096057
"TRINITY_DN5653_c0_g4_i1"	0.173055510574423	-0.141537863518237	-0.176886463282449	-0.230552772664903	-0.265630806657175	0.414100267836641
"TRINITY_DN5653_c0_g2_i1"	-0.0692376984183526	0.165866831778523	-0.14044263383897	-0.36815345543655	0.711508609539001	-0.099303469451105
"TRINITY_DN5653_c0_g2_i2"	0.101530053233156	0.102157269276677	-0.0872590537908142	-0.011386607838345	0.0207848255839091	0.111226346582919
"TRINITY_DN5653_c0_g2_i3"	0.187537090974603	0.306853706212575	-0.112699517169694	0.412447599310416	-0.3591196649527	-0.280072906526391
"TRINITY_DN5633_c0_g1_i1"	0.288871194134548	0.767606635907225	-0.51794959439668	-0.161950262774943	0.030373853556589	-0.550633794003184
"TRINITY_DN5633_c0_g1_i2"	0.454501956032176	0.417398934372822	-0.460753693007137	0.0639135530718451	0.491458738346342	-0.580591441454699
"TRINITY_DN5661_c0_g1_i1"	-0.355151391674235	-0.559889531077122	0.859633191995054	0.161772749207414	-0.319881359591527	0.559575592615711
"TRINITY_DN5661_c0_g1_i4"	-0.41945152017872	-0.775497314661937	0.929521479437358	0.182851759414598	-0.382022472927637	0.740188318995965
"TRINITY_DN5661_c0_g1_i5"	-0.411643268332277	-0.608957045299787	0.907389822590686	0.128730585481083	-0.376374073282562	0.6502620346893
"TRINITY_DN5661_c0_g4_i3"	-0.504097532912065	-0.768215220377972	0.880171843192584	0.100257747735596	-0.459511042404218	0.786171227230672
"TRINITY_DN5614_c0_g1_i1"	0.155625983158455	0.682041543412487	-0.280190174537629	0.0131302617208485	0.278108960938896	-0.423888159606073
"TRINITY_DN5651_c0_g1_i1"	-0.301100583160533	-0.241682449118398	0.43042252513528	-0.0678690692125331	-0.131394771436645	0.414008117796973
"TRINITY_DN5692_c0_g1_i2"	0.391848284194224	0.889461881822319	-0.426067608483529	-0.161246253019223	0.227023842313964	-0.637273355075311
"TRINITY_DN5654_c0_g1_i7"	0.155206789723942	0.907101216065435	-0.471082252312496	-0.0599884608801391	0.314460528507996	-0.789744618263377
"TRINITY_DN5608_c0_g1_i1"	0.394621459162793	0.955199578140513	-0.590022330627222	-0.0763339428014141	0.216716389363945	-0.827100882170848
"TRINITY_DN5697_c1_g2_i1"	0.178786393682659	0.888100070635005	-0.498152695696563	-0.257607492207524	0.213563984984647	-0.634327477448614
"TRINITY_DN5695_c0_g2_i1"	0.0322891054567962	0.625910298898731	-0.45243586889066	-0.361532442093028	0.187011815754502	-0.329171630380676
"TRINITY_DN5695_c0_g1_i1"	0.123010454912096	0.472307251895888	-0.415087130380315	-0.389645345023635	0.374092884244528	-0.356660448926088
"TRINITY_DN5695_c0_g1_i2"	-0.215668074110407	0.223774134880232	0.0416472937923073	0.568574817643569	-0.193824406514844	-0.254423280100923
"TRINITY_DN5695_c1_g1_i1"	0.187025449821108	0.372745982290593	-0.469223333549861	-0.123669099874569	0.410171524722005	-0.2300961553276
"TRINITY_DN5695_c0_g3_i1"	0.277589456007972	0.933821778664268	-0.611355817186511	-0.321868497871751	0.173105997055588	-0.647687069366249
"TRINITY_DN5634_c0_g1_i1"	0.375824025678559	0.979404977745881	-0.579721221201947	-0.249677259493014	0.20578778793403	-0.735751552631181
"TRINITY_DN5649_c0_g1_i21"	0.255851253986712	0.874628174776123	-0.620661419747661	-0.31894602645354	0.184344061744975	-0.648524964769478
"TRINITY_DN5649_c0_g1_i23"	-0.00957778781376669	0.426834561199942	-0.281243820079515	-0.0584829026575197	0.124046567856377	-0.167533959303291
"TRINITY_DN5649_c0_g1_i26"	-0.198526448619308	-0.096966310400167	-0.0947583094983592	-0.297830667197684	0.184916135067787	0.194750447246259
"TRINITY_DN5617_c0_g1_i1"	0.058237840449311	0.764575362223345	-0.202273070977061	-0.0578456265680222	0.111337463371519	-0.643770663398406
"TRINITY_DN5677_c0_g1_i3"	0.195123759514618	0.4936528949159	-0.355845273440293	0.498212173505133	0.0209778651380536	-0.734631070762682
"TRINITY_DN5677_c0_g1_i4"	-0.229872309245022	-0.14417182915326	0.558833460321043	0.19083389336714	-0.0916912577362577	0.255814612804805
"TRINITY_DN5696_c0_g1_i1"	0.262901599554633	0.61336250681228	-0.285170847638906	0.0896987934363293	-0.0253332708890942	-0.420392885331745
"TRINITY_DN5696_c0_g1_i2"	0.386853696245529	0.816576951035094	-0.424656779894894	-0.0932847957566089	0.199509365916398	-0.617700897410553
"TRINITY_DN5624_c0_g1_i1"	0.174475649436536	0.840404576124308	-0.398290864750304	-0.131113431367618	0.0348776079123516	-0.569176756117455
"TRINITY_DN5660_c1_g1_i2"	0.27718050750256	0.846367870633852	-0.601022125992641	-0.412254698997212	0.228801530086632	-0.545978459846671
"TRINITY_DN5660_c2_g1_i1"	0.171073678017116	0.66854347143436	-0.512572674650235	-0.437969990378337	0.246426663521209	-0.333049447560258
"TRINITY_DN5660_c2_g1_i2"	0.290554371141672	0.417687979793367	-0.123739731283668	0.137231408347472	0.140399788678834	-0.288485715221327
"TRINITY_DN5671_c0_g1_i1"	-0.406457612369715	-0.293092791048126	0.775074396237959	0.231184728749282	-0.317863844422074	0.386297014762285
"TRINITY_DN5671_c0_g1_i12"	-0.162809366812024	-0.199297994473939	0.715214097020017	0.342002910581777	-0.396426989570411	0.239120643055353
"TRINITY_DN5671_c0_g1_i8"	-0.371293586359105	-0.579410889111734	0.914769920639735	0.230936349811113	-0.271381494072951	0.569676626807712
"TRINITY_DN5683_c0_g1_i1"	0.304082218403772	0.926465474612821	-0.665040102629248	-0.331915357785499	0.105757001726907	-0.699644493537633
"TRINITY_DN5658_c1_g1_i2"	-0.0343681406210631	0.126855782175102	0.227728242051454	0.862959716064616	0.0375686340022645	-0.386926011256483
"TRINITY_DN5642_c0_g1_i1"	-0.571037261812745	-0.570773181307852	0.279361543663153	-0.120994017465479	-0.490267624267416	0.81395425344257
"TRINITY_DN5642_c0_g1_i2"	-0.329656872763407	-0.614221651189971	0.49408731315332	-0.211741872896413	-0.297735531010992	0.855897861615299
