"kMEblack"	"kMEblue"	"kMEbrown"	"kMEpink"	"kMEred"	"kMEturquoise"
"TRINITY_DN21478_c0_g1_i1"	-0.10969698997552	0.356130627706432	0.842083925275049	0.382048751033888	-0.247084601812512	-0.375179082780561
"TRINITY_DN21505_c1_g1_i1"	0.293829437147457	-0.607301824638915	-0.765117136816978	-0.381017563756854	0.326670636638308	0.759390545571228
"TRINITY_DN21499_c0_g1_i1"	0.0914389564642823	-0.463298120936872	-0.318269248984904	-0.0229188264043884	0.444962509900259	0.658611355456219
"TRINITY_DN21444_c0_g2_i1"	-0.322354750852089	0.449577843134231	0.898477580081272	0.223355809733574	-0.32759205206266	-0.417308485505973
"TRINITY_DN21517_c0_g2_i1"	0.413607467322486	-0.80885414336018	-0.742236706111535	-0.320639297694113	0.425253892579974	0.955636562789316
"TRINITY_DN21517_c0_g1_i1"	0.39835451064906	-0.794281323726605	-0.740396262068606	-0.306990911835814	0.36890392315692	0.95634995442079
"TRINITY_DN21490_c0_g1_i1"	-0.450001550227618	0.884068339090834	0.699887134160989	-0.0750419980258567	-0.497336812785086	-0.697862235770557
"TRINITY_DN21494_c1_g1_i2"	0.243313386606881	-0.307688759433356	-0.365846610442688	-0.281615469532771	0.123576554094298	0.313027017344285
"TRINITY_DN21470_c0_g1_i1"	0.412137773772419	-0.764903043003569	-0.740611342013738	-0.388493223330187	0.516568558393876	0.88294363112813
"TRINITY_DN21470_c1_g1_i1"	0.384839833203148	-0.785520854127009	-0.733690541779518	-0.373720988003092	0.521392824246925	0.901471246631175
"TRINITY_DN21504_c1_g1_i1"	0.369484435720173	-0.736043746921988	-0.495730642276126	-0.153283175313261	0.625065592485519	0.613119961694798
"TRINITY_DN5656_c0_g1_i3"	-0.191557221408981	-0.0721335594048696	0.630279434520068	0.537769358520677	-0.101737245144645	-0.282258182922331
"TRINITY_DN5680_c0_g1_i1"	0.360901781896992	-0.76959998404051	-0.668851064390346	-0.301316789420605	0.232293285499606	0.9774757535787
"TRINITY_DN5653_c0_g1_i1"	0.112620750727362	-0.454275271744022	-0.737745753149316	-0.14459723865853	0.149732010599583	0.534012430837543
"TRINITY_DN5653_c0_g4_i1"	0.175285659541448	0.399325419887496	-0.180023134058729	-0.229004540263872	-0.267154640694047	-0.130877290098456
"TRINITY_DN5653_c0_g2_i1"	-0.0752802748680023	-0.0921438006707442	-0.132102312837929	-0.368657265905598	0.707167320137699	0.163471661550783
"TRINITY_DN5653_c0_g2_i2"	0.100731722840579	0.105231727746059	-0.0746100104021635	-0.00926104784541806	0.0219665769216767	0.105708073780187
"TRINITY_DN5653_c0_g2_i3"	0.18538243917115	-0.274110358893942	-0.0992026599054649	0.415370459075504	-0.361087949897102	0.301274448318862
"TRINITY_DN5633_c0_g1_i1"	0.286559296729401	-0.54759728668457	-0.499238275007602	-0.160628771897339	0.0372853732551987	0.762312146236494
"TRINITY_DN5633_c0_g1_i2"	0.450912650385853	-0.584486350246547	-0.456955365475106	0.0642677861887136	0.488938836119524	0.418185161739118
"TRINITY_DN5661_c0_g1_i1"	-0.353668107116255	0.569876181546273	0.857406542044393	0.160670017797524	-0.320172363448519	-0.551012940965299
"TRINITY_DN5661_c0_g1_i4"	-0.419354531788863	0.755255102384265	0.924373529605007	0.181947757181329	-0.384722701479013	-0.773157626507999
"TRINITY_DN5661_c0_g1_i5"	-0.412239880618691	0.665530199136691	0.904542561968515	0.124831512104377	-0.37837923893593	-0.602553975903385
