"kMEblack"	"kMEbrown"	"kMEmagenta"	"kMEpink"	"kMEred"	"kMEturquoise"
"TRINITY_DN21478_c0_g1_i1"	-0.247717344172898	0.325921052230041	0.383748456886926	-0.117584999185426	0.838478527316237	-0.382606346894675
"TRINITY_DN21505_c1_g1_i1"	0.326073569760889	-0.591396887462768	-0.380012304889628	0.29551255400645	-0.771993810355671	0.757146257767696
"TRINITY_DN21499_c0_g1_i1"	0.447513046355405	-0.470105984920174	-0.0179913823166247	0.0943496269900762	-0.338542706232243	0.660304256568202
"TRINITY_DN21444_c0_g2_i1"	-0.330390314476428	0.41934278017692	0.223803676998022	-0.326740339947117	0.89582574357287	-0.422986465158095
"TRINITY_DN21517_c0_g2_i1"	0.428548122663035	-0.799316131535015	-0.322826200878839	0.418030049404283	-0.760171272200321	0.954274372097611
"TRINITY_DN21517_c0_g1_i1"	0.371275067218899	-0.78440853242157	-0.309028923988347	0.402391964405253	-0.75792617544855	0.955161563245329
"TRINITY_DN21490_c0_g1_i1"	-0.495807815898008	0.876158632458784	-0.0771992853693749	-0.451350736713869	0.716208455746914	-0.702407210010697
"TRINITY_DN21494_c1_g1_i2"	0.120896844255673	-0.299515818766823	-0.286059007321751	0.245761886229244	-0.37176288388026	0.309110034198642
"TRINITY_DN21470_c0_g1_i1"	0.52175232272176	-0.753121373133021	-0.391678472539311	0.416304153692342	-0.756709938708387	0.879673487148484
"TRINITY_DN21470_c1_g1_i1"	0.527141226896974	-0.773614924979423	-0.376904015480063	0.388346641323151	-0.750483500407593	0.897843044279819
"TRINITY_DN21504_c1_g1_i1"	0.634467800547638	-0.734910561101544	-0.155447191038531	0.373433763123194	-0.517326379590467	0.611033753474671
"TRINITY_DN5656_c0_g1_i3"	-0.101305862822151	-0.102619911134609	0.537683545127316	-0.191052708849179	0.612487517997995	-0.286097236605568
"TRINITY_DN5680_c0_g1_i1"	0.230756686209507	-0.762473620738669	-0.303634005323745	0.363625107507036	-0.68676441135884	0.977242544849378
"TRINITY_DN5653_c0_g1_i1"	0.149379839288781	-0.434945132447759	-0.138159367749528	0.109669577564663	-0.737091425018645	0.535363752750988
"TRINITY_DN5653_c0_g4_i1"	-0.266546947374098	0.418358488858429	-0.229985528634822	0.173554436882769	-0.154095622590121	-0.137541635079029
"TRINITY_DN5653_c0_g2_i1"	0.709580281744504	-0.0892966396519861	-0.368367660671976	-0.0710226892526489	-0.140610876205879	0.164955650221686
"TRINITY_DN5653_c0_g2_i2"	0.019240009677075	0.108042627238704	-0.0106057780381835	0.101454696811515	-0.0720764828605398	0.103493614220455
"TRINITY_DN5653_c0_g2_i3"	-0.357118334088401	-0.278964039380757	0.413535443440386	0.186201526843206	-0.116713361062406	0.304768935432615
"TRINITY_DN5633_c0_g1_i1"	0.0346056493135168	-0.545682251909299	-0.161509795364413	0.289089415995318	-0.51756312461303	0.765678039157855
"TRINITY_DN5633_c0_g1_i2"	0.491999455421087	-0.581695937630308	0.0640696052033304	0.453791313652093	-0.469722916487968	0.417740948909345
"TRINITY_DN5661_c0_g1_i1"	-0.321628250230456	0.543482840811693	0.161378973993019	-0.354910845297133	0.86117173225244	-0.556712334880647
"TRINITY_DN5661_c0_g1_i4"	-0.384749164671754	0.729675161438301	0.182533523801669	-0.420108757968066	0.933516582821122	-0.774713813115153
"TRINITY_DN5661_c0_g1_i5"	-0.379000094733455	0.637829261807388	0.127316676123729	-0.412228894234139	0.910210358535948	-0.606704898312294
"TRINITY_DN5661_c0_g4_i3"	-0.463071359734619	0.774920338985194	0.098280861310541	-0.505845944181261	0.888146515588217	-0.765661995935162
"TRINITY_DN5614_c0_g1_i1"	0.27935623022031	-0.421372230820703	0.0111034283465786	0.15372027773689	-0.28111753459793	0.680264600117132
"TRINITY_DN5651_c0_g1_i1"	-0.132125245247647	0.399884286790042	-0.0657143725221237	-0.299281641027275	0.445024906509338	-0.239247687721623
"TRINITY_DN5692_c0_g1_i2"	0.230501565206322	-0.638804415613364	-0.160807305113701	0.390769396842697	-0.434976729464709	0.89016927497545
"TRINITY_DN5654_c0_g1_i7"	0.315387779502305	-0.790084377753817	-0.0597886258183254	0.157298901820855	-0.483552036671494	0.90665562583235
"TRINITY_DN5608_c0_g1_i1"	0.219409571233308	-0.824837732155531	-0.0754505486828817	0.393626825103126	-0.601598918931821	0.954321358253281
"TRINITY_DN5697_c1_g2_i1"	0.217245361902201	-0.629707188149299	-0.256557954996236	0.17749876566219	-0.507054046416624	0.888775491245837
"TRINITY_DN5695_c0_g2_i1"	0.188805351716904	-0.317515320194855	-0.360843362629952	0.0302877793003818	-0.447676936549071	0.622729323758916
