"kMEblack"	"kMEbrown"	"kMEgreen"	"kMEmagenta"	"kMEpink"	"kMEyellow"
"TRINITY_DN21478_c0_g1_i1"	-0.246488425934175	0.834264066884541	-0.3707809872639	0.381037496558926	-0.105848080278526	0.348859382850008
"TRINITY_DN21505_c1_g1_i1"	0.327331307614426	-0.768194583861654	0.760677667738024	-0.381647327173197	0.294913421347106	-0.597691722719419
"TRINITY_DN21499_c0_g1_i1"	0.443495166472468	-0.320795498474629	0.65743600775107	-0.0258436665352978	0.0908316421233417	-0.454959559144114
"TRINITY_DN21444_c0_g2_i1"	-0.326200764064464	0.894142762381453	-0.413921695122986	0.22307211299872	-0.320318142493213	0.441202395129983
"TRINITY_DN21517_c0_g2_i1"	0.424142704215139	-0.748190173480532	0.95641081776483	-0.319345420841676	0.41312192216536	-0.802198139893155
"TRINITY_DN21517_c0_g1_i1"	0.368665942422155	-0.745991487440301	0.957034590356244	-0.305781502612601	0.398221426557249	-0.787378938680274
"TRINITY_DN21490_c0_g1_i1"	-0.498936666117052	0.711941121018225	-0.695009379555231	-0.0737477081278207	-0.451259613740158	0.880039116103623
"TRINITY_DN21494_c1_g1_i2"	0.124608771203961	-0.366436499396303	0.315439654689389	-0.278936741464319	0.242591328786717	-0.304681794743337
"TRINITY_DN21470_c0_g1_i1"	0.514320825607145	-0.745779322780093	0.884847456019141	-0.386574944517012	0.411832840335096	-0.758219619211083
"TRINITY_DN21470_c1_g1_i1"	0.518659060350251	-0.739557457755767	0.903548660376573	-0.371802994919047	0.385046496993853	-0.779503956573032
"TRINITY_DN21504_c1_g1_i1"	0.620734920548859	-0.501071791801771	0.614155022050705	-0.151974117952497	0.368271767700681	-0.735697279616494
"TRINITY_DN5656_c0_g1_i3"	-0.101940936743378	0.621178294847075	-0.280045721130719	0.537816830831232	-0.191992649602724	-0.0850024052531779
"TRINITY_DN5680_c0_g1_i1"	0.23396495998066	-0.675419592939244	0.97760643704254	-0.299946134086937	0.36175802145764	-0.762941862211156
"TRINITY_DN5653_c0_g1_i1"	0.150503878417387	-0.738397849347364	0.53318289626373	-0.148539996151185	0.116562496584578	-0.443988314572547
