"kMEblack"	"kMEbrown"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEpurple"	"kMEred"
"TRINITY_DN21478_c0_g1_i1"	-0.353079314556691	0.175257320191679	-0.166467576425237	-0.288667151417384	-0.281775255242696	0.383508264936369	0.83953511923789
"TRINITY_DN21505_c1_g1_i1"	0.843562664016414	-0.673296113663884	0.386394614698293	0.0359507868929187	0.457865035162278	-0.305163873349616	-0.822317055040953
"TRINITY_DN21499_c0_g1_i1"	0.733097976910807	-0.594543944827278	0.279644325843736	0.309930610869777	0.53136170638402	-0.0635751178251495	-0.540172998992739
"TRINITY_DN21444_c0_g2_i1"	-0.466403421253675	0.325204054252066	-0.389511251469251	-0.0943698231438104	-0.455608429123845	0.186348629154795	0.910570152282315
"TRINITY_DN21517_c0_g2_i1"	0.96680475281097	-0.81404077970897	0.479041267351637	-0.0699003547421522	0.525396639987907	-0.268046107429804	-0.764598856175316
"TRINITY_DN21517_c0_g1_i1"	0.964364533322805	-0.788884116168481	0.447217194553735	-0.0528895930788776	0.461044236121386	-0.259687420711449	-0.763883986509273
"TRINITY_DN21490_c0_g1_i1"	-0.732130009849642	0.86624422735665	-0.370095852805295	0.0765299462483091	-0.598044446114837	-0.117025336765382	0.635541593964584
"TRINITY_DN21494_c1_g1_i2"	0.421406317238575	-0.308594800264018	0.243976276535117	0.279406037366451	0.167757410369655	-0.341306012479312	-0.448806092351814
"TRINITY_DN21470_c0_g1_i1"	0.89240100295658	-0.774275237080056	0.464556610856359	0.00464675881804133	0.601207344817012	-0.334643085961186	-0.790532449282387
"TRINITY_DN21470_c1_g1_i1"	0.889730330334701	-0.783899406419115	0.431759241366944	-0.0649294455503199	0.612092699968491	-0.333071648396332	-0.769379834759021
"TRINITY_DN21504_c1_g1_i1"	0.622073354664619	-0.723469355768025	0.336298026424731	0.00994885191928616	0.749940597746126	-0.194784901451305	-0.512315869379662
"TRINITY_DN5656_c0_g1_i3"	-0.211195687310266	-0.245975550013907	-0.232141883886044	-0.313335494042203	-0.0458958868288063	0.536079718376551	0.603287613904815
