"kMEblack"	"kMEgreenyellow"	"kMEgrey"	"kMEmagenta"	"kMEred"	"kMEtan"	"kMEyellow"
"TRINITY_DN21478_c0_g1_i1"	0.847916437973205	0.383751328875745	-0.145412086174142	-0.281751361319676	-0.363370862279704	-0.177818207227125	0.167626345364825
"TRINITY_DN21505_c1_g1_i1"	-0.820067506069664	-0.303502098770187	-0.0797801509606261	0.460051305257563	0.842980642245532	0.389669816712788	-0.678183183281139
"TRINITY_DN21499_c0_g1_i1"	-0.549178814776282	-0.0558067533867139	0.322920274059594	0.538404784381307	0.734145499956618	0.273549254797282	-0.605326325773334
"TRINITY_DN21444_c0_g2_i1"	0.911788280966498	0.185345715173079	0.0560794101739967	-0.456164059389375	-0.474097883384305	-0.389495647719222	0.322116239471633
"TRINITY_DN21517_c0_g2_i1"	-0.766018088355865	-0.272616426508801	-0.0689623865120095	0.532486058949168	0.964308138580093	0.484411383345232	-0.814203946373112
"TRINITY_DN21517_c0_g1_i1"	-0.765935031840806	-0.264802713059279	-0.0707446399934893	0.465673736706412	0.961864716907014	0.452856363847875	-0.789452738356775
"TRINITY_DN21490_c0_g1_i1"	0.617350113379559	-0.122579932799406	0.190722817705466	-0.590518066596204	-0.737378925109628	-0.368903344433204	0.870707126229664
"TRINITY_DN21494_c1_g1_i2"	-0.455801564367742	-0.35071579780003	-0.0314559499056269	0.165134409075162	0.4179659057139	0.247435035321474	-0.300742389016249
"TRINITY_DN21470_c0_g1_i1"	-0.788429502939632	-0.340150934518838	-0.0543596064714577	0.608104285841019	0.886528536530877	0.468470170247378	-0.771945172951961
"TRINITY_DN21470_c1_g1_i1"	-0.767030797384312	-0.340221772243326	-0.0923741986172131	0.621320912367821	0.881337351363427	0.435340832972128	-0.780259824693954
"TRINITY_DN21504_c1_g1_i1"	-0.512967014622294	-0.200796122671998	0.15478874753527	0.763292258281466	0.617956988904508	0.336272872348454	-0.718473903947889
"TRINITY_DN5656_c0_g1_i3"	0.613179560069241	0.534810778358876	-0.213615886621308	-0.0465913303922748	-0.216248483761397	-0.232122290721863	-0.244823080549932
"TRINITY_DN5680_c0_g1_i1"	-0.720186616089157	-0.271429196602651	-0.0770274877661813	0.285478853398251	0.978084068093262	0.442721964404311	-0.779654237743493
"TRINITY_DN5653_c0_g1_i1"	-0.778879077122304	-0.0982841394319088	0.116582009769689	0.16940754894219	0.542267208724229	0.0824372571513361	-0.380805484107861
"TRINITY_DN5653_c0_g4_i1"	-0.214634998166905	-0.270935953927248	0.0845387904017446	-0.223938922040464	-0.152777116136158	0.234791005739004	0.492499881058769
"TRINITY_DN5653_c0_g2_i1"	-0.324385841262579	-0.303999042493475	0.159253942059095	0.835549111399528	0.238687313143865	0.132687355672983	-0.293439280826017
"TRINITY_DN5653_c0_g2_i2"	-0.183451910058832	-0.0166645804238423	0.173345137770285	0.0690414021888161	0.0389439173380463	0.36434816414342	0.13975275590173
"TRINITY_DN5653_c0_g2_i3"	-0.297569165073799	0.346454147003299	-0.256957855721465	-0.424043464574793	0.478514413447812	0.0953985877904976	-0.3630134950655
"TRINITY_DN5633_c0_g1_i1"	-0.631478483857886	-0.146286158789594	-0.0054189518311929	0.120368113105597	0.798682067608876	0.351148615207677	-0.583063863499227
"TRINITY_DN5633_c0_g1_i2"	-0.44192205882553	0.0959048641739089	0.129446213285172	0.672623560395006	0.497898656223084	0.325011453183777	-0.583774387579309
"TRINITY_DN5661_c0_g1_i1"	0.833846686067799	0.206705029688424	-0.0392492307801498	-0.335826497656413	-0.605433917688311	-0.29617088715558	0.420819364395168
"TRINITY_DN5661_c0_g1_i4"	0.93641274285533	0.147215320265136	-0.0761485059767322	-0.476103602074651	-0.78104491138568	-0.403039714817352	0.648664399675604
"TRINITY_DN5661_c0_g1_i5"	0.899514604596217	0.167040885716247	-0.0492421298360929	-0.410468696821787	-0.644717227968177	-0.353781294219715	0.508834148384347
"TRINITY_DN5661_c0_g4_i3"	0.907963117293056	0.125894247913372	-0.026754419036163	-0.511303487446056	-0.829681165496671	-0.430729805209227	0.727820837467645
"TRINITY_DN5614_c0_g1_i1"	-0.54253242575986	-0.0084301170549033	0.0946590509637158	0.346082570116462	0.792973270024486	0.355764948064394	-0.611893905117595
"TRINITY_DN5651_c0_g1_i1"	0.288998115460017	-0.0812477668686889	0.635730378171132	-0.129930751195922	-0.236708535566841	-0.0886322716606764	0.328191242173234
"TRINITY_DN5692_c0_g1_i2"	-0.459565901530605	-0.132220762253161	-0.1194742192271	0.269219341496547	0.871900678176684	0.466818595445875	-0.668307201801829
"TRINITY_DN5654_c0_g1_i7"	-0.60179070475624	-0.0449529351243179	0.0509883974082909	0.391078648524138	0.944560571533972	0.336556723974127	-0.891033257020488
"TRINITY_DN5608_c0_g1_i1"	-0.628410057433874	-0.0747024275547649	0.000766591308741914	0.315607718826048	0.973002835238902	0.396444496894307	-0.835899250168566
"TRINITY_DN5697_c1_g2_i1"	-0.702430519338878	-0.253458797699874	-0.226041321996387	0.219218851114907	0.947375415280332	0.481767094030843	-0.754523105423985
"TRINITY_DN5695_c0_g2_i1"	-0.762239111362977	-0.426489321063529	-0.142205227130438	0.195823139134278	0.765446745932682	0.38406938575615	-0.490678703163489
"TRINITY_DN5695_c0_g1_i1"	-0.708368997955103	-0.470239501039727	0.0297390620149111	0.333179542170099	0.736951391263305	0.421244349308823	-0.555716069645669
"TRINITY_DN5695_c1_g1_i1"	-0.525514072229544	-0.118633066049243	0.364406774971743	0.564720196606048	0.393140730612035	0.214574974885558	-0.213666983044264
"TRINITY_DN5695_c0_g3_i1"	-0.69439873240246	-0.274809201594584	-0.00285667277343432	0.24134119353278	0.951908195534233	0.328232047155151	-0.707991108269923
"TRINITY_DN5634_c0_g1_i1"	-0.636893256937307	-0.224719373750631	-0.0683830829994262	0.2826570513442	0.982838813094047	0.439922429848379	-0.771097429488438
"TRINITY_DN5649_c0_g1_i21"	-0.72207505959878	-0.32050417188002	-0.12664913581446	0.2493290516567	0.925201147966169	0.451596372661612	-0.719659141460979
"TRINITY_DN5617_c0_g1_i1"	-0.341625117131698	0.0138451856314947	0.0132785849130179	0.136419552857545	0.827598021901387	0.227567375487385	-0.811363005790345
"TRINITY_DN5677_c0_g1_i3"	-0.341311706748097	0.561370717032213	-0.22102291018608	0.153541081318578	0.581418801163268	0.0758388525291574	-0.821711994073136
"TRINITY_DN5696_c0_g1_i1"	-0.321615892660397	0.0602592241522542	-0.0315754225296257	-0.126756054570745	0.698338992087731	0.202777914807794	-0.428367500900359
"TRINITY_DN5624_c0_g1_i1"	-0.56592095399115	-0.154139453155449	-0.187786736888981	0.0240534184145365	0.887290096112838	0.402943660219905	-0.663655510801867
"TRINITY_DN5660_c1_g1_i2"	-0.692140843443365	-0.367870130736596	0.015212324450471	0.278230997018649	0.864008782635199	0.410016100166736	-0.602077267667463
"TRINITY_DN5660_c2_g1_i1"	-0.717294352667028	-0.442336203585398	0.0638840258910311	0.293314194385417	0.716527305133693	0.391540226422165	-0.417065561779441
"TRINITY_DN5660_c2_g1_i2"	-0.21614479540298	0.152441241448558	0.206722671864872	0.213391838796805	0.462511709652956	0.219599480439514	-0.335491801718472
"TRINITY_DN5671_c0_g1_i1"	0.723894345737688	0.297981250488446	0.141569416914449	-0.386273366759339	-0.307028814228208	-0.31949090686944	0.221849107107053
"TRINITY_DN5671_c0_g1_i12"	0.722302079744813	0.309617160170822	0.228685081450339	-0.383558325701775	-0.222981553751171	-0.211079344944465	0.118309299406945
"TRINITY_DN5671_c0_g1_i8"	0.933124056053217	0.207208834476709	0.23870851551375	-0.361450082314145	-0.628246277594257	-0.43939714558195	0.474312543868638
"TRINITY_DN5683_c0_g1_i1"	-0.715885656471412	-0.268422815544651	-0.175996946336727	0.117954022948142	0.924726885109822	0.428202056753187	-0.706138232255536
"TRINITY_DN5658_c1_g1_i2"	0.205143142566421	0.843437037792098	0.111640529449796	0.0794199433339997	0.169545004642552	-0.190844354263842	-0.469133987030731
"TRINITY_DN5642_c0_g1_i1"	0.237277203363735	-0.0704014379775259	0.127675277524078	-0.568903677448998	-0.64736854960414	-0.441936914188842	0.872273758617689
"TRINITY_DN5681_c0_g1_i1"	-0.238582151159471	-0.355315797657612	-0.0783938773231089	-0.273931965690711	0.0528043414736357	0.00734404569152577	0.23237487966228
"TRINITY_DN5622_c0_g1_i1"	-0.57247289217002	-0.209686728232007	-0.194118988792499	0.138556390097683	0.874546118697498	0.431218770193718	-0.75042027373025
"TRINITY_DN5635_c0_g1_i1"	-0.634792815618973	-0.172522872941754	-0.0445557222629047	0.322257328867806	0.976859290575267	0.375191981290455	-0.85362640672993
"TRINITY_DN5611_c0_g2_i2"	-0.383830041173567	-0.0148133962220095	0.0226194273649066	0.379004724183867	0.809542250192134	0.463977409808609	-0.75134356578569
"TRINITY_DN37977_c0_g1_i1"	0.866339285464376	0.452329805132446	-0.142291620232071	-0.271294995785607	-0.419982619701592	-0.350672393331624	0.0521401136859874
"TRINITY_DN37897_c0_g1_i1"	0.0157519065375676	0.283070462467523	-0.25905737838887	-0.27023348943883	0.265000672681615	-0.0948965985442279	-0.346972594082328
"TRINITY_DN37941_c0_g1_i1"	-0.46608130691944	-0.188943244854294	-0.0263041730635786	0.984542970763043	0.339391428989566	0.280173734999073	-0.480635964746469
"TRINITY_DN28830_c0_g1_i1"	-0.59386241621588	-0.0647028954512278	-0.00501183003825512	0.344989888774198	0.963913153607107	0.340737337466137	-0.86809625690516
"TRINITY_DN28802_c0_g1_i1"	-0.60064205442465	-0.0753875756644897	-0.00919499083082762	0.474834828917837	0.883407263084723	0.47269651061374	-0.735937102559934
