"kMEblue"	"kMEbrown"	"kMEgrey"	"kMEpink"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	0.20940169033622	-0.320906873589694	-0.355875519916915	-0.0505608579566337	0.8812286672766	0.859592363555121
"TRINITY_DN4773_c0_g1_i1"	-0.223014476274755	-0.117483814437042	-0.206075821356082	0.286001785459088	0.968102790540373	0.546540201727348
"TRINITY_DN4727_c0_g1_i1"	-0.216693783799458	-0.119624774295574	-0.151580185254855	0.360145375471098	0.942541659650468	0.492531853362964
"TRINITY_DN4757_c0_g1_i1"	0.136414580501	-0.126864063086208	0.703941456145754	-0.314721650073341	-0.0307824925774544	-0.137119128536888
"TRINITY_DN4752_c0_g1_i1"	-0.198010203521491	-0.153568600467822	-0.17961346569157	0.304934558130681	0.988851005250154	0.550209743040294
"TRINITY_DN44_c0_g2_i2"	0.682199525753897	-0.499723566633328	-0.464696514629786	-0.498849439350569	0.25124644669426	0.83509299451125
"TRINITY_DN16_c0_g1_i2"	-0.227211311736975	-0.106357461406905	-0.169206668004942	0.310776820568064	0.977932124944593	0.527190897826078
"TRINITY_DN4_c0_g1_i3"	-0.510297350737923	0.821530618966249	0.0116677390385827	0.300580622313086	-0.518300885123196	-0.557586543702381
"TRINITY_DN32_c0_g1_i6"	-0.0804502149130801	-0.266305116758474	-0.0531944635934663	0.153498862568955	0.952991770540813	0.531353187024594
"TRINITY_DN49_c0_g1_i1"	0.0471968804637796	-0.22914534142992	-0.45509039015061	0.0981262336768176	0.910303835902306	0.839624120245923
"TRINITY_DN58_c0_g1_i1"	-0.111077128448593	-0.225076017583206	-0.15459369509994	0.240484096588932	0.965768491829489	0.539148480512959
"TRINITY_DN37_c0_g1_i1"	-0.166475715440239	-0.190362866433923	-0.153424584850007	0.290362496118373	0.95447253305014	0.527896427392978
"TRINITY_DN11_c0_g1_i9"	-0.181764737344545	-0.156969583017552	-0.150629322936153	0.31129729594406	0.947814738436034	0.510951835413336
"TRINITY_DN11_c0_g1_i11"	-0.233464454120898	-0.121968512534642	-0.204400242726719	0.30500228712344	0.978702246796967	0.532159194345131
"TRINITY_DN85_c0_g1_i1"	0.808894352219342	-0.800907673137833	-0.152568683904782	-0.682668304144508	0.352393909014352	0.686473102289041
"TRINITY_DN85_c0_g2_i1"	-0.111677163190178	-0.199913858720435	-0.107737203958274	0.240029245710646	0.961484993435868	0.546292408680054
"TRINITY_DN41_c0_g2_i1"	0.753074078023064	-0.441306450874138	-0.159940610410577	-0.619912226942839	-0.264066194479154	0.227237011361903
"TRINITY_DN62_c0_g1_i1"	-0.142500732424308	-0.202538842509463	-0.0834204744324601	0.208957237096667	0.978097079805503	0.536338874179927
"TRINITY_DN88_c0_g1_i4"	-0.158512163563079	-0.193002200837071	-0.0674711119268068	0.256861401065621	0.948671504632276	0.498579115318245
"TRINITY_DN88_c0_g2_i3"	-0.211235205703947	-0.111612195387554	-0.0820791887294143	0.383053202836488	0.907449659462059	0.468959296552122
"TRINITY_DN38_c0_g2_i1"	-0.220843969727798	-0.132325509237669	-0.198978256607278	0.334432323688798	0.977195772726476	0.530413037701659
"TRINITY_DN10_c0_g1_i10"	-0.24299627772185	-0.133878138954453	-0.131772628005738	0.375610477731501	0.945315376357848	0.498737951319876
"TRINITY_DN10_c0_g1_i9"	0.181511745731065	-0.338166998600169	-0.413969177661967	0.0674940652648077	0.684641028409918	0.732094367576204
"TRINITY_DN10_c2_g1_i1"	0.378766800472203	-0.334039503751067	-0.625493306180128	-0.14578921580823	0.521456827195559	0.9118196265856
"TRINITY_DN10_c2_g1_i2"	0.249839679984102	-0.269568669467011	-0.516522622535025	-0.110329410434318	0.719673866077781	0.939968703777059
"TRINITY_DN42_c0_g1_i4"	-0.228328088072727	-0.101812222014848	-0.164988720009862	0.280226289656209	0.975622334964426	0.539573183156662
"TRINITY_DN12_c0_g3_i1"	-0.168375783224126	-0.165621869858984	-0.117418856321805	0.298668299775478	0.97550335035801	0.546442216033246
"TRINITY_DN31_c0_g1_i2"	-0.195187787432175	-0.121199267382165	-0.185216019749079	0.144865537299155	0.804704304335648	0.449438746720461
"TRINITY_DN21_c0_g1_i14"	0.140291021353256	-0.25604225014513	-0.503098938865127	9.39451524879414e-05	0.840071497158871	0.894126839353231
"TRINITY_DN21_c0_g1_i2"	-0.211618128677406	-0.153940036139051	-0.189382268569791	0.312503545697095	0.982552078561158	0.529102239747823
"TRINITY_DN21_c0_g1_i7"	-0.163774711276761	-0.142636977173334	-0.145104439011194	0.225403923375579	0.975452951778945	0.551068415880092
"TRINITY_DN21_c0_g1_i3"	-0.132751446323334	-0.222503319912593	-0.0272113148199998	0.188333390219944	0.962587095834215	0.520256966585525
"TRINITY_DN21_c0_g1_i8"	-0.0875413997200913	-0.213084510463303	-0.079893528660327	0.194151869643276	0.952248664526907	0.545602494233933
"TRINITY_DN29_c0_g1_i11"	0.185228246985293	0.0791423718678403	-0.106705374668709	-0.00971551690301448	-0.0852813714352478	0.0867528442745736
"TRINITY_DN29_c0_g1_i8"	-0.0626922571643835	0.0421475438491558	-0.143209642462594	0.190884304356589	0.142708921097341	0.14285411935002
"TRINITY_DN29_c0_g1_i1"	0.181023616253035	-0.360465052359264	-0.35763202337966	-0.0746645751721512	0.879666635153709	0.801869109074123
"TRINITY_DN29_c0_g1_i7"	0.430814050476221	-0.283308467151136	-0.0999011042752222	-0.627077196853979	0.187561250352603	0.492652562592172
"TRINITY_DN29_c0_g1_i2"	0.20771235533868	-0.389542001784975	-0.113629224139989	-0.242784664313803	0.668099566528801	0.555869587692531
"TRINITY_DN64_c0_g1_i5"	-0.206129542439883	-0.140979345734664	-0.17949789879302	0.276079420843079	0.97942458054718	0.543026875814885
"TRINITY_DN8_c0_g2_i2"	-0.198287597422571	-0.136144232154347	-0.17213485279969	0.317679549243001	0.968984102309203	0.51552224924792
"TRINITY_DN8_c0_g1_i1"	-0.0580251131205451	-0.230117537561967	0.00126387711230379	0.0501797678730912	0.914441357689439	0.518726429970736
"TRINITY_DN8_c0_g1_i8"	-0.111425790894129	-0.191655818757559	-0.105479849676646	0.21643205739444	0.970871152451415	0.554201004888259
"TRINITY_DN8_c0_g1_i3"	-0.17817183955108	-0.150776591052647	-0.146355421069189	0.301086584348285	0.974297844711624	0.528119444774551
