"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	-0.0605893513167459	0.892507893348148	0.210062936390965	-0.357302532702137	0.867599738600762	-0.329626580337141
"TRINITY_DN4773_c0_g1_i1"	0.275993683689977	0.605897783224512	-0.241429967474411	-0.20490697665419	0.963003427409482	-0.110423691520401
"TRINITY_DN4727_c0_g1_i1"	0.364543122793835	0.545889395863499	-0.226455212563307	-0.148688444901855	0.939867601604844	-0.113732806199986
"TRINITY_DN4757_c0_g1_i1"	-0.319588798020126	-0.132228418474418	0.129945171315454	0.697828734506087	-0.0322416435528682	-0.120764525710437
"TRINITY_DN4752_c0_g1_i1"	0.29948208831099	0.609398000254679	-0.209280839767473	-0.176374248679424	0.988452426405224	-0.152951313907959
"TRINITY_DN44_c0_g2_i2"	-0.476288143885936	0.814840400595724	0.652326513196677	-0.461130919708301	0.286686389243995	-0.513741596990136
"TRINITY_DN16_c0_g1_i2"	0.314946153432754	0.587344823114472	-0.237077114347213	-0.162887213655693	0.976856461809615	-0.105102874734838
"TRINITY_DN4_c0_g1_i3"	0.314109059930144	-0.581751013569767	-0.518662747119258	0.0374596566304469	-0.530047449898607	0.823243555482447
"TRINITY_DN32_c0_g1_i6"	0.132343193239895	0.58873963287382	-0.0777073917866278	-0.0430012737829185	0.94738199813939	-0.276571431508844
"TRINITY_DN49_c0_g1_i1"	0.0938722835535103	0.879729314549999	0.0357059548184552	-0.467201830653454	0.90213591295048	-0.225837061134461
"TRINITY_DN58_c0_g1_i1"	0.230478889882362	0.594610046011667	-0.113040919654832	-0.143476893462688	0.957010442633714	-0.23305897648657
"TRINITY_DN37_c0_g1_i1"	0.281961001266106	0.587267984801317	-0.172434868877122	-0.146720872567863	0.951176820418252	-0.194796084567035
"TRINITY_DN11_c0_g1_i9"	0.307778424581915	0.563555958136649	-0.183390452923859	-0.143641328543104	0.939858321201102	-0.159805266781881
"TRINITY_DN11_c0_g1_i11"	0.306659535395016	0.590407406736097	-0.244649499799639	-0.201642812795175	0.977634938543872	-0.119838388313918
"TRINITY_DN85_c0_g1_i1"	-0.67706945792185	0.686055043944926	0.784960865058676	-0.168837466303675	0.370820212163535	-0.811594669076504
"TRINITY_DN85_c0_g2_i1"	0.229298823400892	0.602566711503022	-0.116968168219933	-0.0941313567735002	0.957178990046201	-0.203580306265779
"TRINITY_DN41_c0_g2_i1"	-0.605816639208641	0.198760046132297	0.752209302162374	-0.169788716117114	-0.266894733459425	-0.451626776781506
"TRINITY_DN62_c0_g1_i1"	0.193521753039634	0.593271183796065	-0.143417980087738	-0.0729237143565664	0.974835233273501	-0.206299621084098
"TRINITY_DN88_c0_g1_i4"	0.246880042043993	0.551491475962849	-0.162111520867899	-0.0562757875231347	0.942242841523773	-0.196515562922957
"TRINITY_DN88_c0_g2_i3"	0.389729864503187	0.522110109871405	-0.226482156551635	-0.0760928640766619	0.908270579705229	-0.105923362953141
"TRINITY_DN38_c0_g2_i1"	0.331798635761633	0.589258977666492	-0.234721085746052	-0.196073692218727	0.974907473450001	-0.12956058021352
"TRINITY_DN10_c0_g1_i10"	0.374193631721698	0.554503002578355	-0.256312092655827	-0.122942942356369	0.943730320719691	-0.13081580843859
"TRINITY_DN10_c0_g1_i9"	0.0708297771413271	0.749374278625303	0.172288253962761	-0.42018773388359	0.679133627281891	-0.342897738075389
"TRINITY_DN10_c2_g1_i1"	-0.100833912516963	0.898535971094082	0.324992668526793	-0.624383176654013	0.557419055181832	-0.327931444526484
"TRINITY_DN10_c2_g1_i2"	-0.0925784264087079	0.942148566091099	0.211861410703855	-0.510629743973599	0.728460193077649	-0.258249828931088
"TRINITY_DN42_c0_g1_i4"	0.281747545942524	0.600966665207972	-0.237991624172939	-0.15761326287127	0.974665661055905	-0.100422779808975
"TRINITY_DN12_c0_g3_i1"	0.294604204171013	0.60670872581225	-0.173856312323004	-0.108282999360769	0.974422321123069	-0.168499469484972
"TRINITY_DN31_c0_g1_i2"	0.14016979983628	0.49085002261693	-0.198032590974238	-0.183118791506233	0.803277845083258	-0.117366567702182
"TRINITY_DN21_c0_g1_i14"	0.00039432686618359	0.915027975068061	0.116798632029515	-0.509705151580034	0.835544837477838	-0.246406090586214
"TRINITY_DN21_c0_g1_i2"	0.307495598653909	0.585620621658234	-0.221453496002903	-0.186180918906639	0.978709890487262	-0.154936601321651
"TRINITY_DN21_c0_g1_i7"	0.216896924501707	0.607249442715822	-0.173437583365476	-0.131854810602249	0.969231294839501	-0.140671238203362
"TRINITY_DN21_c0_g1_i3"	0.168487822190894	0.571574955973649	-0.130810673798261	-0.00607932728955171	0.953163835253008	-0.23091173703313
"TRINITY_DN21_c0_g1_i8"	0.184520716736374	0.597669744411081	-0.092057807996671	-0.0640102369557467	0.943845121873301	-0.215766281947465
"TRINITY_DN29_c0_g1_i11"	0.0284759607098133	0.0878549024929611	0.133319349846111	-0.0806660884829727	-0.0751024390532798	0.111300677008598
"TRINITY_DN29_c0_g1_i8"	0.186652712278088	0.157789268776227	-0.0911935217498933	-0.135683137170769	0.137799667310694	0.0533782870035863
"TRINITY_DN29_c0_g1_i1"	-0.10024057126444	0.843593066713098	0.19211916230507	-0.359899596323387	0.861037531352653	-0.381388048506885
"TRINITY_DN29_c0_g1_i7"	-0.589744819912146	0.471260317977821	0.377405135714649	-0.110063036737002	0.193340416538859	-0.257209667973533
"TRINITY_DN29_c0_g1_i2"	-0.272585817337034	0.590122423862735	0.195715361061149	-0.129221267116719	0.650988850900198	-0.376185846749788
"TRINITY_DN64_c0_g1_i5"	0.27742632673846	0.603128927475957	-0.213714274471903	-0.173464232797449	0.977362985451198	-0.143334119765753
"TRINITY_DN8_c0_g2_i2"	0.323343040238302	0.569600195159009	-0.206552712279297	-0.169192536890913	0.960815165704322	-0.136396245658062
"TRINITY_DN8_c0_g1_i1"	0.0209056174424742	0.564583687954379	-0.0602223060558878	0.0236743331534211	0.900216903584662	-0.232741390572884
"TRINITY_DN8_c0_g1_i8"	0.208935409950294	0.612423488073217	-0.108025208954976	-0.0896112442119087	0.963316554949183	-0.204507951051774
"TRINITY_DN8_c0_g1_i3"	0.302751642135422	0.586534523803009	-0.183924828692076	-0.141136384106425	0.970850766719822	-0.15588895591329
"TRINITY_DN8_c0_g1_i5"	0.177824262374878	0.60130988354499	-0.0757618147108041	-0.0856738751543792	0.931570796811267	-0.210800334906996
"TRINITY_DN86_c0_g2_i1"	0.0335561496568386	0.773497490899347	0.0415022026829972	-0.20558566764785	0.933816830365032	-0.320641589014855
"TRINITY_DN86_c0_g1_i1"	0.265432349034424	0.577478509198432	-0.231046198473658	-0.232963105314627	0.966665777628532	-0.165752468283512
"TRINITY_DN43_c0_g2_i1"	0.330911228361499	0.591889136826547	-0.231328046415101	-0.157077766251625	0.978523742059014	-0.121537333205788
"TRINITY_DN63_c0_g1_i3"	0.303540338941165	0.595422268965692	-0.243140843529288	-0.19934691113009	0.981623426746447	-0.116041598920382
"TRINITY_DN63_c0_g1_i2"	0.261216098914559	0.60644849761248	-0.210460729445587	-0.188495708304391	0.958831463372619	-0.14231378933529
