"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	-0.0571865605048693	0.888358554742052	0.206453643928203	-0.357344935158794	0.870850366387319	-0.330290199664433
"TRINITY_DN4773_c0_g1_i1"	0.276075511279531	0.599010391126916	-0.239343022288899	-0.205328412434632	0.964744716125333	-0.114355894071798
"TRINITY_DN4727_c0_g1_i1"	0.363012232635977	0.539361886740093	-0.224276117549728	-0.149519283876096	0.940897669952367	-0.120436347658272
"TRINITY_DN4757_c0_g1_i1"	-0.319228094773797	-0.133041957970651	0.129557517760319	0.699542792293592	-0.0307320593432316	-0.119788509684579
"TRINITY_DN4752_c0_g1_i1"	0.29900321780543	0.602147818876339	-0.208462804294873	-0.17745949671609	0.988728562099694	-0.156053705537377
"TRINITY_DN44_c0_g2_i2"	-0.48188391649435	0.818464582161421	0.658515329584814	-0.462455377100983	0.274368355457477	-0.512256408634152
"TRINITY_DN16_c0_g1_i2"	0.313352031204462	0.579621012716241	-0.236289927483437	-0.164893582174946	0.977408481139232	-0.109591987240527
"TRINITY_DN4_c0_g1_i3"	0.315044786623737	-0.574368934676684	-0.519064477148658	0.0298958037523623	-0.525918916940096	0.824981900068556
"TRINITY_DN32_c0_g1_i6"	0.137245088278405	0.581984308098072	-0.0811945232306408	-0.0463026277242941	0.949390299793408	-0.276271027172675
"TRINITY_DN49_c0_g1_i1"	0.0940882725877951	0.874392280341853	0.0363464021310668	-0.463930481850597	0.903459657894228	-0.229849141584606
"TRINITY_DN58_c0_g1_i1"	0.232041164276921	0.588366326602258	-0.115680842523543	-0.146877481210007	0.960152130871913	-0.234163265610664
"TRINITY_DN37_c0_g1_i1"	0.282955261470995	0.580053290588258	-0.173083078900372	-0.148801176295612	0.952387139142372	-0.196927054780601
"TRINITY_DN11_c0_g1_i9"	0.308030178162573	0.557755963604664	-0.18410345206854	-0.145796735702373	0.942602287488129	-0.163019429641667
"TRINITY_DN11_c0_g1_i11"	0.304730060149861	0.583055463333119	-0.243193146413875	-0.202561088809896	0.978205835349049	-0.123747653646399
"TRINITY_DN85_c0_g1_i1"	-0.680687548657245	0.685194153396358	0.789435562871019	-0.16455133804813	0.365000850010101	-0.809372606110535
"TRINITY_DN85_c0_g2_i1"	0.231356887640895	0.595555609766154	-0.118330102495079	-0.0983590281572754	0.958861827379251	-0.206142180494958
"TRINITY_DN41_c0_g2_i1"	-0.60575188964204	0.202878714792455	0.74988733522021	-0.166867629110094	-0.266964813603933	-0.450574724334969
"TRINITY_DN62_c0_g1_i1"	0.1967199790638	0.586255948027205	-0.145437945603708	-0.0763767569230709	0.97615323900045	-0.207882998422868
"TRINITY_DN88_c0_g1_i4"	0.249503688892188	0.545506739713303	-0.162704826880578	-0.0597851581993495	0.944508176906204	-0.199653733134163
