"kMEblack"	"kMEblue"	"kMEgreen"	"kMEgrey"	"kMEturquoise"	"kMEyellow"
"TRINITY_DN4725_c0_g1_i1"	-0.0597302878368183	0.891509081546532	0.209139750934942	-0.357349041649312	0.868437377742851	-0.329795853404018
"TRINITY_DN4773_c0_g1_i1"	0.276006335261295	0.604199228830517	-0.240891148445335	-0.205016432276739	0.963460465079811	-0.111429168296166
"TRINITY_DN4727_c0_g1_i1"	0.364141079498823	0.544288516781111	-0.225883128574621	-0.148895245145168	0.940140061989078	-0.115460029349672
"TRINITY_DN4757_c0_g1_i1"	-0.31949401622157	-0.132425945406718	0.129852918377356	0.698256671031184	-0.0318550624189491	-0.120516545752364
"TRINITY_DN4752_c0_g1_i1"	0.299352596336944	0.607609267529098	-0.209074952554242	-0.176655879025169	0.988531106947842	-0.153739887613118
"TRINITY_DN44_c0_g2_i2"	-0.477733982641639	0.815754390495676	0.65392120622151	-0.461490335063439	0.2836139967137	-0.513435484611855
"TRINITY_DN16_c0_g1_i2"	0.314531540172231	0.585434399591233	-0.236863512762637	-0.163400232646538	0.977004691455057	-0.106260447583802
"TRINITY_DN4_c0_g1_i3"	0.314370129552685	-0.579897604976727	-0.518795804498973	0.0355568961628409	-0.529005817905921	0.823713541228785
"TRINITY_DN32_c0_g1_i6"	0.133602989205123	0.587082907384486	-0.0786044431392525	-0.0438534455870478	0.947912132013166	-0.276484868221926
"TRINITY_DN49_c0_g1_i1"	0.0938997775507449	0.878425066574887	0.0358843231064536	-0.466399154058049	0.902468874938451	-0.226869392802785
"TRINITY_DN58_c0_g1_i1"	0.23086991901782	0.593086947066951	-0.113709355750916	-0.144341111007853	0.957832871332934	-0.233344323426407
"TRINITY_DN37_c0_g1_i1"	0.28221616670452	0.585492989688481	-0.172607812839551	-0.147254672254183	0.951504720124869	-0.19533524403653
"TRINITY_DN11_c0_g1_i9"	0.30783953910823	0.562150395104203	-0.183574959604113	-0.144192113915949	0.940583403232877	-0.160628769961858
"TRINITY_DN11_c0_g1_i11"	0.306159464132688	0.588596179502852	-0.244272765217545	-0.201878839367396	0.977793479425676	-0.120840249749684
"TRINITY_DN85_c0_g1_i1"	-0.677986703981061	0.685863965307243	0.786104546366641	-0.167796920282114	0.369405656253504	-0.811076188543072
"TRINITY_DN85_c0_g2_i1"	0.229812290232023	0.600843165001579	-0.117302872413499	-0.0952108177865888	0.957620929684347	-0.204245187741561
"TRINITY_DN41_c0_g2_i1"	-0.605797151714882	0.199789144184775	0.751627219449373	-0.169052225237335	-0.266910419792788	-0.45135827256555
"TRINITY_DN62_c0_g1_i1"	0.194352909338486	0.591546885158015	-0.143942117038244	-0.0738202834415969	0.975184023991539	-0.206697448965895
"TRINITY_DN88_c0_g1_i4"	0.247550163039149	0.550026392296651	-0.162253701125619	-0.057174158611851	0.942830998513044	-0.197319974917177
"TRINITY_DN88_c0_g2_i3"	0.389241831788662	0.520476352168128	-0.225561198973674	-0.0765876615996067	0.908302663358171	-0.107729921867392
"TRINITY_DN38_c0_g2_i1"	0.331559269448261	0.587570362784454	-0.234316131063146	-0.196305539975706	0.975147690300997	-0.130661093338132
"TRINITY_DN10_c0_g1_i10"	0.373855763511489	0.552810342783215	-0.255770401154413	-0.123669445151303	0.943945580509001	-0.132045324102966
"TRINITY_DN10_c0_g1_i9"	0.0705813373097611	0.749041488893247	0.172861677332035	-0.41971835620811	0.679145187909679	-0.34372243862348
"TRINITY_DN10_c2_g1_i1"	-0.103599726190209	0.899431464713163	0.328588115458196	-0.624612159498629	0.554473836359946	-0.329467182594812
"TRINITY_DN10_c2_g1_i2"	-0.0937761887167241	0.942587760016104	0.213901833679755	-0.511240183710837	0.727521018369089	-0.259700706652944
"TRINITY_DN42_c0_g1_i4"	0.281420361376849	0.59892155126626	-0.237912314201026	-0.158258745923875	0.974820136575098	-0.101370430380687
"TRINITY_DN12_c0_g3_i1"	0.294774462520378	0.604737041446226	-0.174063226413829	-0.109029555432407	0.974553356708235	-0.169347118831373
"TRINITY_DN31_c0_g1_i2"	0.140255641535044	0.489346711748577	-0.197796824966295	-0.183329993523528	0.803443629159486	-0.118112302950417
"TRINITY_DN21_c0_g1_i14"	6.71710529539428e-05	0.914690303392995	0.117818414253362	-0.509316287300697	0.835574630172615	-0.247666255520284
"TRINITY_DN21_c0_g1_i2"	0.307424358910451	0.584038252013556	-0.221310276505649	-0.186466685639408	0.979073558391428	-0.155679090553744
"TRINITY_DN21_c0_g1_i7"	0.217135663114026	0.605632370704468	-0.173556131677015	-0.132931133385469	0.969815897294565	-0.141513985674148
"TRINITY_DN21_c0_g1_i3"	0.169464982563939	0.570261634509956	-0.131500123615436	-0.00766501262187979	0.953979460156196	-0.230984273062066
"TRINITY_DN21_c0_g1_i8"	0.184892338670324	0.596148526308718	-0.092370268467961	-0.0652036329012825	0.944579332548672	-0.216437045945634
"TRINITY_DN29_c0_g1_i11"	0.0267637082018411	0.0881316529291079	0.135844452215268	-0.0822969712481569	-0.0760062452225884	0.108532002978813
"TRINITY_DN29_c0_g1_i8"	0.186572829181562	0.157832685987477	-0.0904661383995722	-0.136041647799944	0.138112615809964	0.0526646784763737
"TRINITY_DN29_c0_g1_i1"	-0.0985349904999195	0.842383958357414	0.190365342644911	-0.359915891674358	0.862311924648004	-0.38043396290038
"TRINITY_DN29_c0_g1_i7"	-0.591909493214175	0.472855881747824	0.380166857613806	-0.109516874232752	0.192906049416975	-0.258934673143045
"TRINITY_DN29_c0_g1_i2"	-0.27167267817209	0.589089447930157	0.195969785964401	-0.128179266199551	0.652256318585121	-0.377052130102782
